subject,month,speaker_category,classifier,annotation
16,07,male_correct,MAN,FAT
16,07,male_correct,MAN,FAT
16,07,male_correct,MAN,FAT
16,07,male_correct,MAN,FAT
16,07,male_correct,MAN,FAT
16,07,male_correct,MAN,UNC
16,07,male_incorrect,FAN,FAT
16,07,male_incorrect,OLN,FAT
16,07,male_incorrect,FAF,FAT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAF,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAF,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,MOT
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
16,07,female_correct,FAN,GRM
