subject,month,speaker_category,classifier,annotation
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAF,AUD
17,06,male_correct,MAN,AUD
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAF,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAF,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAF,FAT
17,06,male_correct,MAN,FAT
17,06,male_correct,MAN,FAT
