subject,month,speaker_category,classifier,annotation
18,07,male_correct,MAN,FAT
18,07,male_correct,MAF,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAF,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,ADM
18,07,male_correct,MAN,ADM
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAF,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAF,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAF,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_correct,MAN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,NOF,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,OLF,FAT
18,07,male_incorrect,OLF,FAT
18,07,male_incorrect,FAN,ADM
18,07,male_incorrect,FAN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,CHN,FAT
18,07,male_incorrect,FAN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,FAN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,OLN,FAT
18,07,male_incorrect,CHN,FAT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAF,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAF,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,ADF
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,AFF
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
18,07,female_correct,FAN,MOT
