subject,month,speaker_category,classifier,annotation
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_correct,MAN,GRP
19,07,male_incorrect,OLN,GRP
19,07,male_incorrect,OLN,GRP
19,07,male_incorrect,FAN,GRP
19,07,male_incorrect,OLN,GRP
19,07,male_incorrect,FAN,GRP
19,07,male_incorrect,FAN,GRP
19,07,male_incorrect,FAN,GRP
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,GRM
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAF,MOT
19,07,female_correct,FAN,MOT
19,07,female_correct,FAN,MOT
