subject,month,speaker_category,classifier,annotation
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAF,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_correct,MAN,FAT
23,06,male_incorrect,NOF,FAT
23,06,male_incorrect,OLF,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,CHN,FAT
23,06,male_incorrect,CHN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAF,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,CHF,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,GRP
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,GRP
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,CHN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,CHF,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,CHN,FAT
23,06,male_incorrect,TVF,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,FAN,FAT
23,06,male_incorrect,OLN,FAT
23,06,male_incorrect,CHN,FAT
23,06,male_incorrect,FAN,FAT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_correct,FAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,CHN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,TVN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,CXN,MOT
23,06,female_incorrect,CHF,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,NOF,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,MAN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
23,06,female_incorrect,OLN,MOT
