subject,month,speaker_category,classifier,annotation
27,07,male_correct,MAN,ADM
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,MAN
27,07,male_correct,MAN,GRP
27,07,male_correct,MAF,GRP
27,07,male_correct,MAN,GRP
27,07,male_incorrect,FAN,MAN
27,07,male_incorrect,FAN,MAN
27,07,male_incorrect,NOF,GRP
27,07,male_incorrect,NOF,GRP
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAF,ADF
27,07,female_correct,FAN,ADF
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,GRM
27,07,female_correct,FAN,GRM
27,07,female_correct,FAN,GRM
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,GRM
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,GRM
27,07,female_correct,FAF,GRM
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,GRM
27,07,female_correct,FAN,GRM
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,FFR
27,07,female_correct,FAN,FFR
27,07,female_correct,FAN,FFR
27,07,female_correct,FAN,FFR
27,07,female_correct,FAN,MOT
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,FFR
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,FFR
27,07,female_correct,FAF,MOT
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MT2
27,07,female_correct,FAN,MOT
27,07,female_correct,FAN,MOT
