subject,month,speaker_category,classifier,annotation
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_correct,MAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAF,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,CHN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,CHN,MFT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,CHN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAF,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,CHN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,CHN,FAT
15,08,male_incorrect,OLN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,CHN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,male_incorrect,FAN,FAT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
15,08,female_correct,FAN,MOT
