subject,month,speaker_category,classifier,annotation
22,06,male_correct,MAN,FAT
22,06,male_correct,MAN,FAT
22,06,male_correct,MAN,MFR
22,06,male_correct,MAN,MF2
22,06,male_correct,MAN,FAT
22,06,male_incorrect,FAN,FAT
22,06,male_incorrect,OLN,MF2
22,06,male_incorrect,FAN,MF2
22,06,male_incorrect,OLN,MF2
22,06,male_incorrect,OLN,MF2
22,06,male_incorrect,OLN,MF2
22,06,male_incorrect,OLN,FAT
22,06,male_incorrect,FAN,FAT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAF,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
22,06,female_correct,FAN,MOT
