subject,month,speaker_category,classifier,annotation
26,06,male_correct,MAN,FAT
26,06,male_correct,MAN,FAT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAF,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_correct,FAN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CHN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CXF,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,MAN,MOT
26,06,female_incorrect,CHN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CHN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,TVN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CXN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CHN,MOT
26,06,female_incorrect,OLN,MOT
26,06,female_incorrect,CHF,MOT
26,06,female_incorrect,NOF,MOT
