subject,month,speaker_category,classifier,annotation
26,07,male_correct,MAN,FAT
26,07,male_correct,MAN,FAT
26,07,male_correct,MAN,FAT
26,07,male_correct,MAN,FAT
26,07,male_correct,MAN,FAT
26,07,male_correct,MAF,FAT
26,07,male_incorrect,OLF,FAT
26,07,male_incorrect,FAN,FAT
26,07,male_incorrect,FAN,FAT
26,07,male_incorrect,FAN,FAT
26,07,male_incorrect,FAN,FAT
26,07,male_incorrect,OLN,FAT
26,07,male_incorrect,FAN,FAT
26,07,male_incorrect,OLN,FAT
26,07,male_incorrect,OLN,FAT
26,07,male_incorrect,OLN,FAT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAF,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAF,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAF,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAF,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,FFR
26,07,female_correct,FAF,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,MOT
26,07,female_correct,FAN,FFR
26,07,female_incorrect,TVN,MOT
26,07,female_incorrect,TVN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,TVN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,NOF,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,SIL,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLF,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,TVF,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,NON,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLF,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,FFR
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CHN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,FFR
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,OLF,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,CXN,MOT
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,NOF,FFR
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,MAN,MOT
26,07,female_incorrect,OLN,MOT
26,07,female_incorrect,MAF,FFR
26,07,female_incorrect,CHN,FFR
26,07,female_incorrect,CXN,MOT
