subject,month,speaker_category,classifier,annotation
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAF,FAT
32,06,male_correct,MAF,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAF,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAF,FAT
32,06,male_correct,MAF,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAN,FAT
32,06,male_correct,MAF,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,CXN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLF,FAT
32,06,male_incorrect,OLF,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,OLF,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,CHN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,TVF,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,TVF,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,CHN,FAT
32,06,male_incorrect,FAN,FAT
32,06,male_incorrect,CHN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLF,FAT
32,06,male_incorrect,TVF,FAT
32,06,male_incorrect,TVN,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLN,FAT
32,06,male_incorrect,OLF,FAT
32,06,male_incorrect,SIL,FAT
32,06,male_incorrect,TVF,FAT
32,06,male_incorrect,TVF,FAT
32,06,male_incorrect,NOF,FAT
32,06,male_incorrect,TVF,FAT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
32,06,female_correct,FAN,MOT
