subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
04,07,male_correct,31464280_31465290,fish+baby,n,n,UNC,CHN,OLF,MAN,FAN,NOF,0,31464280_31465290
04,07,male_correct,31476190_31478210,hot+dogs,d,n,UNC,FAN,OLN,MAN,OLN,FAN,0,31476190_31478210
04,07,male_correct,31605470_31606590,jelly,d,y,UNC,OLN,OLF,MAN,CHN,CXN,0,31605470_31606590
04,07,male_correct,31626080_31630390,beach,d,n,UNC,MAN,FAN,MAN,SIL,MAN,0,31626080_31630390
04,07,male_correct,31667070_31668070,beach,d,n,UNC,MAN,FAN,MAN,FAN,NOF,0,31667070_31668070
04,07,male_correct,31685230_31688200,beach,d,n,UNC,SIL,FAN,MAN,CHN,CHN,0,31685230_31688200
04,07,male_correct,31688800_31690060,half+wall,d,n,UNC,CHN,CHN,MAN,TVN,FAN,0,31688800_31690060
04,07,male_correct,31696170_31697390,beach,d,n,UNC,MAN,OLN,MAN,OLN,MAN,0,31696170_31697390
04,07,male_correct,31698190_31700090,fire+places,d,n,UNC,MAN,OLN,MAN,SIL,MAN,0,31698190_31700090
04,07,male_correct,31701470_31703530,fire+place,q,n,UNC,MAN,SIL,MAN,NOF,FAN,0,31701470_31703530
04,07,male_correct,31845090_31846510,blueberries,q,n,UNC,OLN,NOF,MAN,FAN,NOF,0,31845090_31846510
04,07,male_correct,31884440_31885660,kale,d,n,UNC,OLN,MAN,OLF,NON,MAN,-1,31883080_31884440
04,07,male_correct,31902880_31905550,kale,d,n,UNC,FAN,OLF,MAN,NOF,OLN,0,31902880_31905550
04,07,male_correct,31987820_31988820,garlic,d,n,UNC,OLN,FAN,OLN,OLF,MAN,+2,31989640_31990720
04,07,male_correct,32040000_32041640,steamed+brocolli,d,n,UNC,OLN,FAN,MAN,OLN,MAN,0,32040000_32041640
04,07,male_correct,32371930_32376120,candy+wrappers,d,n,UNC,FAN,OLN,MAN,OLF,OLN,0,32371930_32376120
04,07,male_correct,32377040_32379790,Starbursts,d,n,UNC,MAN,OLF,OLN,MAN,OLN,-2,32371930_32376120
04,07,male_correct,32379790_32380960,Tootsie+Rolls,d,n,UNC,OLF,OLN,MAN,OLN,MAN,0,32379790_32380960
04,07,male_correct,32380960_32382440,Candy+Cane,d,n,UNC,OLN,MAN,OLN,MAN,NOF,-1,32379790_32380960
04,07,male_correct,32389860_32391480,baby,d,n,UNC,CXN,OLN,MAN,NOF,OLF,0,32389860_32391480
04,07,male_correct,35130240_35131240,lid,d,y,UNC,FAN,TVF,FAN,MAN,OLF,+1,35131240_35132240
04,07,male_correct,35134100_35134910,lip,d,y,UNC,OLF,MAN,MAF,OLF,FAN,0,35134100_35134910
04,07,male_correct,35173380_35174640,blueberries,n,n,UNC,NOF,MAN,OLF,FAN,OLN,-1,35172050_35173380
04,07,male_correct,38235900_38241190,movie,d,n,FAT,OLN,NON,OLN,MAN,OLN,+1,38241190_38242190
04,07,male_correct,38241190_38242190,movie,q,n,FAT,NON,OLN,MAN,OLN,NOF,0,38241190_38242190
04,07,male_correct,38320940_38323830,Star+Wars+Movies,d,n,FAT,OLF,SIL,MAN,NOF,MAN,0,38320940_38323830
04,07,male_correct,38324710_38326250,Star+Wars+Movies,q,n,FAT,MAN,NOF,MAN,SIL,MAN,0,38324710_38326250
04,07,male_correct,38448260_38449750,baby,d,y,FAT,OLN,NOF,OLN,MAN,OLF,+1,38449750_38451660
04,07,male_correct,38449750_38451660,baby,d,y,FAT,NOF,OLN,MAN,OLF,NOF,0,38449750_38451660
04,07,male_incorrect,31770370_31773650,organic+carrots,d,n,UNC,FAN,NOF,OLN,NOF,OLN,0,31770370_31773650
04,07,male_incorrect,31978590_31980520,garlic,i,n,UNC,OLN,CHN,OLN,CHN,CHN,0,31978590_31980520
04,07,male_incorrect,35637500_35643940,baby+button,n,y,FAT,OLN,FAN,TVN,TVN,FAN,0,35637500_35643940
04,07,male_incorrect,35655700_35656530,leg,n,y,FAT,OLF,FAN,TVN,TVN,TVN,0,35655700_35656530
04,07,male_incorrect,35657530_35658530,legs,n,y,FAT,TVN,TVN,TVN,TVN,TVN,0,35657530_35658530
04,07,male_incorrect,35660860_35662220,baby+button,n,y,FAT,TVN,TVN,TVN,TVN,CXN,0,35660860_35662220
04,07,male_incorrect,35662220_35666470,baby+button,n,y,FAT,TVN,TVN,TVN,CXN,TVN,0,35662220_35666470
04,07,female_correct,16970_17990,pants,q,y,MOT,FAN,SIL,FAN,SIL,CHN,0,16970_17990
04,07,female_correct,39270_40270,button,n,y,MOT,FAN,SIL,FAN,SIL,NOF,0,39270_40270
04,07,female_correct,51090_52090,vest,d,y,MOT,NOF,OLN,FAN,NOF,SIL,0,51090_52090
04,07,female_correct,72920_74970,baby,d,y,MOT,SIL,NON,FAN,SIL,TVF,0,72920_74970
04,07,female_correct,117380_118460,bib,d,n,MOT,FAN,NOF,MAF,CHF,CHF,-2,114690_115690
04,07,female_correct,119600_123130,bib,d,y,MOT,CHF,CHF,FAN,NOF,OLN,0,119600_123130
04,07,female_correct,150210_151240,socks,d,y,MOT,SIL,FAN,NOF,SIL,NOF,-1,148810_150210
04,07,female_correct,159450_161930,sock,d,y,MOT,FAN,OLF,FAN,SIL,FAN,0,159450_161930
04,07,female_correct,163160_164400,sock,d,y,MOT,FAN,SIL,FAN,NOF,OLN,0,163160_164400
04,07,female_correct,189600_192620,foot,n,y,MOT,SIL,OLN,OLF,FAN,NOF,+1,192620_194540
04,07,female_correct,192620_194540,feet,n,y,MOT,OLN,OLF,FAN,NOF,SIL,0,192620_194540
04,07,female_correct,194540_195900,feet,n,y,MOT,OLF,FAN,NOF,SIL,NOF,-1,192620_194540
04,07,female_correct,210610_212040,socks,n,y,MOT,OLN,NOF,FAF,NOF,SIL,0,210610_212040
04,07,female_correct,227290_228290,boogie,d,y,MOT,NOF,SIL,FAN,MAN,OLN,0,227290_228290
04,07,female_correct,228290_229880,boogie,n,y,MOT,SIL,FAN,MAN,OLN,MAN,-1,227290_228290
04,07,female_correct,244450_245490,pin,d,y,MOT,NOF,SIL,OLF,NOF,FAF,+2,249370_250170
04,07,female_correct,293150_294300,pin,d,y,MOT,SIL,TVF,FAF,SIL,OLF,0,293150_294300
04,07,female_correct,4210940_4213010,nugget,s,n,MOT,FAF,SIL,CXN,CXN,SIL,-2,4207700_4210140
04,07,female_correct,4409750_4410760,minion,i,y,MOT,FAN,OLN,FAN,OLN,FAN,0,4409750_4410760
04,07,female_correct,4411610_4412980,minion,i,y,MOT,FAN,OLN,FAN,OLN,CHN,0,4411610_4412980
04,07,female_correct,4414070_4414680,minion,i,y,MOT,FAN,OLN,CHN,FAN,OLN,-2,4411610_4412980
04,07,female_correct,5438760_5443330,Kitty+Purry,n,y,MOT,OLN,CHN,FAN,FAN,OLN,0,5438760_5443330
04,07,female_correct,5470900_5471930,butt,q,y,MOT,FAN,OLF,FAN,OLN,OLF,0,5470900_5471930
04,07,female_correct,5536250_5538040,snow,d,n,MOT,FAN,FAN,FAN,TVF,SIL,0,5536250_5538040
04,07,female_correct,5568600_5570010,white+lipped+python,n,n,MOT,SIL,OLN,FAN,OLN,NOF,0,5568600_5570010
04,07,female_correct,5574250_5576990,TV,q,y,MOT,OLN,NOF,FAN,SIL,TVN,0,5574250_5576990
04,07,female_correct,5655510_5657390,snake,d,y,MOT,FAN,OLF,FAN,NOF,SIL,0,5655510_5657390
04,07,female_correct,5668730_5669730,snakes,n,y,MOT,OLF,SIL,FAN,NOF,OLN,0,5668730_5669730
04,07,female_correct,5700850_5701960,tree+snake,q,y,MOT,OLF,OLN,FAN,OLN,OLF,0,5700850_5701960
