subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
11,06,male_correct,62180_63180,Michigan,d,y,FAT,SIL,NOF,MAN,OLF,SIL,0,62180_63180
11,06,male_correct,67080_69760,kitty+cat,d,y,FAT,OLF,SIL,MAF,TVN,MAF,0,67080_69760
11,06,male_correct,79220_80230,ladybug,d,y,FAT,NOF,OLF,MAN,OLF,MAN,0,79220_80230
11,06,male_correct,130620_131620,ladybug,d,y,FAT,NOF,OLN,MAN,NOF,OLN,0,130620_131620
11,06,male_correct,231200_232630,medicine,d,n,FAT,NOF,SIL,OLF,NOF,MAF,+2,235180_236180
11,06,male_correct,310760_312940,dishwasher,q,y,FAT,NOF,MAF,NOF,MAF,NOF,-1,309630_310760
11,06,male_correct,542390_543530,chair,d,y,FAT,NON,MAN,OLF,NOF,SIL,-1,541390_542390
11,06,male_correct,564030_565270,nose,d,y,FAT,OLF,NOF,MAN,NOF,MAN,0,564030_565270
11,06,male_correct,597450_599130,shades,d,y,FAT,SIL,NOF,MAN,NOF,SIL,0,597450_599130
11,06,male_correct,633670_635110,train,n,y,FAT,NOF,SIL,MAN,NOF,MAF,0,633670_635110
11,06,male_correct,637920_638750,train,d,y,FAT,NOF,MAF,NOF,OLF,NOF,-1,636040_637920
11,06,male_correct,708450_711170,Michigan,d,y,FAT,SIL,NOF,MAN,SIL,SIL,0,708450_711170
11,06,male_correct,735790_737640,Michigan,i,y,FAT,SIL,MAN,MAF,TVF,MAF,0,735790_737640
11,06,male_correct,738920_739920,Michigan,n,y,FAT,MAF,TVF,MAF,TVN,MAN,0,738920_739920
11,06,male_correct,742050_743490,arms,d,y,FAT,MAF,TVN,MAN,SIL,OLF,0,742050_743490
11,06,male_correct,839140_840140,train,d,y,FAT,SIL,NOF,MAF,SIL,NOF,0,839140_840140
11,06,male_correct,844160_846040,floor,q,y,FAT,SIL,NOF,MAN,SIL,SIL,0,844160_846040
11,06,male_correct,904790_906280,pacifier,q,y,FAT,NOF,SIL,FAN,MAN,SIL,+1,906280_907310
11,06,male_correct,906280_907310,toy,q,y,FAT,SIL,FAN,MAN,SIL,MAN,0,906280_907310
11,06,male_correct,937280_939260,Michigan,d,y,FAT,MAN,TVF,MAF,SIL,SIL,0,937280_939260
11,06,male_correct,1001690_1002780,Michigan,d,y,FAT,SIL,SIL,MAN,SIL,NOF,0,1001690_1002780
11,06,male_correct,1011760_1012760,Michigan,n,y,FAT,SIL,TVF,MAN,TVF,NOF,0,1011760_1012760
11,06,male_correct,1027550_1028690,kitty,d,y,FAT,OLN,NOF,MAN,NOF,SIL,0,1027550_1028690
11,06,male_correct,1035020_1036190,arm,d,y,FAT,MAN,TVF,MAF,SIL,SIL,0,1035020_1036190
11,06,male_correct,1042110_1044160,Michigan,d,y,FAT,SIL,SIL,MAN,SIL,NOF,0,1042110_1044160
11,06,male_correct,1108060_1109270,train,d,n,FAT,SIL,FAN,MAN,SIL,NOF,0,1108060_1109270
11,06,male_correct,1313080_1313880,pants,d,y,FAT,MAN,SIL,OLF,NOF,SIL,-2,1311070_1312070
11,06,male_correct,1358790_1360520,changing+table,q,n,FAT,SIL,SIL,MAN,SIL,NOF,0,1358790_1360520
11,06,male_correct,1489370_1490530,toes,q,y,FAT,SIL,SIL,MAF,TVF,SIL,0,1489370_1490530
11,06,male_correct,1571980_1572980,ground,d,y,FAT,NOF,OLN,MAN,FAN,MAN,0,1571980_1572980
11,06,male_correct,1583320_1584380,car,q,n,FAT,MAN,TVF,MAN,TVF,MAN,0,1583320_1584380
11,06,male_correct,1630830_1635370,squirrels,d,n,FAT,SIL,TVF,MAN,TVF,MAN,0,1630830_1635370
11,06,male_correct,1636370_1638460,leaves,d,n,FAT,MAN,TVF,MAN,TVF,MAN,0,1636370_1638460
11,06,male_correct,1639460_1642060,truck,d,y,FAT,MAN,TVF,MAN,TVF,MAN,0,1639460_1642060
11,06,male_correct,1689040_1690280,couch,q,y,FAT,OLN,NOF,MAN,MAF,NOF,0,1689040_1690280
11,06,male_correct,1734050_1735370,Michigan,d,y,FAT,OLF,SIL,MAN,NOF,MAN,0,1734050_1735370
11,06,male_correct,1736270_1737470,Moodge,d,y,FAT,MAN,NOF,MAN,SIL,MAF,0,1736270_1737470
11,06,male_correct,1738390_1739390,Moodgimoodge,n,y,FAT,MAN,SIL,MAF,NOF,SIL,0,1738390_1739390
11,06,male_correct,1766590_1767610,arms,i,y,FAT,MAF,SIL,MAN,NON,OLN,0,1766590_1767610
11,06,male_correct,1770460_1772900,arms,n,y,FAT,MAN,NON,OLN,NOF,OLN,-2,1766590_1767610
11,06,male_correct,1861460_1864510,toys,d,n,FAT,SIL,NOF,MAN,SIL,FAN,0,1861460_1864510
11,06,male_correct,1873320_1874320,pacifier,q,y,FAT,SIL,SIL,MAN,SIL,MAN,0,1873320_1874320
11,06,male_correct,1876270_1877270,mouth,d,y,FAT,SIL,MAN,TVF,SIL,SIL,-1,1875160_1876270
11,06,male_correct,1885650_1886450,hand,d,y,FAT,SIL,MAF,SIL,NOF,SIL,-1,1884400_1885650
11,06,male_correct,1909900_1911060,pacifier,d,y,FAT,SIL,SIL,MAF,SIL,NOF,0,1909900_1911060
11,06,male_correct,1932150_1933150,Mr+Elephant,d,y,FAT,MAF,SIL,MAF,SIL,TVF,0,1932150_1933150
11,06,male_correct,1935540_1937270,Mr+Elephant,d,y,FAT,SIL,TVF,MAN,SIL,SIL,0,1935540_1937270
11,06,male_correct,1943790_1944860,mouth,d,y,FAT,NOF,MAF,OLN,NOF,MAN,-1,1942790_1943790
11,06,male_correct,1945660_1947660,elephant,d,y,FAT,OLN,NOF,MAN,SIL,MAN,0,1945660_1947660
11,06,male_correct,1949450_1950680,trunk,d,y,FAT,MAN,SIL,MAN,SIL,NOF,0,1949450_1950680
11,06,male_correct,2036480_2039990,elephant,d,y,FAT,SIL,SIL,MAF,NOF,FAF,0,2036480_2039990
11,06,male_correct,2116750_2118610,Mr+Tiger,q,y,FAT,SIL,OLF,MAN,SIL,NON,0,2116750_2118610
11,06,male_correct,2137750_2139230,eyes,d,n,FAT,CXN,SIL,MAN,SIL,CHN,0,2137750_2139230
11,06,male_correct,2157780_2158830,bin,d,y,FAT,TVF,SIL,MAF,TVF,SIL,0,2157780_2158830
11,06,male_correct,2184160_2186530,eyes,d,y,FAT,OLF,OLN,MAN,SIL,OLF,0,2184160_2186530
11,06,male_correct,7130830_7132450,snow,d,y,FAT,NOF,SIL,MAN,FAN,SIL,0,7130830_7132450
11,06,male_correct,7205750_7207290,smile,d,n,FAT,SIL,NOF,MAN,NOF,MAF,0,7205750_7207290
11,06,male_correct,7359340_7366180,medicine,d,y,FAT,MAN,SIL,MAN,NOF,MAN,0,7359340_7366180
11,06,male_correct,7372400_7375020,monkey,s,n,FAT,MAN,NOF,MAN,SIL,SIL,0,7372400_7375020
11,06,male_correct,7394640_7396330,bed,d,y,FAT,MAN,SIL,MAN,MAF,FAF,0,7394640_7396330
11,06,male_correct,7435390_7438020,medicine,d,n,FAT,MAF,SIL,MAN,OLF,SIL,0,7435390_7438020
11,06,male_correct,7454820_7465000,head,d,y,FAT,MAN,FAN,MAN,FAN,OLN,0,7454820_7465000
11,06,male_correct,7472210_7473010,head,d,y,FAT,FAN,MAN,FAN,MAF,OLF,-1,7470280_7472210
11,06,male_correct,9106720_9107750,snowflakes,q,y,FAT,SIL,NOF,MAN,FAF,SIL,0,9106720_9107750
11,06,male_correct,9611320_9615810,gift+card,d,y,FAT,OLN,CHN,OLN,NOF,MAN,+2,9616760_9617760
11,06,male_correct,10275250_10276570,banana,q,y,FAT,FAN,NOF,MAN,NOF,MAN,0,10275250_10276570
11,06,male_correct,10277660_10278660,banana,q,y,FAT,MAN,NOF,MAN,OLN,MAN,0,10277660_10278660
11,06,male_correct,10358360_10359960,cars,d,n,FAT,NOF,SIL,MAN,TVF,MAN,0,10358360_10359960
11,06,male_correct,10387720_10389400,banana,q,y,FAT,CHN,CHN,MAN,CHN,CHN,0,10387720_10389400
11,06,male_correct,10465260_10466020,diaper,d,y,FAT,MAN,OLN,CHN,CHN,CHN,-2,10463650_10464660
11,06,male_correct,10513860_10514970,toe,d,y,FAT,SIL,FAN,MAN,SIL,NOF,0,10513860_10514970
11,06,male_correct,10652960_10653960,diaper,d,n,FAT,NOF,CHN,MAN,NOF,FAN,0,10652960_10653960
11,06,male_correct,10770800_10772200,fingers,i,y,FAT,SIL,SIL,MAN,SIL,NOF,0,10770800_10772200
11,06,male_correct,10784200_10787580,clothes,d,n,FAT,FAF,SIL,MAN,NOF,CHN,0,10784200_10787580
11,06,male_correct,10815670_10817670,changing+table,d,y,FAT,MAN,TVF,MAN,TVF,MAN,0,10815670_10817670
