subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
11,07,male_correct,1127660_1128690,frog,d,y,GRP,OLN,OLF,MAN,OLF,NOF,0,1127660_1128690
11,07,male_correct,1132980_1133780,frog,d,y,GRP,OLF,MAN,OLF,NOF,OLF,-1,1131980_1132980
11,07,male_correct,1139090_1140870,bacon,q,n,GRP,MAN,SIL,MAN,NOF,OLN,0,1139090_1140870
11,07,male_correct,1676390_1677390,cereal,q,n,GRP,MAN,OLF,MAN,OLN,NOF,0,1676390_1677390
11,07,male_correct,1890540_1896300,pancakes,d,y,FAT,OLN,MAN,OLN,MAN,NOF,-1,1889540_1890540
11,07,male_correct,2516360_2519240,diaper,d,n,FAT,FAN,OLF,MAN,OLN,MAF,0,2516360_2519240
11,07,male_correct,2540140_2543070,outlet,d,n,FAT,MAN,OLF,MAN,OLF,MAN,0,2540140_2543070
11,07,male_correct,2543870_2546940,tools,d,n,FAT,MAN,OLF,MAN,OLF,MAF,0,2543870_2546940
11,07,male_correct,2555080_2557380,washing+machine,d,n,FAT,MAN,OLF,MAN,OLN,MAN,0,2555080_2557380
11,07,male_correct,2558400_2562680,boxes,d,n,FAT,MAN,OLN,MAN,OLN,MAN,0,2558400_2562680
11,07,male_correct,2562680_2563920,wall,d,n,FAT,OLN,MAN,OLN,MAN,OLN,-1,2558400_2562680
11,07,male_correct,2563920_2566480,outlets,d,n,FAT,MAN,OLN,MAN,OLN,MAN,0,2563920_2566480
11,07,male_correct,2575440_2578120,washing+maching,d,n,FAT,NOF,OLF,MAN,OLN,MAN,0,2575440_2578120
11,07,male_correct,2582690_2586180,outlets,d,n,FAT,MAN,FAF,MAN,NOF,MAN,0,2582690_2586180
11,07,male_correct,2603660_2615590,vacuum+cleaner,d,n,FAT,MAN,FAN,MAN,SIL,MAN,0,2603660_2615590
11,07,male_correct,2636100_2638930,cord,d,y,FAT,MAN,OLN,MAN,OLF,MAN,0,2636100_2638930
11,07,male_correct,2639830_2642240,outlet,d,n,FAT,MAN,OLF,MAN,OLN,MAN,0,2639830_2642240
11,07,male_correct,2642240_2643270,wall,d,n,FAT,OLF,MAN,OLN,MAN,OLN,-1,2639830_2642240
11,07,male_correct,2669610_2673580,dishwasher,d,n,FAT,MAN,OLF,MAN,OLN,MAN,0,2669610_2673580
11,07,male_correct,2697270_2701830,shirt,d,y,FAT,OLN,NOF,MAN,NOF,OLF,0,2697270_2701830
11,07,male_correct,2748020_2749850,microphone,q,n,FAT,OLN,NOF,MAN,OLN,MAN,0,2748020_2749850
11,07,male_correct,2758600_2760000,hair,q,n,FAT,MAN,OLN,MAN,OLN,MAN,0,2758600_2760000
11,07,male_correct,2794270_2795440,hair,d,n,FAT,OLF,MAN,OLN,NOF,OLN,-1,2793130_2794270
11,07,male_correct,2817300_2833500,laundry,d,n,FAT,MAN,SIL,MAN,OLN,NOF,0,2817300_2833500
11,07,male_correct,2860290_2865010,hammer,q,n,FAT,OLF,MAN,OLN,MAN,OLN,-1,2857720_2860290
11,07,male_correct,2871070_2877250,door,d,n,FAT,MAN,OLN,MAN,OLN,MAN,0,2871070_2877250
11,07,male_correct,2888870_2891480,night+wear,d,n,FAT,MAF,OLF,MAN,MAF,OLN,0,2888870_2891480
