subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
12,07,male_correct,20326990_20328440,camera,q,n,GRP,FAN,OLN,FAN,MAF,SIL,+1,20328440_20329300
12,07,male_correct,20525180_20527010,hat,q,y,GRP,CXN,OLN,MAN,NOF,OLN,0,20525180_20527010
12,07,male_correct,34842790_34843920,ball,d,y,FAT,OLF,NOF,MAN,CHN,CHN,0,34842790_34843920
12,07,male_correct,34849540_34850550,blanky,d,y,FAT,SIL,NOF,MAN,OLF,MAN,0,34849540_34850550
12,07,male_correct,34855500_34856500,turtle,d,y,FAT,MAN,NOF,MAN,OLF,MAN,0,34855500_34856500
12,07,male_correct,34857680_34858890,turtle,d,y,FAT,MAN,OLF,MAN,FAN,OLF,0,34857680_34858890
12,07,male_correct,34860080_34861690,keys,d,y,FAT,MAN,FAN,OLF,NOF,OLF,-2,34857680_34858890
12,07,male_correct,34889000_34891970,hat,d,y,FAT,MAF,OLF,OLN,NOF,MAN,-2,34886600_34887620
12,07,male_correct,34896480_34897490,socks,i,y,FAT,MAN,NOF,FAN,NOF,SIL,-2,34894520_34895530
12,07,male_correct,34954290_34955440,shoes,d,y,FAT,NOF,OLF,MAN,FAN,OLF,0,34954290_34955440
12,07,male_correct,34955440_34956610,shoes,d,y,FAT,OLF,MAN,FAN,OLF,FAN,-1,34954290_34955440
12,07,male_correct,35004500_35005500,hat,q,y,FAT,NOF,OLF,MAN,NOF,OLN,0,35004500_35005500
12,07,male_correct,37033550_37034630,hat,i,y,FAT,MAN,SIL,MAN,OLN,OLF,0,37033550_37034630
12,07,male_correct,37036360_37037600,blanky,i,y,FAT,OLN,OLF,MAN,OLF,MAN,0,37036360_37037600
12,07,male_correct,37140610_37142600,vest,d,y,FAT,MAN,OLN,MAN,FAN,MAN,0,37140610_37142600
12,07,male_correct,37213590_37221680,elephants,d,n,FAT,FAN,OLF,MAN,OLF,MAN,0,37213590_37221680
12,07,male_correct,37250790_37252910,sand,d,n,GRP,MAN,OLN,MAN,NON,FAN,0,37250790_37252910
12,07,male_correct,37254270_37255580,turtle,d,y,FAT,MAN,NON,FAN,NOF,MAN,-2,37250790_37252910
12,07,male_correct,37256380_37258380,turtle,d,y,GRP,FAN,NOF,MAN,OLN,MAN,0,37256380_37258380
12,07,male_correct,37293340_37296140,teeth,d,y,FAT,OLN,MAN,OLN,FAN,OLF,-1,37292340_37293340
12,07,male_correct,37296140_37297240,teeth,d,y,FAT,MAN,OLN,FAN,OLF,FAN,-2,37292340_37293340
12,07,male_correct,37314690_37316900,plug,q,y,GRP,MAN,NOF,OLN,NOF,OLN,-2,37311460_37313020
12,07,male_correct,37321370_37322890,plug,q,y,GRP,OLN,NOF,MAN,OLN,MAN,0,37321370_37322890
12,07,male_correct,37329310_37330440,pool,d,n,GRP,CXN,NOF,MAN,FAN,MAN,0,37329310_37330440
12,07,male_correct,37331330_37333520,pool,d,n,GRP,MAN,FAN,MAN,SIL,MAN,0,37331330_37333520
12,07,male_correct,37334510_37337340,pool,d,n,GRP,MAN,SIL,MAN,SIL,NOF,0,37334510_37337340
12,07,male_correct,37422020_37423640,remote,q,y,GRP,MAN,OLN,MAN,OLF,MAN,0,37422020_37423640
12,07,male_correct,37426820_37427820,buttons,d,y,GRP,MAN,OLN,MAN,OLN,MAN,0,37426820_37427820
12,07,male_correct,37429050_37430160,buttons,d,y,GRP,MAN,OLN,MAN,NOF,OLN,0,37429050_37430160
12,07,male_correct,37434740_37435740,buttons,d,y,GRP,OLN,NON,MAN,OLF,OLN,0,37434740_37435740
12,07,male_correct,37469350_37470350,keys,d,y,FAT,NOF,OLN,FAN,MAN,OLN,+1,37470350_37472880
12,07,male_correct,37589690_37590780,mouth,i,y,GRP,MAN,NOF,MAN,FAN,OLN,0,37589690_37590780
12,07,male_correct,37690400_37692420,mouth,d,y,GRP,MAN,OLN,MAN,OLN,MAN,0,37690400_37692420
12,07,male_correct,37692420_37694570,mouth,i,y,GRP,OLN,MAN,OLN,MAN,OLN,-1,37690400_37692420
12,07,male_correct,37861740_37863570,battery,d,n,GRP,OLF,OLN,MAN,OLF,OLN,0,37861740_37863570
12,07,male_correct,37955120_37957780,floor,d,y,GRP,MAN,MAF,MAN,NOF,OLF,0,37955120_37957780
12,07,male_correct,38040190_38041190,turtle,d,y,GRP,MAN,OLF,MAN,OLF,FAN,0,38040190_38041190
12,07,male_correct,38043540_38046440,turtle,d,y,GRP,OLF,FAN,MAN,OLN,MAN,0,38043540_38046440
12,07,male_correct,38048690_38050810,turtle,d,y,GRP,MAN,OLN,MAN,OLN,NOF,0,38048690_38050810
12,07,male_correct,38050810_38052110,turtles,d,y,GRP,OLN,MAN,OLN,NOF,MAN,-1,38048690_38050810
12,07,male_correct,38054860_38056490,turtles,d,y,GRP,OLN,NOF,MAN,OLF,FAF,0,38054860_38056490
12,07,male_correct,38101050_38104780,TV,q,y,GRP,MAF,OLF,MAN,OLN,MAN,0,38101050_38104780
12,07,male_correct,38116460_38117620,jacket,q,y,GRP,MAN,OLN,MAN,OLF,MAN,0,38116460_38117620
12,07,male_correct,38120520_38122860,newspaper,d,y,GRP,MAN,OLF,MAN,OLF,NOF,0,38120520_38122860
12,07,male_correct,38305320_38306450,turtle+shell,d,y,GRP,MAN,OLF,MAN,OLF,MAN,0,38305320_38306450
12,07,male_correct,38308050_38309060,turtle+farm,d,n,GRP,MAN,OLF,MAN,NOF,OLF,0,38308050_38309060
12,07,male_correct,38313880_38315040,turtles,q,y,GRP,MAN,NOF,MAN,OLN,MAN,0,38313880_38315040
12,07,male_correct,38315930_38317480,turtles,d,y,GRP,MAN,OLN,MAN,OLN,MAN,0,38315930_38317480
12,07,male_correct,38317480_38318280,animals,d,n,GRP,OLN,MAN,OLN,MAN,NOF,-1,38315930_38317480
12,07,male_correct,38325380_38328350,turtles,d,n,GRP,CHN,CHN,OLN,MAN,OLF,+1,38328350_38329540
12,07,male_correct,38333650_38334670,turtles,d,n,FAT,OLN,MAN,OLN,MAN,OLN,-1,38332330_38333650
12,07,male_correct,38334670_38345140,turtles,d,n,FAT,MAN,OLN,MAN,OLN,FAN,0,38334670_38345140
12,07,male_correct,38345950_38347620,turtles,d,n,GRP,MAN,OLN,FAN,MAN,FAN,-2,38334670_38345140
12,07,male_correct,38351780_38352880,turtles,d,n,FAT,MAN,OLN,MAN,OLF,FAN,0,38351780_38352880
12,07,male_correct,38358190_38359310,turtle+farm,d,n,GRP,NOF,MAN,FAN,OLN,MAN,-1,38357190_38358190
12,07,male_correct,38360220_38361660,turtles,d,n,GRP,FAN,OLN,MAN,OLN,MAN,0,38360220_38361660
12,07,male_correct,38362460_38363520,turtle+farm,d,n,GRP,MAN,OLN,MAN,OLF,MAN,0,38362460_38363520
12,07,male_correct,38369540_38371780,turtles,d,n,GRP,CHN,CHN,MAN,SIL,MAN,0,38369540_38371780
12,07,male_correct,38372750_38374580,turtles,d,n,GRP,MAN,SIL,MAN,NOF,SIL,0,38372750_38374580
12,07,male_correct,38398230_38400660,shotgun,d,n,GRP,SIL,MAN,OLN,CHN,CHN,-1,38397110_38398230
12,07,male_correct,38427070_38430580,house,d,n,FAT,OLN,MAN,OLN,MAN,OLN,-1,38424240_38427070
12,07,male_correct,38440510_38443720,fan,q,y,FAT,MAN,OLN,MAN,FAN,MAN,0,38440510_38443720
12,07,male_correct,38443720_38445140,fan,q,y,FAT,OLN,MAN,FAN,MAN,FAN,-1,38440510_38443720
12,07,male_correct,38447810_38448840,fan,q,y,FAT,FAN,MAN,FAN,MAN,FAN,-1,38445140_38447810
12,07,male_correct,38448840_38449860,fan,q,y,GRP,MAN,FAN,MAN,FAN,MAN,0,38448840_38449860
12,07,male_correct,38514050_38517560,ocean,d,n,GRP,MAN,OLN,MAN,FAN,OLN,0,38514050_38517560
12,07,male_correct,38556030_38560330,pool,d,n,FAT,MAF,MAN,OLN,MAN,NOF,-2,38554090_38554900
12,07,male_correct,38560330_38564230,feet,d,n,FAT,MAN,OLN,MAN,NOF,MAN,0,38560330_38564230
12,07,male_correct,38564830_38571730,water,d,N,FAT,MAN,NOF,MAN,OLN,MAN,0,38564830_38571730
12,07,male_correct,38605500_38607210,water,d,n,FAT,MAN,OLN,MAN,OLN,MAN,0,38605500_38607210
12,07,male_correct,38628830_38630510,hands,d,y,GRP,MAN,OLF,MAN,OLN,TVF,0,38628830_38630510
12,07,male_correct,38652780_38653490,mouth,q,y,FAT,OLF,MAN,FAN,FAN,OLF,-1,38650800_38652780
12,07,male_correct,38653490_38654610,hands,q,y,FAT,MAN,FAN,FAN,OLF,MAN,-2,38650800_38652780
12,07,male_correct,38785860_38793060,mouth,i,y,FAT,MAN,NOF,OLN,NOF,OLF,-2,38783720_38784730
