subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
13,06,male_correct,5615910_5618080,pool,d,n,FAT,TVF,OLF,MAN,SIL,MAN,0,5615910_5618080
13,06,male_correct,13395390_13395990,pool,d,n,FAT,SIL,MAN,CXN,SIL,MAN,-1,13394230_13395390
13,06,male_correct,13923100_13924550,pants,q,n,FAT,CXN,SIL,MAN,FAN,FAN,0,13923100_13924550
13,06,male_correct,14288710_14291250,underwear,d,n,FAT,SIL,NOF,MAN,FAF,SIL,0,14288710_14291250
13,06,male_correct,14386790_14387960,nails,d,y,FAT,MAN,OLN,NOF,OLN,NOF,-2,14384730_14385730
13,06,male_correct,21089210_21091110,tiger,s,n,FAT,NOF,CHN,FAN,MAN,FAN,+1,21091110_21092930
13,06,male_correct,21092930_21094860,lion,s,n,FAT,FAN,MAN,FAN,NOF,OLN,-1,21091110_21092930
13,06,male_correct,21118300_21119600,hat,d,y,FAT,OLN,NOF,MAN,OLN,NON,0,21118300_21119600
13,06,male_correct,21142710_21144530,Batman,q,n,FAT,CXN,OLN,MAN,SIL,NOF,0,21142710_21144530
13,06,male_correct,21149370_21151520,angry+birds,d,n,FAT,OLN,CXN,MAN,CXF,MAN,0,21149370_21151520
13,06,male_correct,21152320_21153980,Batman,q,n,FAT,MAN,CXF,MAN,CXN,OLF,0,21152320_21153980
13,06,male_correct,21172560_21174820,Slugterra,q,n,FAT,MAN,SIL,MAN,SIL,CXN,0,21172560_21174820
13,06,male_correct,21176440_21178340,Power+Rangers,d,n,FAT,SIL,CXN,MAN,CXF,OLF,0,21176440_21178340
13,06,male_correct,21194000_21195490,Jungle+Fury,d,n,FAT,NOF,CXN,MAN,SIL,MAN,0,21194000_21195490
13,06,male_correct,21198890_21200380,Power+Rangers+Samurai,q,n,FAT,CXN,OLN,MAN,SIL,CXN,0,21198890_21200380
13,06,male_correct,21203070_21204870,Jungle+Fury,d,n,FAT,SIL,CXN,MAN,TVF,CXN,0,21203070_21204870
13,06,male_correct,21213700_21215160,triangle,d,n,FAT,SIL,SIL,MAN,FAN,CXN,0,21213700_21215160
13,06,male_correct,21265620_21267000,Power+Rangers,i,n,FAT,CXN,OLF,MAN,CXN,OLF,0,21265620_21267000
13,06,male_correct,21285120_21286340,roads,q,n,FAT,FAF,SIL,MAN,SIL,FAN,0,21285120_21286340
