subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
15,06,male_correct,1522300_1524160,cereal,d,y,FAT,CHN,CHN,OLN,MAN,OLN,+1,1524160_1525160
15,06,male_correct,1524160_1525160,milk,d,y,FAT,CHN,OLN,MAN,OLN,FAN,0,1524160_1525160
15,06,male_correct,4303670_4305370,window,d,y,FAT,OLN,OLN,MAN,OLN,NOF,0,4303670_4305370
15,06,male_correct,4314400_4316210,bunny+tracks,d,y,FAT,OLF,OLF,MAN,CXN,CXN,0,4314400_4316210
15,06,male_correct,4318230_4319710,bunny+tracks,n,y,FAT,CXN,CXN,MAN,MAN,FAN,0,4318230_4319710
15,06,male_correct,4318230_4319710,bunny+tracks,n,y,FAT,CXN,MAN,MAN,FAN,SIL,0,4318230_4319710
15,06,male_correct,4319710_4320380,bunny+tracks,q,y,FAT,MAN,MAN,FAN,SIL,MAN,-2,4318230_4319710
15,06,male_correct,4396210_4399730,underwears,d,n,FAT,NOF,NOF,MAN,OLF,MAN,0,4396210_4399730
15,06,male_correct,4415920_4416920,bunnies,q,y,FAT,MAN,NOF,MAN,NOF,NOF,0,4415920_4416920
15,06,male_correct,4417720_4419130,bunny,n,y,FAT,NOF,NOF,CXN,MAN,MAN,+1,4419130_4420250
15,06,male_correct,4420250_4421490,bunny,n,y,FAT,MAN,MAN,OLN,MAN,FAN,-2,4419130_4420250
15,06,male_correct,4604180_4605180,bunny,q,y,FAT,SIL,NOF,MAN,FAN,MAN,0,4604180_4605180
15,06,male_correct,4606180_4609530,bunny,q,y,FAT,MAN,FAN,MAN,NOF,MAN,0,4606180_4609530
15,06,male_correct,4622220_4623630,bunny,q,y,FAT,NOF,OLN,MAN,NOF,NOF,0,4622220_4623630
15,06,male_correct,4625200_4626480,bunny,d,y,FAT,NOF,NOF,MAN,OLF,NOF,0,4625200_4626480
15,06,male_correct,4709580_4711620,bunny,q,y,FAT,CHN,CHN,MAN,MAN,FAN,0,4709580_4711620
15,06,male_correct,4709580_4711620,bunny,q,y,FAT,CHN,MAN,MAN,FAN,OLN,0,4709580_4711620
15,06,male_correct,4711620_4714210,bunny,q,y,FAT,MAN,MAN,FAN,OLN,CHN,-2,4709580_4711620
15,06,male_correct,4723490_4724490,book,d,y,FAT,OLN,OLN,MAN,NOF,NOF,0,4723490_4724490
15,06,male_correct,4725370_4726510,book,n,y,FAT,NOF,NOF,MAN,SIL,CXN,0,4725370_4726510
15,06,male_correct,4933290_4934580,ears,d,n,FAT,MAN,MAN,OLN,NOF,CHN,-2,4932270_4933290
15,06,male_correct,5027980_5030440,spoon,d,y,FAT,NON,NON,OLN,NOF,MAN,+2,5032060_5033060
15,06,male_correct,5261890_5263410,chair,q,y,FAT,NOF,OLN,MAN,TVF,OLN,0,5261890_5263410
15,06,male_correct,5269200_5270370,chair,q,y,FAT,NOF,FAN,OLN,NOF,MAN,+2,5271690_5273610
15,06,male_correct,5335290_5336300,chair,d,y,FAT,OLN,FAN,MAN,OLN,MAN,0,5335290_5336300
15,06,male_correct,8238140_8239780,clothes,i,y,FAT,FAN,FAN,MAN,MAN,CXN,0,8238140_8239780
15,06,male_correct,8238140_8239780,clothes,i,y,FAT,FAN,MAN,MAN,CXN,CXN,0,8238140_8239780
15,06,male_correct,8240800_8242060,clothes,n,y,FAT,CXN,CXN,MAN,SIL,MAN,0,8240800_8242060
15,06,male_correct,8250490_8251670,pictures,n,y,FAT,CHN,CHN,MAN,MAN,FAN,0,8250490_8251670
15,06,male_correct,8250490_8251670,pictures,n,y,FAT,CHN,MAN,MAN,FAN,FAN,0,8250490_8251670
15,06,male_correct,8251670_8252730,pictures,q,y,FAT,MAN,MAN,FAN,FAN,MAN,-2,8250490_8251670
15,06,male_correct,8251670_8252730,pictures,q,y,FAT,MAN,FAN,FAN,MAN,CXN,-2,8250490_8251670
15,06,male_correct,8252730_8253730,pictures,n,y,FAT,FAN,FAN,MAN,CXN,CHF,0,8252730_8253730
15,06,male_correct,8260470_8261800,stairs,d,y,FAT,MAN,SIL,MAN,CHN,CHN,0,8260470_8261800
15,06,male_correct,8269460_8270650,Darth+Vader,d,y,FAT,SIL,SIL,MAN,NOF,SIL,0,8269460_8270650
15,06,male_correct,8316060_8317070,turtle,q,y,FAT,CXN,CXN,MAN,CXN,MAN,0,8316060_8317070
15,06,male_correct,8404820_8406170,dinosaur+book,q,n,FAT,MAN,MAN,TVN,CXN,CXN,-2,8403250_8404820
15,06,male_correct,8408440_8410280,dinosaur,r,y,FAT,CXN,TVF,MAN,SIL,SIL,0,8408440_8410280
15,06,male_correct,8418490_8419530,dinosaur,r,y,FAT,SIL,NOF,MAN,FAN,MAN,0,8418490_8419530
15,06,male_correct,8420130_8422020,teeth,r,y,FAT,MAN,FAN,MAN,CXN,NOF,0,8420130_8422020
15,06,male_correct,8425300_8427820,dinosaur,r,y,FAT,SIL,FAN,MAN,SIL,NOF,0,8425300_8427820
15,06,male_correct,8432310_8436100,dinosaur,r,y,FAT,NOF,SIL,MAN,NOF,OLF,0,8432310_8436100
15,06,male_correct,8445070_8446210,dinosaur,r,y,FAT,NOF,FAN,MAN,OLN,MAN,0,8445070_8446210
15,06,male_correct,8447010_8448010,spines,r,y,FAT,MAN,OLN,MAN,CHN,MAN,0,8447010_8448010
15,06,male_correct,8452080_8453120,truck+book,q,y,FAT,FAN,NOF,MAN,CXN,OLN,0,8452080_8453120
15,06,male_correct,8454970_8457030,book,i,y,FAT,CXN,OLN,MAN,OLN,MAN,0,8454970_8457030
15,06,male_correct,8459100_8459760,book,q,y,FAT,OLN,MAN,CXN,NOF,MAN,-1,8458100_8459100
15,06,male_correct,8461620_8463290,truck+book,i,y,FAT,NOF,MAN,FAN,NOF,SIL,-1,8460590_8461620
15,06,male_correct,8467400_8469330,caterpillar+book,q,y,FAT,FAN,FAN,MAN,SIL,OLN,0,8467400_8469330
15,06,male_correct,8471490_8472490,caterpillar+book,n,y,FAT,SIL,OLN,MAN,SIL,MAN,0,8471490_8472490
15,06,male_correct,8473330_8475340,trucks,d,n,FAT,MAN,SIL,MAN,SIL,CHN,0,8473330_8475340
