subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
16,07,male_correct,30489330_30490340,celery,q,y,FAT,FAF,SIL,MAN,FAF,MAN,0,30489330_30490340
16,07,male_correct,30491800_30493800,teeth,d,n,FAT,MAN,FAF,MAN,SIL,FAN,0,30491800_30493800
16,07,male_correct,31487870_31488870,apples,d,n,FAT,FAN,MAN,FAN,MAN,FAN,-1,31486030_31487870
16,07,male_correct,31488870_31490810,spinach,d,n,FAT,MAN,FAN,MAN,FAN,SIL,0,31488870_31490810
16,07,male_correct,35279740_35282580,tummy,d,y,FAT,TVF,SIL,MAN,FAN,MAF,0,35279740_35282580
16,07,male_correct,35293050_35295090,blanket,q,n,FAT,MAN,SIL,MAN,SIL,FAN,0,35293050_35295090
16,07,male_correct,35355120_35357370,ball,d,y,FAT,CXN,CXN,OLN,MAN,NOF,+1,35357370_35358520
16,07,male_correct,35359350_35360480,back,d,y,FAT,MAN,NOF,FAF,SIL,FAN,-2,35357370_35358520
16,07,male_correct,35899720_35901210,bibs,q,n,UNC,OLF,FAN,MAN,NOF,MAN,0,35899720_35901210
16,07,female_correct,26620_31640,eyes,q,y,MOT,FAN,MAF,FAN,OLF,FAN,0,26620_31640
16,07,female_correct,48780_50050,vest,d,y,MOT,NOF,OLN,FAN,MAF,CXN,0,48780_50050
16,07,female_correct,51860_53650,sleeper+bag,d,y,MOT,FAN,MAF,CXN,MAF,CXN,-2,48780_50050
16,07,female_correct,83210_88120,diaper,d,n,MOT,MAF,FAN,FAF,OLF,FAN,0,83210_88120
16,07,female_correct,95730_98000,diaper,d,y,MOT,FAN,OLN,FAN,SIL,FAN,0,95730_98000
16,07,female_correct,103490_106580,fish+tank,d,y,MOT,FAN,FAN,FAN,OLF,FAN,0,103490_106580
16,07,female_correct,113660_115480,eyes,d,y,MOT,MAF,SIL,FAF,SIL,FAN,0,113660_115480
16,07,female_correct,119050_120050,diapee,n,y,MOT,FAF,SIL,FAN,NOF,FAN,0,119050_120050
