subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
17,06,male_correct,2560_6280,vest,d,y,FAT,NOF,MAF,NOF,OLN,NOF,-1,1560_2560
17,06,male_correct,58060_59060,soda+bread,s,n,FAT,OLN,NON,MAN,OLN,MAN,0,58060_59060
17,06,male_correct,61400_62980,soda+bread,s,n,FAT,MAN,OLN,MAN,NOF,OLF,0,61400_62980
17,06,male_correct,636890_638000,teeth,d,n,FAT,FAF,NOF,MAN,OLF,SIL,0,636890_638000
17,06,male_correct,648200_649200,teeth,d,n,FAT,MAN,MAF,MAN,NOF,SIL,0,648200_649200
17,06,male_correct,765740_768010,soda+bread,d,n,FAT,SIL,NOF,MAN,NOF,MAN,0,765740_768010
17,06,male_correct,778580_780810,milk,q,n,FAT,CHN,NOF,MAN,NOF,MAN,0,778580_780810
17,06,male_correct,781820_783010,mouth,q,n,FAT,MAN,NOF,MAN,NOF,CHF,0,781820_783010
17,06,male_correct,783010_787650,milk,n,n,FAT,NOF,MAN,NOF,CHF,CHF,-1,781820_783010
17,06,male_correct,1101690_1102900,timer,d,n,FAT,OLF,NOF,MAN,NOF,OLF,0,1101690_1102900
17,06,male_correct,1112100_1113200,medicine,d,y,FAT,SIL,NOF,MAN,NOF,MAN,0,1112100_1113200
17,06,male_correct,1115130_1116210,arm,d,y,FAT,MAN,NOF,MAN,NOF,OLF,0,1115130_1116210
17,06,male_correct,1142440_1144370,face,d,y,FAT,CHN,NOF,MAN,SIL,NOF,0,1142440_1144370
17,06,male_correct,1196260_1197280,bouncer+thingy,d,n,FAT,MAN,SIL,FAF,MAN,NOF,-2,1194330_1195350
17,06,male_correct,1259750_1261300,saucer+thing,d,n,FAT,MAF,SIL,MAN,NOF,MAN,0,1259750_1261300
17,06,male_correct,2171210_2175530,soda+bread,d,n,FAT,MAN,OLF,MAN,NOF,FAN,0,2171210_2175530
17,06,male_correct,2186860_2189740,soda+bread,d,n,FAT,MAN,OLN,MAN,FAN,FAN,0,2186860_2189740
17,06,male_correct,2208720_2210130,dentist,q,n,FAT,OLF,SIL,MAN,OLF,FAN,0,2208720_2210130
17,06,male_correct,2464340_2466420,bread,d,n,FAT,OLN,NOF,MAN,SIL,TVF,0,2464340_2466420
17,06,male_correct,2580010_2582000,noggin,q,y,FAT,CHN,MAN,CHN,MAN,OLF,-1,2579010_2580010
17,06,male_correct,2582000_2583000,noodle,q,y,FAT,MAN,CHN,MAN,OLF,MAN,0,2582000_2583000
17,06,male_correct,2599780_2600920,squash,d,y,FAT,CHN,CHN,MAN,CHN,CHN,0,2599780_2600920
17,06,male_correct,2867030_2868180,cooler,d,n,FAT,CHN,NON,MAN,NOF,SIL,0,2867030_2868180
17,06,male_correct,2873350_2876590,ice+pack,d,n,FAT,SIL,OLF,MAN,SIL,MAN,0,2873350_2876590
17,06,male_correct,2889400_2890500,ear+stuff,d,y,FAT,CHN,CHN,MAN,NOF,OLN,0,2889400_2890500
17,06,male_correct,2924630_2926000,squash,d,y,FAT,CHN,FAN,MAN,NOF,OLN,0,2924630_2926000
17,06,male_correct,2926800_2928430,eyebrow,d,y,FAT,MAN,NOF,OLN,CHN,NOF,-2,2924630_2926000
17,06,male_correct,3001390_3003300,wire,d,n,FAT,OLN,NOF,MAN,NON,MAN,0,3001390_3003300
17,06,male_correct,3004100_3005100,bra,d,n,FAT,MAN,NON,MAN,FAN,MAN,0,3004100_3005100
17,06,male_correct,3006100_3008400,booby+holders,d,n,FAT,MAN,FAN,MAN,OLN,OLF,0,3006100_3008400
17,06,male_correct,3025630_3026840,bread,d,n,FAT,CHN,OLN,MAN,OLN,NOF,0,3025630_3026840
17,06,male_correct,3389540_3391170,car,q,n,AUD,TVF,OLF,MAF,FAN,NOF,0,3389540_3391170
17,06,male_correct,17609650_17612170,hair,q,n,AUD,FAN,TVN,MAN,FAN,FAN,0,17609650_17612170
17,06,male_correct,24595480_24596530,diaper,d,y,FAT,CHN,CHN,MAN,OLN,CHN,0,24595480_24596530
17,06,male_correct,24602830_24606300,poop,d,n,FAT,NOF,MAN,CHN,CHN,FAN,-1,24601730_24602830
