subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
22,06,male_correct,42404450_42405450,bow,q,n,FAT,MAN,NOF,MAN,NOF,FAN,0,42404450_42405450
22,06,male_correct,42425430_42426430,burp+cloths,q,n,FAT,NOF,OLN,MAN,OLF,OLN,0,42425430_42426430
22,06,male_correct,44873570_44874570,baby,d,y,MFR,MAN,OLN,MAN,OLN,MAN,0,44873570_44874570
22,06,male_correct,45000510_45001310,cake,d,n,MF2,OLN,FAN,OLN,MAN,OLN,+1,45001310_45003280
22,06,male_correct,45093500_45094620,baby,d,y,MF2,FAN,OLN,FAN,OLN,MAN,+2,45095980_45096980
22,06,male_correct,45156750_45158220,baby,d,y,MF2,MAN,OLN,MAN,OLN,MAN,0,45156750_45158220
22,06,male_correct,45166980_45167780,arm,d,y,MF2,OLN,MAN,OLN,MAN,OLN,-1,45165980_45166980
22,06,male_correct,45178250_45179340,babies,d,y,MF2,OLN,MAN,OLN,MAN,OLN,-1,45177170_45178250
22,06,male_correct,50071160_50072850,toy,d,y,FAT,OLN,MAN,OLN,MAN,OLN,-1,50070080_50071160
22,06,male_correct,50987500_50988500,diaper,d,y,FAT,SIL,NOF,MAN,NOF,FAN,0,50987500_50988500
22,06,male_correct,50990010_50992520,chin,d,y,FAT,MAN,NOF,FAN,SIL,SIL,-2,50987500_50988500
22,06,male_incorrect,42313860_42315180,diaper,n,y,FAT,OLN,NON,FAN,NOF,FAN,0,42313860_42315180
22,06,male_incorrect,45230590_45241790,vest,d,y,MF2,OLN,FAN,OLN,FAN,OLN,0,45230590_45241790
22,06,female_correct,910730_912180,tube,q,n,MOT,TVN,SIL,FAN,SIL,TVN,0,910730_912180
22,06,female_correct,968260_969520,nose,d,y,MOT,SIL,TVN,FAN,TVN,TVN,0,968260_969520
22,06,female_correct,1165030_1166030,diaper,q,y,MOT,SIL,SIL,FAN,TVN,SIL,0,1165030_1166030
22,06,female_correct,1287840_1288840,diaper,d,y,MOT,TVN,TVN,MAN,SIL,FAN,+2,1290170_1291630
22,06,female_correct,1290170_1291630,diaper,n,y,MOT,MAN,SIL,FAN,SIL,SIL,0,1290170_1291630
22,06,female_correct,1308490_1310230,ducky,q,y,MOT,SIL,SIL,FAN,SIL,FAN,0,1308490_1310230
22,06,female_correct,1395000_1396810,legs,d,y,MOT,TVF,SIL,FAN,TVN,FAN,0,1395000_1396810
22,06,female_correct,1398520_1399320,legs,i,y,MOT,FAN,TVN,FAN,TVN,SIL,0,1398520_1399320
22,06,female_correct,1512040_1514100,arm,d,y,MOT,NOF,FAN,OLN,NOF,SIL,-1,1510990_1512040
22,06,female_correct,1533270_1534380,diaper,q,y,MOT,OLF,NOF,FAN,NOF,OLF,0,1533270_1534380
22,06,female_correct,1537030_1538700,diaper,d,y,MOT,OLF,FAN,NOF,OLF,FAN,-1,1536030_1537030
22,06,female_correct,1539660_1540260,diaper,d,y,MOT,NOF,OLF,FAN,OLF,NOF,0,1539660_1540260
22,06,female_correct,1564970_1566080,ducky,q,y,MOT,OLF,NOF,FAN,NOF,SIL,0,1564970_1566080
22,06,female_correct,1577660_1579900,ducky,d,n,MOT,SIL,NOF,FAN,NOF,FAN,0,1577660_1579900
22,06,female_correct,1581200_1582330,diaper+change,d,y,MOT,FAN,NOF,FAN,SIL,NOF,0,1581200_1582330
22,06,female_correct,1641900_1644950,high+chair,q,y,MOT,FAN,NOF,FAN,NOF,SIL,0,1641900_1644950
22,06,female_correct,1704910_1705720,foot,q,y,MOT,NOF,FAN,OLN,NOF,OLN,-1,1703910_1704910
22,06,female_correct,2028130_2029250,toy,q,y,MOT,SIL,FAN,MAN,NOF,FAN,-1,2027230_2028130
22,06,female_correct,2030140_2031590,toy,q,y,MOT,MAN,NOF,FAN,OLN,NOF,0,2030140_2031590
22,06,female_correct,2031590_2032460,floor,q,y,MOT,NOF,FAN,OLN,NOF,CHN,-1,2030140_2031590
22,06,female_correct,2044930_2047220,puffs,d,n,MOT,SIL,NOF,FAN,FAF,MAN,0,2044930_2047220
22,06,female_correct,2049290_2050100,puffs,n,n,MOT,FAF,MAN,FAN,SIL,OLF,0,2049290_2050100
22,06,female_correct,2108710_2109930,toy,d,y,MOT,OLF,FAN,OLN,SIL,NOF,-1,2107000_2108710
22,06,female_correct,3105680_3106820,thumb,d,y,MOT,NOF,SIL,FAN,SIL,FAN,0,3105680_3106820
22,06,female_correct,3107650_3109180,thumb,q,y,MOT,FAN,SIL,FAN,SIL,CXN,0,3107650_3109180
22,06,female_correct,3109980_3111470,thumb,q,y,MOT,FAN,SIL,CXN,NOF,SIL,-2,3107650_3109180
22,06,female_correct,3158000_3159640,fingernails,q,y,MOT,FAN,SIL,FAN,SIL,SIL,0,3158000_3159640
22,06,female_correct,3186900_3188460,nose,n,y,MOT,SIL,SIL,FAN,NOF,SIL,0,3186900_3188460
22,06,female_correct,3190590_3193110,nose,d,y,MOT,NOF,SIL,FAN,FAN,SIL,0,3190590_3193110
22,06,female_correct,3215980_3218660,leg,q,y,MOT,SIL,OLF,FAN,SIL,FAN,0,3215980_3218660
22,06,female_correct,3478480_3481290,fingernails,d,y,MOT,FAN,NOF,FAN,TVF,FAN,0,3478480_3481290
22,06,female_correct,3681160_3682890,hand,q,y,MOT,CHN,CHN,FAN,NOF,SIL,0,3681160_3682890
22,06,female_correct,3692940_3694260,hair,d,y,MOT,NOF,SIL,FAN,NOF,SIL,0,3692940_3694260
22,06,female_correct,3825460_3826800,finger,q,y,MOT,CHF,CHN,CHN,FAN,CHF,+1,3826800_3828310
22,06,female_correct,4084150_4088130,spit+up,d,y,MOT,SIL,NOF,FAN,SIL,CXN,0,4084150_4088130
22,06,female_correct,4130180_4132780,duck,q,n,MOT,SIL,NOF,FAN,NOF,FAN,0,4130180_4132780
22,06,female_correct,5552400_5553480,pacifier,q,y,MOT,CHN,NOF,FAN,CHN,CHN,0,5552400_5553480
22,06,female_correct,5559260_5560440,dolly,q,y,MOT,CHN,NOF,FAN,SIL,NOF,0,5559260_5560440
22,06,female_correct,8948260_8951540,chin,d,y,MOT,OLN,NOF,FAN,SIL,FAN,0,8948260_8951540
22,06,female_correct,8952650_8953780,duck,d,y,MOT,FAN,SIL,FAN,NOF,OLN,0,8952650_8953780
22,06,female_correct,9086270_9087270,ducky,n,y,MOT,FAN,SIL,FAN,CXN,SIL,0,9086270_9087270
22,06,female_correct,9131960_9132960,eyes,d,y,MOT,NOF,SIL,FAN,NOF,SIL,0,9131960_9132960
22,06,female_correct,9175910_9177370,Band+Aid,d,y,MOT,SIL,SIL,FAN,SIL,SIL,0,9175910_9177370
22,06,female_correct,9207300_9208400,arm,d,y,MOT,CXN,NOF,FAN,SIL,CXN,0,9207300_9208400
22,06,female_correct,9218340_9219360,arm,d,y,MOT,SIL,SIL,FAN,CHN,CHN,0,9218340_9219360
22,06,female_correct,9256340_9257800,shoes,q,y,MOT,SIL,CXN,FAN,TVF,FAF,0,9256340_9257800
22,06,female_correct,9259530_9260770,shoes,q,y,MOT,FAN,TVF,FAF,TVF,FAN,0,9259530_9260770
22,06,female_correct,9262960_9265420,sock,q,y,MOT,FAF,TVF,FAN,TVF,SIL,0,9262960_9265420
22,06,female_correct,9269750_9271690,sock,q,y,MOT,SIL,CXN,FAN,TVF,FAN,0,9269750_9271690
22,06,female_correct,9313220_9314280,pants,q,y,MOT,SIL,TVF,FAN,SIL,CXN,0,9313220_9314280
22,06,female_correct,9443640_9445340,tummy,q,n,MOT,FAN,NOF,FAN,SIL,FAN,0,9443640_9445340
22,06,female_correct,9447470_9449810,tummy,d,n,MOT,FAN,SIL,FAN,SIL,OLF,0,9447470_9449810
22,06,female_correct,9460440_9461940,tummy,d,y,MOT,NOF,MAN,FAN,NOF,SIL,0,9460440_9461940
22,06,female_correct,9954320_9954930,poopy,q,n,MOT,NOF,OLN,FAN,FAF,SIL,0,9954320_9954930
22,06,female_correct,10026670_10027670,ducky,q,y,MOT,SIL,TVN,FAN,SIL,SIL,0,10026670_10027670
22,06,female_correct,10122590_10123590,brush,q,y,MOT,SIL,NOF,FAN,SIL,FAN,0,10122590_10123590
22,06,female_correct,10138440_10139240,brush,d,y,MOT,OLN,FAN,OLN,NOF,OLF,-1,10137280_10138440
22,06,female_correct,10220380_10221510,brush,q,y,MOT,TVF,FAF,FAN,SIL,NOF,0,10220380_10221510
22,06,female_correct,10224730_10227890,hair,d,y,MOT,NOF,CXN,FAN,NOF,FAN,0,10224730_10227890
22,06,female_correct,10230690_10231920,hair+brush,q,y,MOT,FAN,NOF,FAN,NOF,SIL,0,10230690_10231920
22,06,female_correct,10240530_10241530,hair,i,y,MOT,NOF,SIL,FAN,NOF,SIL,0,10240530_10241530
22,06,female_correct,10270570_10271580,hair,q,y,MOT,NOF,FAN,OLN,SIL,SIL,-1,10269570_10270570
22,06,female_correct,10275790_10276890,hair,d,y,MOT,NOF,SIL,FAN,CXN,SIL,0,10275790_10276890
22,06,female_correct,11867030_11868030,gift,q,n,MOT,FAN,OLN,FAN,NOF,FAN,0,11867030_11868030
22,06,female_correct,13528930_13530860,rattle,d,y,MOT,CHN,CHN,FAN,SIL,NOF,0,13528930_13530860
22,06,female_correct,13545280_13546530,treat,r,y,MOT,NOF,CHN,CHN,CHN,FAF,+2,13546660_13547460
22,06,female_correct,13557030_13559180,tub,r,y,MOT,OLF,NOF,FAN,CHN,CHN,0,13557030_13559180
22,06,female_correct,13564120_13564720,bed,r,y,MOT,SIL,FAN,CHN,CHN,CHN,-1,13561000_13564120
22,06,female_correct,14276590_14277680,pears,q,n,MOT,TVF,NOF,FAN,CHN,CHN,0,14276590_14277680
22,06,female_correct,14282110_14283990,pears,d,n,MOT,CHN,CHN,FAN,OLN,NOF,0,14282110_14283990
22,06,female_correct,14387250_14388250,pears,q,y,MOT,NOF,OLN,FAN,NOF,SIL,0,14387250_14388250
22,06,female_correct,14459880_14461000,pears,q,y,MOT,NOF,SIL,FAN,NOF,OLF,0,14459880_14461000
22,06,female_correct,14506430_14507500,food,q,y,MOT,OLN,NOF,FAN,OLN,NOF,0,14506430_14507500
22,06,female_correct,14507500_14508330,finger,q,y,MOT,NOF,FAN,OLN,NOF,SIL,-1,14506430_14507500
22,06,female_correct,14721290_14723710,food,q,y,MOT,OLN,NOF,OLN,NOF,FAN,+2,14724930_14726200
22,06,female_correct,14724930_14726200,alligators,q,y,MOT,OLN,NOF,FAN,OLN,NON,0,14724930_14726200
22,06,female_correct,14726200_14727350,bib,q,y,MOT,NOF,FAN,OLN,NON,OLN,-1,14724930_14726200
22,06,female_correct,14795580_14796810,chin,q,y,MOT,CHN,OLN,FAN,CHN,CHN,0,14795580_14796810
22,06,female_correct,14863170_14864220,pears,q,y,MOT,OLN,NOF,FAN,NOF,FAN,0,14863170_14864220
22,06,female_correct,14865850_14867460,pears,q,y,MOT,FAN,NOF,FAN,SIL,NOF,0,14865850_14867460
22,06,female_correct,14941730_14944580,spoon,q,y,MOT,OLF,NOF,OLN,NOF,FAN,+2,14945380_14946630
22,06,female_correct,14945380_14946630,spoon,q,y,MOT,OLN,NOF,FAN,NOF,OLN,0,14945380_14946630
22,06,female_correct,15487990_15489480,pacifier,q,n,MOT,CHN,NOF,FAN,SIL,CHN,0,15487990_15489480
22,06,female_correct,20324520_20325520,doll,q,y,FFR,FAN,TVF,FAN,TVN,NOF,0,20324520_20325520
22,06,female_correct,20325520_20326520,head,q,y,FFR,TVF,FAN,TVN,NOF,FAF,-1,20324520_20325520
22,06,female_correct,20350580_20352570,diaper,q,n,MOT,FAN,SIL,FAN,SIL,FAN,0,20350580_20352570
22,06,female_correct,20365010_20366010,duck,q,y,MOT,FAN,NOF,FAN,TVF,SIL,0,20365010_20366010
