subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
27,06,male_correct,21423000_21425060,filter,n,n,MAN,MAN,FAN,OLN,OLF,OLN,-2,21420980_21421980
27,06,male_correct,37062920_37063920,wires,d,n,GRP,OLN,SIL,FAN,MAN,FAN,+1,37063920_37065530
27,06,male_correct,37063920_37065530,ears,d,n,GRP,SIL,FAN,MAN,FAN,SIL,0,37063920_37065530
27,06,male_correct,37283240_37284240,table,d,n,GRP,OLN,FAN,MAN,FAN,OLN,0,37283240_37284240
27,06,male_correct,37290370_37291960,nose,q,n,GRP,OLN,FAN,OLN,NOF,MAN,+2,37293120_37294150
27,06,male_correct,37293120_37294150,nose,q,n,GRP,OLN,NOF,MAN,FAN,OLF,0,37293120_37294150
27,06,male_incorrect,37139330_37140400,table,d,y,GRP,OLN,NOF,FAN,CXN,FAN,0,37139330_37140400
27,06,male_incorrect,37809340_37810900,hat,n,n,GRP,FAN,FAF,FAN,SIL,FAN,0,37809340_37810900
27,06,female_correct,60060_62050,diaper,d,y,MOT,CHN,CHN,FAN,FAN,FAN,0,60060_62050
27,06,female_correct,63060_64450,diaper,q,y,MOT,FAN,FAN,FAN,CHN,CHN,0,63060_64450
27,06,female_correct,65080_66280,diaper,q,y,MOT,CHN,CHN,FAN,OLN,CHN,0,65080_66280
27,06,female_correct,85560_88420,diaper,d,y,MOT,CHN,MAN,FAN,OLN,FAN,0,85560_88420
27,06,female_correct,89230_91760,cowboys,d,n,MOT,FAN,OLN,FAN,SIL,FAN,0,89230_91760
27,06,female_correct,92560_93560,horses,d,n,MOT,FAN,SIL,FAN,SIL,FAN,0,92560_93560
27,06,female_correct,164920_165790,snaps,n,y,MOT,NOF,FAN,CHN,CHN,FAN,-1,163800_164920
27,06,female_correct,165880_167030,snaps,n,y,MOT,CHN,CHN,FAN,NOF,FAN,0,165880_167030
27,06,female_correct,169680_170960,milk,d,n,MOT,FAN,NOF,FAN,NOF,CXN,0,169680_170960
