subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
27,07,male_correct,16141200_16143420,garage,d,n,ADM,MAN,OLN,MAN,OLN,MAN,0,16141200_16143420
27,07,male_correct,18229240_18233810,folder,d,n,MAN,FAN,OLN,MAN,FAN,MAN,0,18229240_18233810
27,07,male_correct,18233810_18234830,drop+slot,d,n,MAN,OLN,MAN,FAN,MAN,FAN,-1,18229240_18233810
27,07,male_correct,18767390_18768700,papers,d,n,MAN,MAN,OLN,MAN,SIL,TVF,0,18767390_18768700
27,07,male_correct,18931710_18934080,whiskey,q,n,MAN,OLN,FAN,MAN,FAN,MAN,0,18931710_18934080
27,07,male_correct,19213030_19215700,watermelon,q,n,MAN,MAN,SIL,MAN,SIL,FAN,0,19213030_19215700
27,07,male_correct,19262220_19266860,whiskey,i,n,MAN,MAN,FAN,MAN,FAN,MAN,0,19262220_19266860
27,07,male_correct,19267460_19269090,whiskey,d,n,MAN,MAN,FAN,MAN,OLN,FAN,0,19267460_19269090
27,07,male_correct,19608750_19610150,whiskey,i,n,MAN,NOF,FAN,MAN,FAN,MAN,0,19608750_19610150
27,07,male_correct,19611160_19613330,liquor,i,n,MAN,MAN,FAN,MAN,FAN,MAN,0,19611160_19613330
27,07,male_correct,19613330_19615930,whiskey,i,n,MAN,FAN,MAN,FAN,MAN,FAN,-1,19611160_19613330
27,07,male_correct,23136030_23137900,baby,d,n,GRP,SIL,SIL,MAN,FAN,TVF,0,23136030_23137900
27,07,male_correct,24679140_24679940,box,d,n,GRP,SIL,MAF,NOF,MAF,NOF,-1,24678070_24679140
27,07,male_correct,24679940_24680940,box,d,n,GRP,MAF,NOF,MAF,NOF,TVF,0,24679940_24680940
27,07,male_correct,24680940_24682340,box,d,n,GRP,NOF,MAF,NOF,TVF,SIL,-1,24679940_24680940
27,07,male_correct,28156840_28157950,baby,d,n,GRP,MAN,FAF,MAN,TVN,NOF,0,28156840_28157950
27,07,female_correct,34580_35940,pants,q,y,MOT,OLN,SIL,FAN,NOF,FAN,0,34580_35940
27,07,female_correct,38580_39380,pants,q,y,MOT,NOF,FAN,NOF,SIL,OLN,-1,37290_38580
27,07,female_correct,52770_53570,pants,q,y,MOT,SIL,CXN,SIL,FAN,FAN,+1,53570_54590
27,07,female_correct,69970_73200,pants,d,y,MOT,NOF,SIL,FAF,SIL,CXN,0,69970_73200
27,07,female_correct,99950_100950,poopies,d,n,MOT,NOF,OLF,FAN,NOF,FAN,0,99950_100950
27,07,female_correct,101800_102800,poopies,d,n,MOT,FAN,NOF,FAN,NOF,OLN,0,101800_102800
27,07,female_correct,106600_107630,poopies,d,n,MOT,NOF,OLN,FAN,OLN,FAN,0,106600_107630
27,07,female_correct,108460_109800,poopies,d,n,MOT,FAN,OLN,FAN,NOF,FAN,0,108460_109800
27,07,female_correct,110730_112440,poopies,d,n,MOT,FAN,NOF,FAN,NOF,OLN,0,110730_112440
27,07,female_correct,197030_198190,diapers,d,y,MOT,NOF,FAN,OLF,FAN,NOF,-1,195960_197030
27,07,female_correct,11694310_11695170,cat,q,n,MOT,NOF,FAF,SIL,NOF,CHN,-1,11693510_11694310
27,07,female_correct,11775120_11777890,cat,d,n,MOT,SIL,SIL,FAN,TVF,FAF,0,11775120_11777890
27,07,female_correct,11781080_11785080,kitty,n,n,MOT,FAF,SIL,FAN,TVF,FAN,0,11781080_11785080
27,07,female_correct,11807650_11809840,tongue,d,n,MOT,NOF,TVF,FAN,NOF,SIL,0,11807650_11809840
27,07,female_correct,11829230_11830840,garage,q,n,MOT,FAN,TVF,FAN,SIL,TVF,0,11829230_11830840
27,07,female_correct,11859340_11861600,kitty,n,n,MOT,TVF,SIL,FAN,SIL,NOF,0,11859340_11861600
27,07,female_correct,11870380_11873180,kitty+cat,d,n,MOT,FAN,TVF,FAN,FAN,SIL,0,11870380_11873180
27,07,female_correct,11881030_11881630,coffee,d,n,MT2,CXN,TVF,FAN,SIL,FAN,0,11881030_11881630
27,07,female_correct,11883850_11887540,coffee,d,n,MOT,FAN,SIL,FAN,MAN,TVF,0,11883850_11887540
27,07,female_correct,11887540_11888570,stroller,d,n,MOT,SIL,FAN,MAN,TVF,FAN,-1,11883850_11887540
27,07,female_correct,11941660_11948810,street,d,n,MOT,OLN,FAN,OLN,NOF,CHN,-1,11940660_11941660
27,07,female_correct,12028940_12030460,kitty,d,y,MOT,FAN,SIL,FAN,CHN,CHN,0,12028940_12030460
27,07,female_correct,12030460_12030540,kitty,q,y,MOT,SIL,FAN,CHN,CHN,CHN,-1,12028940_12030460
27,07,female_correct,12031110_12033650,kitty,q,y,MOT,CHN,CHN,FAN,TVN,FAN,0,12031110_12033650
27,07,female_correct,12172060_12173060,blanket,q,y,MOT,FAN,SIL,FAN,CXN,FAN,0,12172060_12173060
27,07,female_correct,12173860_12174860,blanket,d,y,MOT,FAN,CXN,FAN,SIL,CXN,0,12173860_12174860
27,07,female_correct,12176470_12177330,blanket,d,y,MOT,SIL,CXN,SIL,FAF,TVF,+1,12177330_12178340
27,07,female_correct,12181720_12183080,key,q,y,MOT,TVF,SIL,FAF,FAN,NOF,0,12181720_12183080
27,07,female_correct,12183080_12184200,monkey,q,n,MOT,SIL,FAF,FAN,NOF,CHN,0,12183080_12184200
27,07,female_correct,12189320_12189940,monkey,q,n,MOT,CHN,SIL,FAN,SIL,CXN,0,12189320_12189940
27,07,female_correct,12191080_12191880,monkey,q,n,MOT,FAN,SIL,CXN,SIL,CXN,-2,12189320_12189940
27,07,female_correct,12193850_12194930,monkey,q,n,MOT,SIL,CXN,TVF,MAF,FAF,+2,12195940_12197110
27,07,female_correct,12195940_12197110,monkey,d,n,MOT,TVF,MAF,FAF,SIL,CXN,0,12195940_12197110
27,07,female_correct,12202350_12204660,monkey,q,y,MOT,CXN,SIL,TVF,FAN,TVF,+1,12204660_12205660
