subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
30,07,male_correct,16492200_16493210,Wubba,q,n,FAT,CHN,CHN,MAN,CHN,CHN,0,16492200_16493210
30,07,male_correct,16496890_16499090,Wubba,q,n,FAT,CHN,SIL,MAN,SIL,NOF,0,16496890_16499090
30,07,male_correct,16501080_16502380,Wubba,d,y,FAT,SIL,NOF,MAN,SIL,NOF,0,16501080_16502380
30,07,male_correct,16551370_16552380,book,q,n,FAT,NOF,CHN,MAN,NOF,SIL,0,16551370_16552380
30,07,male_correct,16557660_16558930,book,q,y,FAT,MAN,SIL,MAN,NOF,MAN,0,16557660_16558930
30,07,male_correct,16560000_16561560,Little+Blue+Truck,d,y,FAT,MAN,NOF,MAN,SIL,NOF,0,16560000_16561560
30,07,male_correct,16567420_16568450,page,q,n,FAT,NOF,SIL,MAN,SIL,NOF,0,16567420_16568450
30,07,male_correct,17398970_17399970,book,q,y,FAT,SIL,NOF,MAN,OLN,CHN,0,17398970_17399970
30,07,male_correct,17776910_17778900,coffee,d,n,FAT,FAF,SIL,MAN,NOF,SIL,0,17776910_17778900
30,07,male_correct,18051830_18052830,cereal,q,n,FAT,NOF,SIL,MAN,SIL,NOF,0,18051830_18052830
30,07,male_correct,18112540_18113560,Sophie,q,y,FAT,NOF,SIL,MAN,SIL,NOF,0,18112540_18113560
30,07,male_correct,18205900_18206920,shirt,q,n,FAT,NOF,OLF,MAN,SIL,NOF,0,18205900_18206920
30,07,male_correct,18221570_18223410,arm,n,y,FAT,NOF,SIL,OLN,NOF,MAN,+2,18224990_18226350
30,07,male_correct,18224990_18226350,piggies,d,y,FAT,OLN,NOF,MAN,NOF,FAN,0,18224990_18226350
30,07,male_correct,18227150_18228150,piggies,d,y,FAT,MAN,NOF,FAN,MAN,FAN,-2,18224990_18226350
30,07,male_correct,18229150_18230560,arm,n,y,FAT,FAN,MAN,FAN,NOF,FAN,-1,18228150_18229150
30,07,male_correct,18261400_18262940,doggy,q,n,FAT,SIL,NOF,MAN,SIL,OLF,0,18261400_18262940
30,07,male_correct,18290710_18291710,vest,d,y,FAT,OLN,MAN,FAN,OLF,OLN,-1,18289710_18290710
30,07,male_correct,18301630_18302670,book,i,n,FAT,OLN,NOF,MAN,OLN,CHN,0,18301630_18302670
30,07,male_correct,18321610_18322610,Sophie,q,y,FAT,OLN,NOF,MAN,OLF,SIL,0,18321610_18322610
30,07,male_correct,18353410_18354580,dog,d,n,FAT,FAN,SIL,MAN,NOF,SIL,0,18353410_18354580
30,07,male_correct,18427170_18428210,tray,d,y,FAT,MAN,NOF,MAN,NOF,SIL,0,18427170_18428210
30,07,male_correct,18430500_18431500,hand,i,n,FAT,NOF,SIL,MAN,NOF,SIL,0,18430500_18431500
30,07,male_correct,18515170_18516170,keys,q,y,FAT,MAN,OLF,MAN,OLF,NOF,0,18515170_18516170
30,07,male_correct,18534210_18535480,gums,q,n,FAT,NOF,SIL,MAN,SIL,SIL,0,18534210_18535480
30,07,male_correct,18542310_18543560,cereal,d,n,FAT,MAN,SIL,MAN,NOF,SIL,0,18542310_18543560
30,07,male_correct,18757920_18759490,doctor,d,n,FAT,NOF,SIL,MAN,SIL,SIL,0,18757920_18759490
30,07,male_correct,18827620_18829480,doggy,q,y,FAT,NOF,TVF,MAN,SIL,MAN,0,18827620_18829480
30,07,male_correct,18831320_18832540,kitty,q,n,FAT,MAN,SIL,MAN,TVF,NOF,0,18831320_18832540
30,07,male_correct,18837640_18838990,mailman,d,n,FAT,NOF,SIL,MAN,SIL,SIL,0,18837640_18838990
30,07,male_correct,18933600_18936310,bath,d,n,FAT,MAN,SIL,MAN,SIL,NOF,0,18933600_18936310
30,07,male_correct,18970470_18971990,avocado,d,n,FAT,NOF,SIL,MAN,TVF,MAN,0,18970470_18971990
30,07,male_correct,18974880_18976150,cantaloupe,d,n,FAT,MAN,TVF,MAN,SIL,MAN,0,18974880_18976150
30,07,male_correct,18977310_18978310,cantaloupe,q,n,FAT,MAN,SIL,MAN,SIL,SIL,0,18977310_18978310
30,07,male_correct,18982550_18983830,prunes,q,n,FAT,SIL,SIL,MAN,SIL,MAN,0,18982550_18983830
30,07,male_correct,18984690_18985840,prunes,q,n,FAT,MAN,SIL,MAN,SIL,SIL,0,18984690_18985840
30,07,male_correct,19185520_19186520,keys,n,y,FAT,NOF,OLF,MAF,NOF,OLF,0,19185520_19186520
30,07,male_correct,19249400_19250860,head,d,n,FAT,NOF,SIL,MAN,CHN,SIL,0,19249400_19250860
30,07,male_correct,19284390_19285530,towel,d,n,FAT,NOF,CXN,MAN,OLN,NOF,0,19284390_19285530
30,07,male_correct,19334750_19335980,TV,d,y,FAT,MAN,OLN,MAN,SIL,MAF,0,19334750_19335980
30,07,male_correct,19528260_19529290,mouth,d,y,FAT,OLF,NOF,MAN,OLN,NOF,0,19528260_19529290
30,07,male_correct,19688490_19689490,doggy,n,y,FAT,MAN,SIL,MAF,SIL,SIL,0,19688490_19689490
30,07,male_correct,19773770_19776110,doggy,d,n,FAT,CXN,TVF,MAN,SIL,OLN,0,19773770_19776110
30,07,male_correct,20076430_20078030,keys,i,y,FAT,OLF,NOF,MAN,OLF,FAF,0,20076430_20078030
30,07,male_correct,20093470_20094810,keys,i,y,FAT,SIL,TVF,MAN,NOF,SIL,0,20093470_20094810
30,07,male_correct,20146400_20147490,toys,q,n,FAT,NOF,OLN,MAN,NOF,OLN,0,20146400_20147490
30,07,male_correct,20650130_20651670,kitty,d,y,FAT,NON,OLN,MAN,OLN,NOF,0,20650130_20651670
30,07,male_correct,21063690_21064830,paper,d,y,FAT,NOF,SIL,MAN,NOF,MAN,0,21063690_21064830
30,07,male_correct,21152060_21154180,face,d,n,FAT,OLF,SIL,MAN,SIL,NOF,0,21152060_21154180
30,07,male_correct,21182070_21183660,face,q,n,FAT,NOF,SIL,MAN,SIL,MAN,0,21182070_21183660
30,07,male_correct,21201940_21202950,face,q,n,FAT,MAN,SIL,MAN,NOF,MAN,0,21201940_21202950
30,07,male_correct,21204930_21206030,face,q,n,FAT,MAN,NOF,MAN,OLN,NOF,0,21204930_21206030
30,07,male_correct,21281870_21285030,crib,d,n,FAT,MAN,OLF,MAN,OLN,NON,0,21281870_21285030
30,07,male_correct,21292430_21293530,ExerSaucer,q,n,FAT,OLF,OLN,MAN,OLF,NOF,0,21292430_21293530
30,07,male_correct,21297480_21298560,ExerSaucer,d,n,FAT,OLF,SIL,MAN,OLN,NOF,0,21297480_21298560
30,07,male_correct,21325280_21326310,feet,i,y,FAT,SIL,MAN,NOF,FAN,NOF,-1,21323830_21325280
30,07,male_correct,21326310_21327500,feet,i,y,FAT,MAN,NOF,FAN,NOF,MAN,-2,21323830_21325280
30,07,male_correct,21344620_21345800,feet,n,n,FAT,NOF,SIL,MAN,OLN,NOF,0,21344620_21345800
30,07,male_correct,21355650_21357680,foot,n,y,FAT,MAN,NOF,MAN,FAN,OLN,0,21355650_21357680
30,07,male_correct,21357680_21358680,foot,n,y,FAT,NOF,MAN,FAN,OLN,NOF,-1,21355650_21357680
30,07,male_correct,21974610_21976900,toys,d,n,FAT,NOF,MAN,OLN,NOF,OLN,-1,21973610_21974610
30,07,male_correct,22601810_22603230,cup,d,y,FAT,OLF,SIL,MAF,SIL,SIL,0,22601810_22603230
30,07,male_correct,22684820_22686240,diaper,d,n,FAT,NOF,SIL,MAN,NOF,MAF,0,22684820_22686240
30,07,male_correct,22688000_22689010,eyes,d,n,FAT,MAN,NOF,MAF,SIL,MAF,0,22688000_22689010
30,07,male_correct,22718990_22720330,ceiling+fan,q,y,FAT,SIL,SIL,MAN,SIL,SIL,0,22718990_22720330
30,07,male_correct,27988910_27990030,car,d,n,FAT,MAN,OLN,MAN,OLN,FAN,0,27988910_27990030
30,07,male_correct,28602700_28606110,stomach,d,n,FAT,SIL,NOF,MAN,OLF,OLN,0,28602700_28606110
30,07,male_correct,31604340_31605340,lettuce,d,y,FAT,NOF,OLN,MAN,NOF,OLN,0,31604340_31605340
30,07,male_correct,38639100_38640120,blanket,d,n,FAT,MAN,NOF,MAN,TVF,MAN,0,38639100_38640120
30,07,male_correct,38644800_38646110,feet,d,n,FAT,TVF,MAN,TVN,MAN,SIL,-1,38641120_38644800
30,07,male_correct,42788480_42789480,grapes,q,n,FAT,TVF,FAN,MAN,NOF,OLN,0,42788480_42789480
30,07,male_correct,48224920_48225920,squash,d,y,FAT,NOF,MAN,FAN,SIL,TVF,-1,48223330_48224920
30,07,male_correct,48310540_48311140,applesauce,d,n,FAT,SIL,MAN,FAN,SIL,TVF,-1,48308720_48310540
30,07,male_correct,48381840_48383190,yo+yo,d,n,FAT,SIL,MAN,OLF,MAN,NOF,-1,48380150_48381840
30,07,male_correct,48543560_48544860,nose,d,n,FAT,OLF,FAN,MAN,NOF,MAN,0,48543560_48544860
30,07,male_correct,48567960_48569900,mouth,i,n,FAT,NOF,SIL,MAN,SIL,NOF,0,48567960_48569900
30,07,male_correct,48595090_48596600,toys,d,n,FAT,MAN,NOF,MAN,NOF,MAN,0,48595090_48596600
30,07,male_correct,48601820_48607590,toys,d,n,FAT,MAN,SIL,MAN,SIL,MAN,0,48601820_48607590
30,07,male_correct,48608880_48611690,stairs,d,n,FAT,MAN,SIL,MAN,TVF,NOF,0,48608880_48611690
30,07,male_correct,48614620_48616580,video+games,d,n,FAT,TVF,NOF,MAN,OLN,CHN,0,48614620_48616580
30,07,male_correct,48724460_48725490,elbow,d,n,FAT,NOF,SIL,MAN,OLF,MAN,0,48724460_48725490
30,07,male_correct,48734410_48737970,bones,d,n,FAT,MAN,SIL,MAN,OLN,CHN,0,48734410_48737970
30,07,male_correct,48968930_48970470,dogs,q,n,FAT,MAN,FAN,MAN,FAN,SIL,0,48968930_48970470
30,07,male_correct,49167510_49169290,sugar,d,n,FAT,MAN,FAN,MAN,NOF,MAF,0,49167510_49169290
30,07,male_correct,49932370_49933710,mango,d,y,FAT,FAN,NOF,MAN,SIL,NOF,0,49932370_49933710
30,07,male_correct,50052370_50054310,fingers,i,y,FAT,FAN,SIL,MAN,SIL,MAN,0,50052370_50054310
30,07,male_correct,50088580_50089970,mango,d,y,FAT,SIL,NOF,MAN,NOF,OLN,0,50088580_50089970
30,07,male_correct,50408160_50411530,laser+beam,d,n,FAT,NOF,OLN,MAN,OLN,NOF,0,50408160_50411530
30,07,male_correct,50958160_50959430,clowns,d,n,FAT,OLN,MAN,OLN,FAN,OLF,-1,50956660_50958160
30,07,male_correct,50968010_50969010,clown,d,n,FAT,FAN,OLN,MAN,FAN,OLF,0,50968010_50969010
30,07,male_correct,50970040_50971420,clown,d,n,FAT,MAN,FAN,OLF,MAN,OLN,-2,50968010_50969010
30,07,male_correct,50979980_50980780,animals,d,n,FAT,NOF,MAN,OLF,CHN,FAN,-1,50978910_50979980
30,07,male_correct,50994850_50995650,book,d,y,FAT,OLN,MAN,OLF,CHN,CHN,-1,50993850_50994850
30,07,male_correct,51024510_51025310,windows,q,n,FAT,NOF,MAN,NOF,FAN,FAN,-1,51023670_51024510
30,07,male_incorrect,18252810_18254460,cereal,d,n,FAT,FAN,SIL,FAN,CXN,CHN,0,18252810_18254460
30,07,male_incorrect,20133910_20135220,cat+toy,d,y,FAT,OLF,NOF,OLN,NOF,OLF,0,20133910_20135220
30,07,male_incorrect,50113010_50114210,face,d,y,FAT,FAN,OLN,FAN,OLN,CHN,0,50113010_50114210
30,07,male_incorrect,50629640_50631740,laundry+basket,d,n,FAT,OLF,FAN,OLF,FAN,OLN,0,50629640_50631740
30,07,female_correct,1003700_1004700,vest,q,y,MOT,OLN,NOF,FAN,SIL,NOF,0,1003700_1004700
30,07,female_correct,1011790_1012790,vest,i,y,MOT,NOF,OLF,FAN,OLF,NOF,0,1011790_1012790
30,07,female_correct,1038990_1040050,Wubba,q,y,MOT,SIL,NOF,FAN,SIL,CXN,0,1038990_1040050
30,07,female_correct,1071340_1072340,star,q,y,MOT,CXN,NOF,FAN,SIL,FAF,0,1071340_1072340
30,07,female_correct,1073150_1074290,star,i,y,MOT,FAN,SIL,FAF,OLF,OLN,0,1073150_1074290
30,07,female_correct,5480260_5481260,coffee,q,n,MOT,CHF,FAN,MAN,NOF,SIL,-1,5479260_5480260
30,07,female_correct,5741430_5742430,kitty,q,y,MOT,NON,OLN,FAN,FAN,FAN,0,5741430_5742430
30,07,female_correct,5743030_5744030,kitty,q,y,MOT,FAN,FAN,FAN,SIL,FAN,0,5743030_5744030
30,07,female_correct,5744830_5746440,kitty,q,y,MOT,FAN,SIL,FAN,OLN,FAN,0,5744830_5746440
30,07,female_correct,5759220_5760230,kitty,q,y,MOT,CHN,NOF,FAN,SIL,CHN,0,5759220_5760230
30,07,female_correct,5761480_5762280,kitty,q,y,MOT,FAN,SIL,CHN,CHN,SIL,-2,5759220_5760230
30,07,female_correct,5845510_5846590,baby,q,n,MOT,CHN,CHN,FAN,NOF,CHN,0,5845510_5846590
30,07,female_correct,5928090_5929420,blanky,d,y,MOT,SIL,OLF,FAN,NOF,OLN,0,5928090_5929420
30,07,female_correct,13978430_13979920,ceiling,d,y,MOT,NOF,SIL,FAN,CHN,CHN,0,13978430_13979920
30,07,female_correct,14058350_14059600,face,i,n,MOT,SIL,NOF,FAN,OLF,SIL,0,14058350_14059600
30,07,female_correct,14326990_14327990,chewy,q,y,MOT,CXN,SIL,FAN,SIL,FAN,0,14326990_14327990
30,07,female_correct,14328970_14329940,chewy,q,y,MOT,FAN,SIL,FAN,SIL,OLN,0,14328970_14329940
30,07,female_correct,14341890_14344800,Wubba,q,y,MOT,NOF,OLF,OLN,FAN,SIL,+1,14344800_14345970
30,07,female_correct,14347150_14348310,Wubba,q,y,MOT,FAN,SIL,FAN,FAN,SIL,0,14347150_14348310
30,07,female_correct,14348310_14349010,chewy,q,y,MOT,SIL,FAN,FAN,SIL,SIL,0,14348310_14349010
30,07,female_correct,14694580_14695840,milk,d,y,MOT,SIL,NOF,FAN,OLN,SIL,0,14694580_14695840
