subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
32,06,male_correct,10520_14470,buttons,d,y,FAT,MAN,OLN,NOF,OLN,OLF,-2,4030_5030
32,06,male_correct,56330_57460,socks,d,n,FAT,MAN,OLN,FAN,NOF,SIL,-2,54640_55240
32,06,male_correct,59430_60430,socks,d,y,FAT,NOF,SIL,FAN,SIL,MAN,+2,61370_62500
32,06,male_correct,151740_152740,socks,d,y,FAT,OLN,NOF,MAN,NOF,MAN,0,151740_152740
32,06,male_correct,156860_158210,kitty,d,n,FAT,NOF,MAN,FAN,MAN,NOF,-1,155840_156860
32,06,male_correct,158210_159370,kitty,i,n,FAT,MAN,FAN,MAN,NOF,SIL,0,158210_159370
32,06,male_correct,1550740_1552520,Mars,d,n,FAT,OLF,NON,MAF,NON,OLN,0,1550740_1552520
32,06,male_correct,1563680_1564680,Mars,d,n,FAT,MAN,NOF,MAF,OLF,MAF,0,1563680_1564680
32,06,male_correct,2447340_2449230,laundry,d,n,FAT,MAN,TVF,MAN,FAN,NOF,0,2447340_2449230
32,06,male_correct,2508210_2509560,laundry,d,n,FAT,MAN,OLF,MAN,OLF,TVF,0,2508210_2509560
32,06,male_correct,3266730_3267610,kitty,d,y,FAT,CHN,SIL,CXN,MAN,SIL,+1,3267610_3268610
32,06,male_correct,3267610_3268610,kitty,d,y,FAT,SIL,CXN,MAN,SIL,SIL,0,3267610_3268610
32,06,male_correct,3347240_3348330,tummy,d,n,FAT,OLF,OLN,MAN,NOF,OLN,0,3347240_3348330
32,06,male_correct,3872020_3873240,fur,d,y,FAT,MAN,MAF,OLF,NOF,MAN,-2,3869960_3871190
32,06,male_correct,3878810_3879810,kitty,n,y,FAT,OLF,NOF,MAF,NOF,FAN,0,3878810_3879810
32,06,male_correct,3881110_3882120,kitty,d,y,FAT,MAF,NOF,FAN,NOF,OLN,-2,3878810_3879810
32,06,male_correct,5067170_5068170,water,q,n,FAT,OLF,NOF,MAN,NOF,MAF,0,5067170_5068170
32,06,male_correct,5080310_5081540,vacuum,n,n,FAT,MAN,NOF,OLF,NOF,OLF,-2,5077960_5078990
32,06,male_correct,5148810_5149850,chairs,d,y,FAT,OLN,OLF,MAN,OLN,NOF,0,5148810_5149850
32,06,male_correct,5166620_5173630,water,d,y,FAT,OLN,NOF,OLN,MAN,NOF,+1,5173630_5174630
32,06,male_correct,5184650_5186060,water,d,y,FAT,NOF,OLF,MAN,OLN,NOF,0,5184650_5186060
32,06,male_correct,5205090_5206220,grass,d,n,FAT,NOF,FAF,MAN,NOF,OLN,0,5205090_5206220
32,06,male_correct,5250610_5253240,weeds,d,n,FAT,OLN,NOF,MAN,NOF,MAN,0,5250610_5253240
32,06,male_correct,5305480_5307420,pond,d,y,FAT,FAN,NOF,MAN,NOF,MAN,0,5305480_5307420
32,06,male_correct,5326950_5329190,birdie,q,y,FAT,SIL,NOF,MAN,NOF,MAN,0,5326950_5329190
32,06,male_correct,5330870_5332110,birdie,d,y,FAT,MAN,NOF,MAN,NOF,MAN,0,5330870_5332110
32,06,male_correct,5335510_5336770,carpenter+bee,d,n,FAT,MAN,NOF,MAN,NOF,MAN,0,5335510_5336770
32,06,male_correct,5338540_5339920,wood,d,n,FAT,MAN,NOF,MAN,NOF,OLF,0,5338540_5339920
32,06,male_correct,5343740_5346510,robin,d,y,FAT,OLF,NOF,MAN,NOF,MAN,0,5343740_5346510
32,06,male_correct,5347310_5349490,nest,d,n,FAT,MAN,NOF,MAN,NOF,MAN,0,5347310_5349490
32,06,male_correct,6011600_6012600,bananas,q,n,FAT,CHN,OLN,MAN,OLF,MAN,0,6011600_6012600
32,06,male_correct,6014610_6015840,bananas,i,n,FAT,MAN,OLF,MAN,OLF,TVF,0,6014610_6015840
32,06,male_correct,6024000_6026730,bananas,d,y,FAT,CHN,OLF,MAN,OLF,MAF,0,6024000_6026730
32,06,male_correct,6138390_6140550,peach,q,n,FAT,NOF,MAF,TVF,MAN,TVF,-1,6137380_6138390
32,06,male_correct,6140550_6142500,peach,d,n,FAT,MAF,TVF,MAN,TVF,SIL,0,6140550_6142500
