subject,month,speaker_category,timestamp,word,utterance_type,object_present,speaker_win,lena_win-2,lena_win-1,lena_win-0,lena_win+1,lena_win+2,win_match,timestamp_match
32,07,male_correct,38243140_38244140,robot,d,y,FAT,MAN,FAN,MAN,FAN,MAF,0,38243140_38244140
32,07,male_correct,38244140_38245470,robot+vacuum+cleaner,d,y,FAT,FAN,MAN,FAN,MAF,SIL,-1,38243140_38244140
32,07,male_correct,38578270_38579230,kitty,i,y,FAT,OLF,SIL,OLF,MAN,OLN,+1,38579230_38580380
32,07,male_correct,38735500_38736500,docker,q,y,FAT,CXN,FAN,MAN,NOF,OLN,0,38735500_38736500
32,07,male_correct,43024540_43026080,hair,d,y,GRP,FAN,OLN,FAN,OLN,MAN,+2,43048010_43049010
32,07,male_correct,43334220_43335940,beer+batter,n,n,GRP,OLN,MAN,OLF,FAN,MAN,-1,43333080_43334220
32,07,male_correct,43335940_43337260,french+fries,n,n,GRP,MAN,OLF,FAN,MAN,OLF,-2,43333080_43334220
32,07,male_correct,43337260_43338270,home+fries,n,n,GRP,OLF,FAN,MAN,OLF,NOF,0,43337260_43338270
32,07,male_correct,43716110_43719410,foot,d,n,GRP,TVF,OLF,MAN,OLF,MAN,0,43716110_43719410
32,07,male_correct,44050490_44051620,piano,q,n,GRP,MAN,OLN,MAN,OLN,FAN,0,44050490_44051620
32,07,male_correct,44559800_44560960,napkin,d,n,GRP,MAN,OLN,MAN,FAN,OLN,0,44559800_44560960
32,07,male_correct,44987980_44989280,mouth,q,y,GRP,FAN,OLF,MAN,OLN,MAN,0,44987980_44989280
32,07,male_correct,45454780_45455810,floor,d,y,GRP,NON,OLN,MAN,OLF,MAN,0,45454780_45455810
32,07,male_correct,45500550_45501580,spoons,d,y,GRP,FAN,OLN,FAN,OLN,MAN,+2,45502450_45504240
32,07,male_correct,45624840_45625850,label,d,y,GRP,OLF,MAN,OLN,MAN,OLN,-1,45622310_45624840
32,07,male_correct,45625850_45627290,label,d,y,GRP,MAN,OLN,MAN,OLN,FAN,0,45625850_45627290
32,07,male_correct,45628760_45629760,label,d,y,GRP,MAN,OLN,FAN,MAN,OLN,-2,45625850_45627290
32,07,male_correct,46111570_46113240,check,d,y,UNC,OLF,FAN,MAN,OLN,CHN,0,46111570_46113240
32,07,male_correct,47837900_47838950,car,q,y,GRP,FAN,OLN,MAN,OLN,MAN,0,47837900_47838950
32,07,male_correct,47996740_47998110,gas,q,n,GRP,MAN,OLN,MAN,OLN,MAN,0,47996740_47998110
32,07,male_correct,48033410_48035300,batteries,q,n,GRP,MAN,OLN,MAN,OLN,MAN,0,48033410_48035300
32,07,male_correct,48185080_48186080,vanilla,n,n,GRP,MAN,OLN,FAN,OLN,CHN,-2,48152040_48154290
32,07,male_correct,48254720_48255720,bird,q,y,GRP,MAN,OLN,MAN,OLN,MAN,0,48254720_48255720
32,07,male_correct,48257070_48258250,bird,d,y,GRP,MAN,OLN,MAN,OLN,MAN,0,48257070_48258250
32,07,male_correct,48463480_48464480,napkins,q,n,GRP,OLN,MAN,FAN,OLN,FAN,-1,48461970_48463480
32,07,male_correct,48695560_48696870,guard,d,n,GRP,MAN,OLN,MAN,OLN,MAN,0,48695560_48696870
32,07,male_correct,48704270_48705370,guard,q,n,GRP,MAN,OLN,MAN,OLF,TVN,0,48704270_48705370
32,07,male_correct,48710960_48716060,ferry,d,n,GRP,TVN,OLN,MAN,OLF,MAN,0,48710960_48716060
32,07,male_correct,48716930_48718870,ferry,d,n,GRP,MAN,OLF,MAN,OLF,MAN,0,48716930_48718870
32,07,male_correct,48927690_48928760,seagull,d,y,GRP,MAN,OLN,MAN,NOF,MAN,0,48927690_48928760
32,07,male_correct,48937370_48938830,seagull,d,y,GRP,MAN,OLN,FAN,OLN,MAN,-2,48929560_48930560
32,07,male_correct,49213480_49215130,car,d,n,GRP,OLN,MAN,FAN,OLN,MAN,-1,49212460_49213480
32,07,male_correct,49217490_49218490,car,q,n,GRP,FAN,OLN,MAN,OLN,MAN,0,49217490_49218490
32,07,male_correct,49231870_49234250,birdie,d,y,GRP,MAN,OLF,MAN,OLN,FAN,0,49231870_49234250
32,07,male_correct,49235160_49236160,birdie,q,y,GRP,MAN,OLN,FAN,OLF,FAN,-2,49231870_49234250
