total:	1016

child:	0
adult:	1015
female:	945
male:	70
artificial:	1


speakers:	[('MOT', 928), ('FAT', 70), ('MTV', 17), ('TOY', 1)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 706), ('MAN', 64), ('MAF', 7), ('FAF', 5)]
correct_female_distribution:	[('FAN', 702), ('FAF', 4)]
correct_male_distribution:	[('MAN', 49), ('MAF', 4)]
correct_artificial_distribution:	[]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 95), ('CHN', 59), ('CXN', 51), ('OLF', 15), ('NOF', 6), ('CXF', 3), ('TVF', 2), ('TVN', 1), ('SIL', 1)]
incorrect_female_distribution:	[('OLN', 88), ('CHN', 59), ('CXN', 51), ('MAN', 15), ('OLF', 12), ('NOF', 5), ('CXF', 3), ('MAF', 3), ('TVF', 2), ('TVN', 1)]
incorrect_male_distribution:	[('OLN', 7), ('FAN', 4), ('OLF', 3), ('NOF', 1), ('FAF', 1), ('SIL', 1)]
incorrect_artificial_distribution:	[('NON', 1)]
