total:	1347

child:	0
adult:	1306
female:	1275
male:	31
artificial:	41


speakers:	[('MOT', 1122), ('AUN', 114), ('TVN', 41), ('MTV', 38), ('FAT', 30), ('ADF', 1), ('UNC', 1)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 865), ('MAN', 39), ('MAF', 14), ('FAF', 13)]
correct_female_distribution:	[('FAN', 864), ('FAF', 12)]
correct_male_distribution:	[('MAN', 19), ('MAF', 6)]
correct_artificial_distribution:	[('TVN', 3)]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 170), ('CHN', 68), ('CXN', 64), ('OLF', 27), ('TVN', 14), ('NOF', 13), ('SIL', 7), ('CXF', 5), ('TVF', 5), ('NON', 2)]
incorrect_female_distribution:	[('OLN', 168), ('CHN', 68), ('CXN', 64), ('OLF', 25), ('MAN', 20), ('TVN', 14), ('NOF', 13), ('MAF', 8), ('SIL', 7), ('CXF', 5), ('TVF', 5), ('NON', 2)]
incorrect_male_distribution:	[('OLN', 2), ('OLF', 2), ('FAN', 1), ('FAF', 1)]
incorrect_artificial_distribution:	[('CXN', 12), ('OLN', 10), ('NON', 5), ('OLF', 4), ('FAN', 3), ('NOF', 2), ('CXF', 1), ('FAF', 1)]
