"tier","word","utterance_type","object_present","speaker","timestamp","basic_level"
"*FAN","airplane","d","y","MOT","5044670_5045670","airplane"
"*FAN","apples","d","y","FAT","41914310_41915560","apple"
"*MAN","art+cupboard","d","y","MOT","28415420_28416870","cupboard"
"*FAN","art+cupboard","d","y","MOT","28704910_28705590","cupboard"
"*MAN","art+cupboard","d","y","MOT","28974620_28975740","cupboard"
"*FAN","art+cupboard","d","y","MOT","28979520_28981090","cupboard"
"*OLN","baby","r","y","MOT","17404830_17406060","baby"
"*CHN","baby","r","y","MOT","17410970_17411970","baby"
"*FAN","baby","r","y","MOT","17424110_17425110","baby"
"*FAN","baby","r","y","MOT","17427760_17430340","baby"
"*FAN","baby","r","y","MOT","17484760_17487360","baby"
"*FAN","baby","d","y","MOT","24913020_24914400","baby"
"*FAN","baby","r","y","MOT","26164770_26166090","baby"
"*FAN","baby","r","y","MOT","26164770_26166090","baby"
"*FAN","baby","r","y","MOT","26167090_26168940","baby"
"*FAN","baby","r","y","MOT","26167090_26168940","baby"
"*FAN","baby","r","y","MOT","26169550_26173300","baby"
"*FAN","baby","r","y","MOT","26169550_26173300","baby"
"*FAN","baby","r","y","MOT","26169550_26173300","baby"
"*MAN","baby","r","y","FAT","40321690_40324180","baby"
"*MAN","baby","r","y","FAT","40321690_40324180","baby"
"*MAN","baby","r","y","FAT","40321690_40324180","baby"
"*FAN","baby","r","y","FAT","40324180_40324780","baby"
"*MAN","baby","r","y","FAT","40329750_40331600","baby"
"*CHN","baby","r","y","FAT","40331850_40332200","baby"
"*FAN","baby","r","y","FAT","40333320_40335880","baby"
"*FAN","baby","r","y","FAT","40333320_40335880","baby"
"*OLN","baby","s","n","FAT","42461020_42463350","baby"
"*FAN","baby","s","n","FAT","42483960_42485000","baby"
"*FAN","baby","s","n","FAT","42528170_42529250","baby"
"*CHN","baby","s","n","FAT","42551590_42553190","baby"
"*MAN","baby+carrots","d","y","MOT","6624460_6626650","carrot"
"*FAN","ball","d","y","MOT","1822350_1823570","ball"
"*FAN","ball","r","y","MOT","17408310_17410170","ball"
"*FAN","ball","s","n","MOT","26148920_26149520","ball"
"*FAN","bat","r","y","MOT","17408310_17410170","bat"
"*CHN","bed","q","y","MOT","14830130_14833810","bed"
"*CHN","bed","q","y","MOT","14834820_14835420","bed"
"*CHN","bed","d","y","MOT","14837310_14837910","bed"
"*OLN","bed","q","y","MOT","15038670_15044830","bed"
"*MAN","bed","d","y","FAT","41956990_41957990","bed"
"*MAN","bed","d","n","FAT","42141320_42142640","bed"
"*FAN","belly","s","n","MOT","26167090_26168940","belly"
"*MAN","belly","s","y","MOT","26177830_26178830","belly"
"*MAN","belly","r","y","FAT","40324780_40325790","belly"
"*MAN","belly","r","y","FAT","40329750_40331600","belly"
"*FAN","belly+button","q","n","MOT","26335060_26336960","belly+button"
"*CHN","belly+button","d","y","MOT","26354950_26355950","belly+button"
"*FAN","bellybutton","r","y","MOT","26269110_26270110","belly+button"
"*FAN","bellybutton","r","y","MOT","26289740_26291380","belly+button"
"*FAN","bib","d","n","MOT","753360_754760","bib"
"*FAN","bib","d","y","MOT","26647160_26649000","bib"
"*OLF","birthday+card","d","y","MOT","4853990_4854870","card"
"*FAN","blanket","d","y","MOT","14538830_14541750","blanket"
"*OLN","blanket","d","y","MOT","14551510_14553750","blanket"
"*FAN","bone","d","y","MOT","26496210_26497880","bone"
"*MAN","bones","d","y","MOT","1851040_1852040","bone"
"*CXN","book","d","y","SIS","1792420_1794550","book"
"*NOF","book","d","y","SIS","1794550_1795570","book"
"*CXN","book","d","y","SIS","1795570_1796860","book"
"*FAN","book","d","y","MOT","1797800_1799910","book"
"*FAN","book","d","y","MOT","1797800_1799910","book"
"*CHN","book","d","y","SIS","1801710_1802350","book"
"*FAN","book","d","y","MOT","1831480_1834780","book"
"*FAN","book","q","y","MOT","17393360_17394360","book"
"*FAN","book","d","y","MOT","17401260_17402640","book"
"*OLN","books","d","y","MOT","1858830_1864330","book"
"*FAN","bottle","q","n","MOT","2921440_2922090","bottle"
"*TVF","bottle","q","n","MOT","2924850_2925680","bottle"
"*MAN","bottle","d","n","MOT","2937700_2938970","bottle"
"*OLF","bottle","d","n","MOT","2941770_2944720","bottle"
"*OLN","bottle","d","y","MOT","2991200_2992040","bottle"
"*CHN","bottle","q","n","MOT","12410090_12412770","bottle"
"*FAN","bottle","q","y","MOT","12487210_12488420","bottle"
"*CXN","bottle","d","y","SIS","12871090_12871690","bottle"
"*OLN","bottle","d","y","MOT","12871690_12873090","bottle"
"*MAN","bottle","d","y","MOT","12876400_12877420","bottle"
"*FAN","bottle","q","y","MOT","12991650_12993350","bottle"
"*FAN","bottle","q","n","MOT","23882440_23883710","bottle"
"*FAN","bottle","d","y","MOT","24049120_24050150","bottle"
"*FAN","bottle","q","y","MOT","24171500_24172730","bottle"
"*FAN","bottle","d","y","MOT","24244900_24246470","bottle"
"*FAN","bottle","d","y","MOT","25263840_25266440","bottle"
"*FAN","bottle","q","y","MOT","25263840_25266440","bottle"
"*CHN","bottle","d","y","MOT","25269220_25269750","bottle"
"*FAN","bottle","d","y","MOT","25270310_25272020","bottle"
"*MAN","bowl","d","n","MOT","5800470_5801470","bowl"
"*FAN","bowl","d","y","MOT","5848890_5849910","bowl"
"*FAN","breakfast","q","y","MOT","722920_724470",NA
"*OLN","breakfast","q","y","MOT","898030_898860",NA
"*FAN","butterflies","d","y","MOT","1874030_1875030","butterfly"
"*OLN","button","i","y","FAT","13624190_13625000","button"
"*MAN","buttons","d","y","FAT","31896820_31898120","button"
"*FAN","card","d","n","MOT","4924950_4926110","card"
"*FAN","cards","d","y","MOT","4955470_4956680","card"
"*FAN","carrot","i","y","MOT","6323610_6325080","carrot"
"*FAN","carrot","d","y","MOT","6327210_6328210","carrot"
"*MAN","carrot","d","y","MOT","6470970_6471970","carrot"
"*TVF","carrot","d","y","MOT","6601950_6603390","carrot"
"*FAN","carrot+peels","i","y","MOT","6716110_6717270","carrot"
"*FAN","carrots","q","y","MOT","4768740_4769740","carrot"
"*OLN","carrots","d","y","MOT","4774460_4776520","carrot"
"*OLN","carrots","q","n","MOT","5677810_5678800","carrot"
"*FAN","carrots","d","n","MOT","5724260_5725270","carrot"
"*FAN","carrots","d","n","MOT","5798020_5800470","carrot"
"*FAN","carrots","d","n","MOT","5798020_5800470","carrot"
"*FAN","carrots","d","n","MOT","5798020_5800470","carrot"
"*FAF","carrots","d","n","MOT","5803300_5804440","carrot"
"*OLN","carrots","d","y","MOT","5834510_5835790","carrot"
"*OLN","carrots","d","y","MOT","5842030_5843650","carrot"
"*FAN","carrots","d","y","MOT","5947690_5948690","carrot"
"*CHN","carrots","d","y","MOT","5951270_5951860","carrot"
"*FAN","carrots","d","y","MOT","6255420_6257380","carrot"
"*FAN","carrots","d","y","MOT","6391710_6392830","carrot"
"*FAN","carrots","d","n","MOT","9057700_9058750","carrot"
"*FAN","carrots","d","y","FAT","41914310_41915560","carrot"
"*FAN","claws","d","n","MOT","14846050_14847820","claw"
"*FAN","clothes","d","y","MOT","12310390_12312150","clothes"
"*FAN","clouds","s","n","FAT","13618560_13621170","cloud"
"*MAN","coat","q","n","MOT","29930890_29932270","coat"
"*MAN","computer","q","y","FAT","15833730_15835130","computer"
"*MAN","computer","q","y","FAT","15838160_15840170","computer"
"*OLN","cookie","q","y","MOT","35689660_35694160","cookie"
"*OLN","corduroy","d","y","MOT","24611790_24612960",NA
"*FAN","corduroy","d","y","MOT","24612960_24613960",NA
"*OLN","cradle","s","n","FAT","42469110_42470590","cradle"
"*OLF","cradle","s","n","FAT","42477730_42478630","cradle"
"*OLN","cradle","s","n","FAT","42485000_42486040","cradle"
"*FAN","cradle","s","n","FAT","42538880_42540690","cradle"
"*NOF","cradle","s","n","FAT","42546230_42547030","cradle"
"*FAN","cradle","s","n","FAT","42554390_42555010","cradle"
"*OLN","cup","q","y","MOT","28964610_28965410","cup"
"*FAN","diaper","q","n","MOT","12192030_12193630","diaper"
"*OLN","diaper","d","n","MOT","12193630_12194610","diaper"
"*FAN","diaper","d","n","MOT","12195680_12197100","diaper"
"*FAN","diaper","d","n","MOT","12203750_12204770","diaper"
"*FAN","diaper","d","n","MOT","12203750_12204770","diaper"
"*FAN","diaper","d","n","MOT","12203750_12204770","diaper"
"*FAN","diaper","d","y","MOT","12247560_12248880","diaper"
"*FAN","diaper","d","y","MOT","12247560_12248880","diaper"
"*FAN","diaper","d","y","MOT","12247560_12248880","diaper"
"*OLN","diaper","d","y","MOT","12288660_12290610","diaper"
"*OLN","diaper","q","n","MOT","12292750_12293630","diaper"
"*FAN","diaper","d","n","MOT","22633580_22635140","diaper"
"*MAN","diaper","i","n","MOT","22640210_22641230","diaper"
"*FAN","diaper","q","n","MOT","22645860_22647200","diaper"
"*FAN","diaper","d","y","MOT","22759750_22761370","diaper"
"*FAN","diaper","d","y","MOT","23713920_23715070","diaper"
"*OLN","diaper","d","y","MOT","23779860_23780720","diaper"
"*CHN","diaper","d","y","MOT","23782770_23784770","diaper"
"*FAN","diaper","q","n","MOT","31742250_31743460","diaper"
"*OLN","diaper","d","y","FAT","31814180_31814990","diaper"
"*FAN","diapers","i","y","MOT","22672830_22674020","diaper"
"*FAN","diapers","d","y","MOT","23627850_23628450","diaper"
"*OLN","dog","d","n","MOT","26912920_26913800","dog"
"*FAN","dogs","d","y","MOT","2055620_2057960","dog"
"*MAN","dragon","d","n","FAT","13889860_13891510","dragon"
"*MAN","dragon","d","n","FAT","13900350_13901880","dragon"
"*MAN","duckling","r","y","MOT","25573800_25574800","duckling"
"*MAN","ear","r","y","MOT","26275340_26276340","ear"
"*FAN","ear","d","y","MOT","26340740_26342240","ear"
"*OLN","face","d","y","MOT","792800_794260","face"
"*OLN","face","d","n","MOT","1402950_1406070","face"
"*FAF","face","q","n","MOT","1409720_1410720","face"
"*FAN","face","d","y","MOT","1419080_1420500","face"
"*FAN","face","d","y","MOT","24445060_24446150","face"
"*OLN","face","d","y","MOT","27403750_27410490","face"
"*OLN","face","d","y","MOT","27403750_27410490","face"
"*MAN","face","q","y","FAT","32133670_32134880","face"
"*MAN","face","i","y","FAT","41753650_41754670","face"
"*FAN","feet","s","n","MOT","26183980_26187600","foot"
"*SIL","feet","s","n","MOT","26191680_26192480","foot"
"*OLN","feet","s","n","MOT","26212240_26213630","foot"
"*FAN","feet","s","n","MOT","26216890_26221800","foot"
"*OLN","feet","s","n","MOT","26229460_26230370","foot"
"*OLN","feet","s","n","MOT","26266310_26267110","foot"
"*FAN","feet","s","n","MOT","26301810_26308380","foot"
"*OLN","feet","s","n","MOT","26308380_26309840","foot"
"*FAN","feet","s","n","MOT","26312780_26314210","foot"
"*FAN","feet","s","n","MOT","26315090_26321620","foot"
"*FAN","feet","s","n","MOT","26315090_26321620","foot"
"*FAN","feet","s","n","MOT","26322890_26325790","foot"
"*MAN","feet","r","y","FAT","40346220_40351580","foot"
"*FAN","feet","r","y","FAT","40357560_40358560","foot"
"*FAN","feet","q","y","MOT","40940260_40941410","foot"
"*CHN","finger","d","y","MOT","24428050_24429390","finger"
"*FAN","finger","d","y","MOT","24430000_24431070","finger"
