tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*CHN,akee,s,n,FAT,38929310_38930310,akee
*FAN,apron,d,y,MOT,11474200_11475490,apron
*MAN,babies,s,y,FAT,33291830_33293760,NA
*OLN,babies,s,y,FAT,33298910_33300210,NA
*OLN,babies,i,n,MOT,37863040_37865115,NA
*OLN,babies,i,n,MOT,37866230_37868180,NA
*OLN,baby,d,n,MOT,32122560_32123590,NA
*OLN,baby,d,n,MOT,36815950_36817770,NA
*OLN,baby,d,y,MOT,37286370_37287440,NA
*OLN,baby+sock,s,y,MOT,22256110_22257110,sock
*FAN,baby+sock,s,y,MOT,22259740_22260750,sock
*FAN,baby+sock,s,y,MOT,22261350_22263780,sock
*FAN,baby+sock,s,y,MOT,22266820_22268160,sock
*MAN,baby+socks,s,n,MOT,22240120_22241360,sock
*OLN,baby+socks,s,n,MOT,22242780_22246020,sock
*MAN,baby+socks,s,n,MOT,22246020_22246250,sock
*MAN,baby+socks,s,n,MOT,22246730_22247530,sock
*TVN,baby+socks,s,n,MOT,22249820_22251070,sock
*TVN,baby+socks,d,y,MOT,22271240_22272240,sock
*OLN,baby+toy,q,n,MOT,12996620_12998660,NA
*OLN,baby+toy,q,n,MOT,13002840_13004480,NA
*CHN,ball,d,y,FAT,3716040_3718970,ball
*MAN,ball,i,y,FAT,13322400_13323200,ball
*MAN,ball,i,y,FAT,13325790_13327510,ball
*MAN,banana,i,y,MOT,11579500_11581210,banana
*FAN,banana,i,y,MOT,11582510_11583960,banana
*FAN,banana,q,y,MOT,11596100_11599670,banana
*FAN,banana,d,y,MOT,11616340_11618310,banana
*FAN,banana,d,y,MOT,11621930_11623790,banana
*FAN,banana,d,y,MOT,11747880_11752090,banana
*FAN,banana,d,y,MOT,11752090_11752920,banana
*FAN,banana,d,y,MOT,11798370_11800780,banana
*FAN,banana,i,y,MOT,11806460_11807460,banana
*FAN,banana,q,y,MOT,11922150_11923460,banana
*FAN,banana,i,y,MOT,11987820_11989530,banana
*FAN,banana,q,y,MOT,12197840_12199410,banana
*OLN,banana,d,n,MOT,12652790_12654290,banana
*OLN,banana,d,y,MOT,12658470_12659970,banana
*OLN,banana,d,y,MOT,12677420_12678550,banana
*MAN,banana,d,y,MOT,12680780_12681880,banana
*MAN,banana,q,y,MOT,12735540_12736540,banana
*OLN,banana,d,n,MOT,13020670_13022030,banana
*MAN,banana,d,n,MOT,13022830_13024220,banana
*FAN,banana+goop,d,n,MOT,15924190_15925190,NA
*MAN,bed,q,n,MOT,38793430_38794030,bed
*OLN,bee,s,n,FAT,38868030_38869460,bee
*TVN,blossom,s,n,MOT,38570100_38571090,blossom
*FAN,bluebirds,s,n,MOT,38770360_38774860,bluebird
*MAN,bottle,q,n,FAT,2333090_2337320,bottle
*TVN,bottle,d,n,FAT,2333090_2337320,bottle
*OLN,bottle,q,y,FAT,2410320_2410920,bottle
*CHN,bottle,d,n,MOT,15800080_15800880,bottle
*NOF,bottle,d,n,MOT,22402470_22403790,bottle
*OLN,bottle,d,y,FAT,36226060_36227760,bottle
*OLN,bowl,d,n,MOT,11516320_11517700,bowl
*OLN,broccoli,d,n,MOT,133340_142430,broccoli
*FAF,bus,r,y,FAT,33164530_33168370,bus
*FAN,bus,s,y,FAT,33164530_33168370,bus
*FAN,bus,s,y,FAT,33173390_33174400,bus
*FAN,bus,s,y,FAT,33183310_33184670,bus
*FAN,bus,s,y,FAT,33189060_33191210,bus
*FAN,bus,s,y,FAT,33229830_33230830,bus
*OLN,bus,s,y,FAT,33235220_33236920,bus
*OLN,bus,s,y,FAT,33241450_33242980,bus
*FAN,bus,s,y,FAT,33246970_33248150,bus
