tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,apple,d,y,MOT,3929800_3930800,apple
*OLN,arm,d,y,MOT,27486750_27487720,arm
*NOF,arms,d,y,MOT,518710_524540,arm
*FAN,arms,d,y,MOT,5132890_5133900,arm
*OLN,arms,d,y,MOT,5136070_5138870,arm
*OLN,arms,d,y,MOT,13678610_13680450,arm
*TVN,arms,d,y,MOT,22055840_22072940,arm
*FAN,arms,d,y,MOT,23399470_23401740,arm
*FAN,back,d,n,MOT,27755790_27757710,back
*OLN,ball,q,y,MOT,25127680_25130170,ball
*OLN,ball,d,y,MOT,25130980_25133550,ball
*FAN,ball,q,y,MOT,25200190_25201460,ball
*FAN,ball,d,y,MOT,25204530_25208470,ball
*FAN,ball,q,y,MOT,25330840_25334930,ball
*FAN,ball,d,y,MOT,25371010_25372420,ball
*TVN,bear,d,y,MOT,21821780_21824380,bear
*MAN,bed,r,y,MOT,37194230_37197850,bed
*MAN,bed,r,y,MOT,37198650_37203480,bed
*FAN,bee,r,n,MOT,17893230_17897110,bee
*FAN,bee,r,n,MOT,17898110_17900170,bee
*MAN,Big+Bird,r,y,MOT,37198650_37203480,Big+Bird
*SIL,bird,d,y,MOT,2450890_2454730,bird
*TVN,bird,d,n,MOT,20859960_20861310,bird
*FAN,birdie,q,y,MOT,2454730_2455810,bird
*TVN,blanket,d,y,MOT,21912900_21914810,blanky
*CHN,blanky,q,y,AD1,7734960_7739030,blanky
*MAN,blanky,r,y,MOT,37206330_37221740,blanky
*TVN,booger,d,y,MOT,20759570_20761680,NA
*FAN,boogies,d,y,MOT,20882270_20885050,NA
*FAF,book,q,y,MOT,3457650_3458650,book
*FAN,book,q,y,MOT,3870210_3871070,book
*FAN,book,d,y,MOT,3915030_3916050,book
*FAN,book,q,y,MOT,4010300_4011770,book
*FAN,book,q,y,MOT,17815820_17816820,book
*TVN,book,q,n,MOT,21009600_21010650,book
*TVN,book,q,n,MOT,21730450_21731450,book
*TVF,book,q,n,MOT,21733440_21734040,book
*FAN,books,d,n,MOT,18496470_18498290,book
*FAN,books,d,y,MOT,21844800_21846350,book
*FAF,books,d,y,MOT,21854840_21856850,book
*CHN,boot,d,y,SIS,3979270_3979440,boot
*MAN,boots,d,y,MOM,3980860_3981860,boot
*TVN,bouncer,q,n,MOT,21953410_21955790,bouncer
*FAF,branches,q,y,MOT,23006410_23007460,branch
*FAN,branches,d,y,MOT,23012960_23014240,branch
*TVN,bucket,d,y,AD1,7309680_7325400,bucket
*TVN,bucket,d,y,AD1,7309680_7325400,bucket
*FAN,bucket,d,y,MOT,24396890_24397890,bucket
*TVN,buffalo,d,y,MOT,21824380_21825010,buffalo
*FAN,bumblebee+boy,r,n,MOT,17910910_17915750,Bumblebee+Boy
*FAN,bumblebee+boy,r,n,MOT,17946750_17950440,Bumblebee+Boy
*FAN,bumblebee+boy,r,n,MOT,17953390_17959360,Bumblebee+Boy
*FAN,bumblebee+boy,r,n,MOT,17966300_17969060,Bumblebee+Boy
*FAN,bumblebee+boy,r,n,MOT,17986180_17990760,Bumblebee+Boy
*FAN,bumblebee+boy,r,n,MOT,18023360_18025930,Bumblebee+Boy
*MAN,bunny,r,y,MOT,37194230_37197850,bunny
*MAN,bunny,r,y,MOT,37194230_37197850,bunny
*FAN,butterfly,r,y,MOT,18279190_18282070,butterfly
*FAN,butterfly+girl,r,n,MOT,18070860_18075230,Butterfly+Girl
*FAN,butterfly+girl,r,n,MOT,18070860_18075230,Butterfly+Girl
*CXN,button,d,y,SIS,3969970_3970570,button
*MAN,buttons,d,y,MOT,3971580_3972590,button
*FAN,car,d,y,MOT,3927970_3929000,car
*OLN,carrier,d,n,MOT,34742490_34745680,carrier
*FAN,cat,r,y,MOT,18228310_18230130,cat
*OLN,Charlie+bear,d,y,MOT,5174690_5175670,Charlie+bear
*OLN,Charlie+bear,d,y,MOT,5176490_5177670,Charlie+bear
*FAN,Charlie+bear,d,y,MOT,5183460_5185510,Charlie+bear
*OLN,Charlie+bear,d,y,MOT,5185510_5187330,Charlie+bear
*TVN,cheeks,d,y,AD1,7207270_7208270,cheek
*FAN,cheeks,d,y,MOT,17830540_17831540,cheek
*TVF,cheeks,d,y,MOT,20875700_20876700,cheek
*FAN,cheeks,d,y,MOT,21029910_21031850,cheek
*TVN,cheeks,d,y,MOT,21035250_21036730,cheek
*OLF,cheeks,d,n,MOT,26077380_26078220,cheek
*FAN,cheeks,d,y,MOT,27498530_27500230,cheek
*FAN,cheeks,d,y,MOT,27501050_27502060,cheek
*TVN,Christmas+cookies,d,n,MOT,20573490_20594100,cookie
*FAF,clothes,d,y,MOT,21536260_21538100,clothes
*MAN,cloud,r,y,MOT,18002470_18003510,cloud
*FAN,coat,d,n,MOT,5071200_5073710,coat
*CHN,coat,d,y,MOT,5138870_5141120,coat
*FAN,coffee,q,n,MOT,1676030_1677100,coffee
*CXN,coffee,q,n,MOT,1679810_1680810,coffee
*FAN,coffee,q,n,MOT,1684980_1686170,coffee
*TVF,conditioner,d,n,MOT,22335660_22337210,conditioner
*MAN,cookie,q,y,MOT,3967350_3968360,cookie
*FAN,cookies,d,y,SIS,3957400_3958430,cookie
*MAN,cookies,q,y,MOT,3958430_3959460,cookie
*TVN,crib,q,y,MOT,20521920_20522920,crib
*MAN,crocodile,r,y,MOT,18275040_18277370,crocodile
*FAN,cube,q,y,MOT,37109260_37110260,cube
*FAN,cube,q,y,MOT,37111300_37112300,cube
*OLN,cup,d,y,MOT,3418350_3420250,cup
*MAF,diaper,d,y,MOT,86700_97260,diaper
*OLF,diaper,d,y,MOT,99190_100400,diaper
*MAN,diaper,d,y,MOT,208700_209700,diaper
