tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*NOF,airplane,q,y,MOT,35866270_35868390,airplane
*FAF,alarm,r,y,MOT,4912610_4914060,alarm
*CXN,arm,d,y,MOT,16644810_16648630,arm
*MAF,arm,q,y,MOT,24075950_24076750,arm
*FAF,arm,q,y,MOT,24077750_24079010,arm
*FAF,arms,i,y,MOT,24663700_24665520,arm
*TVN,arms,i,y,MOT,24663700_24665520,arm
*FAN,arms,d,y,MOT,29473030_29475150,arm
*FAN,arms,d,y,MOT,29475950_29478080,arm
*FAF,arms,s,y,MOT,37216770_37217690,arm
*FAN,axes,r,y,MOT,4976950_4979000,axe
*FAN,back,q,y,MOT,26084670_26085270,back
*FAN,back,q,y,MOT,26086310_26087550,back
*SIL,back,d,y,MOT,26706270_26707270,back
*FAN,backpack,q,y,MOT,25562800_25563930,backpack
*MAN,ball,q,y,MOT,24614870_24623940,ball
*FAN,ball,q,y,MOT,24742030_24743220,ball
*SIL,ball,d,y,MOT,24745320_24746480,ball
*FAN,ball,d,y,MOT,24755370_24756700,ball
*FAN,ball,d,y,MOT,24957020_24959580,ball
*TVF,ball,q,y,MOT,25086250_25087210,ball
*FAN,ball,r,y,MOT,29974820_29976270,ball
*FAF,barn,r,y,MOT,5072870_5073900,barn
*MAF,barn+toy,q,y,MOT,13670930_13672160,NA
*MAF,bean+bag+chair,r,y,MOT,29326700_29327700,chair
*MAF,bean+bag+chair,d,y,MOT,29336820_29337950,chair
*TVF,beans,r,y,MOT,29332290_29335820,beans
*FAF,beans,r,y,MOT,29332290_29335820,beans
*FAF,bear+bear,d,y,MOT,1466110_1467720,bear
*FAN,bears,d,y,SIS,1471970_1473410,bear
*CXN,bed,s,n,LFV,12685970_12687450,bed
*FAN,bed,r,y,MOT,38671490_38673440,bed
*FAN,bed,r,y,MOT,38680750_38683200,bed
*FAN,bell,r,y,MOT,4919470_4923310,bell
*TVF,belly,d,y,MOT,25036630_25037630,belly
*MAN,bellybutton,d,y,SIS,7870750_7873380,belly+button
*CXN,bellybutton,d,y,MOT,7873380_7874380,belly+button
*CXN,Bert,r,y,MOT,38694490_38696070,Bert
*FAN,Big+Bird,r,y,MOT,38680750_38683200,Big+Bird
*FAN,Big+Bird+Nighty+Night,d,y,MOT,38664240_38665240,Big+Bird+Nighty+Night
*FAN,bike,d,y,MOT,30321320_30324590,bike
*FAN,bird,q,n,MOT,9219260_9221200,bird
*MAN,birds,q,y,MOT,6623350_6625170,bird
*FAN,blanket,d,y,MOT,10295970_10297050,blanket
*OLN,blankie,r,y,MOT,38694490_38696070,blanket
*CXN,blueberries,q,y,MOT,1648800_1650710,blueberry
*TVF,blueberry,d,y,MOT,1634540_1636120,blueberry
*OLN,boat,d,y,MOT,30253440_30257960,boat
