tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,a,r,y,MOT,17916450_17917720,a
*FAN,alphabet soup,r,n,MOT,17912390_17914840,soup
*FAN,appendix,r,n,MOT,19048980_19050710,NA
*CHN,appendix,r,y,MOT,19162550_19162800,NA
*FAN,apple,q,y,MOT,39682000_39684260,apple
*CXN,apple,q,y,MOT,39686040_39687590,apple
*FAN,apple+cores,r,y,MOT,17916450_17917720,apple
*OLN,applesauce,q,y,MOT,37603450_37604250,applesauce
*FAN,applesauce,d,y,MOT,37866000_37870310,applesauce
*MAN,applesauce,d,y,FAT,38076800_38078480,applesauce
*MAN,applesauce+eater,d,n,FAT,38243440_38245830,NA
*FAN,applesauce+eater,d,n,FAT,38255210_38256320,NA
*OLN,applesauce+man,d,n,FAT,38252910_38254400,NA
*FAN,arm,d,y,MOT,5778770_5780550,arm
*FAN,arm,r,y,MOT,19057870_19059460,arm
*FAN,arms,r,y,MOT,4188930_4189710,arm
*OLN,arms,d,y,MOT,33579000_33581390,arm
*FAN,avenues,r,y,MOT,4215600_4216200,NA
*CHN,b,r,y,MOT,17917720_17918030,b
*FAN,baby,q,y,MOT,40270720_40272760,baby
*FAN,back,d,y,MOT,17591910_17593800,back
*FAN,backhoe+loader,r,y,MOT,18131700_18132780,backhoe
*FAN,backhoe+loader,r,y,MOT,18266730_18269200,backhoe
*CHN,bags,r,y,MOT,17855960_17856430,bag
*FAN,ball,q,y,MOT,35790_37200,ball
*OLN,ball,q,y,MOT,42150_43350,ball
*SIL,ball,q,y,MOT,115660_117270,ball
*OLN,ball,q,y,MOT,8037000_8037830,ball
*CXN,ball,q,y,MOT,8530140_8531260,ball
*FAN,ball,d,n,MOT,15716480_15718140,ball
*FAN,ball,d,n,MOT,15760980_15764220,ball
*FAN,ball,d,n,MOT,15760980_15764220,ball
*OLN,ball,q,y,MOT,15773910_15775080,ball
*CXN,ball,q,y,MOT,15775880_15776910,ball
*FAN,ball,r,d,MOT,18661590_18663370,ball
*FAN,balloon,r,y,MOT,41019830_41021030,balloon
*FAN,balls,r,y,MOT,4275620_4282920,ball
*CHN,banana+peels,r,y,MOT,17918030_17918360,banana
*FAN,barbecues,r,y,MOT,18167660_18168660,NA
*FAN,barge,r,n,MOT,18018690_18020700,barge
*FAN,bath,r,n,MOT,18222310_18223490,bath
*OLN,bath,d,n,FAT,38629030_38629830,bath
*FAN,bath,d,y,MOT,39957160_39960760,bath
*CXF,bath,q,y,MOT,40624990_40625790,bath
*FAN,beach+umbrellas,r,y,MOT,18158590_18159390,umbrella
*FAN,beacon,r,y,MOT,5861710_5864290,beacon
*FAN,bear,d,y,MOT,5119620_5120730,bear
*FAN,bear,r,y,MOT,5731840_5733820,bear
*CHN,bear,r,y,MOT,32199190_32202560,bear
*FAN,bear,d,y,MOT,32253520_32254950,bear
*FAN,bear+hunt,r,n,MOT,31967460_31968890,NA
*FAN,bear+hunt,r,y,MOT,32017910_32019550,NA
*FAN,bear+hunt,r,n,MOT,32054070_32054670,NA
*CHN,bear+hunt,r,n,MOT,32084370_32085480,NA
*FAN,bear+hunt,r,n,MOT,32124880_32125480,NA
*FAN,bear+hunt,r,n,MOT,32158420_32159640,NA
*FAN,bear+hunt,r,n,MOT,32238650_32239290,NA
*MAN,bear+hunt,d,n,FAT,38863990_38865400,NA
*CXN,Bear+Hunt,d,n,TVS,39467020_39467820,NA
*CXN,bear+hunt,d,n,TVS,39504570_39506610,NA
*CXN,bear+hunt,q,n,TVS,39511690_39512490,NA
*CXN,bear+hunt,s,n,TVS,39521400_39522200,NA
*TVF,bear+hunt,s,y,TVS,39545100_39546100,NA
*MAN,bear+hunt,s,y,TVS,39555330_39556640,NA
*CHN,bear+hunt,s,y,TVS,39557880_39558480,NA
*FAN,bed,r,y,MOT,4203330_4206830,bed
*FAN,bed,r,y,MOT,5833540_5836880,bed
*FAN,bed,d,y,MOT,5843750_5844750,bed
*FAN,bed,r,y,MOT,5978670_5980050,bed
*FAN,bed,r,y,MOT,19033630_19036930,bed
*FAN,bed,r,y,MOT,19074950_19076000,bed
*FAN,bed,r,y,MOT,32232530_32234130,bed
*FAN,bells,r,n,MOT,4357980_4367770,bell
*FAN,belly,d,y,MOT,40410950_40411960,belly
*FAN,belly,d,y,MOT,40449160_40450660,belly
*FAN,belly,d,y,MOT,40590840_40594660,belly
*FAN,belly,d,y,MOT,40590840_40594660,belly
*FAN,bicycles,r,y,MOT,18165650_18167060,bicycle
*NON,bike,d,n,TVS,39481040_39484240,bike
*FAN,birds,r,y,MOT,19084710_19086260,bird
*FAN,blackberry+bushes,r,y,MOT,32977960_32981820,bush
*FAN,blackberry+jam,r,y,MOT,32714880_32716710,jam
*FAN,blanket,r,y,MOT,19059460_19060060,blanket
*FAN,book,d,y,MOT,4157640_4159220,book
*FAN,book,d,y,MOT,17805600_17806670,book
*TVF,book,d,y,MOT,40752890_40762370,book
*CXN,book,d,y,SIS,40827980_40829650,book
*FAN,books,d,y,MOT,5714820_5716130,book
*FAN,books,r,y,MOT,5943770_5944370,book
*CHN,boom,r,n,MOT,18101830_18102280,NA
*FAN,box,r,y,MOT,6111310_6114680,box
*CHN,brakes,r,n,MOT,17843720_17844730,NA
*OLN,brakes,r,y,MOT,17863310_17864130,NA
*FAN,bread,r,y,MOT,18972580_18973730,bread
*FAN,bread,r,y,MOT,19135380_19137910,bread
*FAN,bridge,r,y,MOT,5065990_5070680,bridge
*FAN,bridge,r,n,MOT,6116640_6117770,bridge
*FAN,bridge,r,n,MOT,6118610_6119680,bridge
*FAN,bridge,d,y,MOT,6166400_6167400,bridge
*FAN,bridge,r,y,MOT,31691580_31693010,bridge
*FAN,bucket,r,y,MOT,18102550_18105320,bucket
*FAN,bucket,r,y,MOT,18207930_18209820,bucket
*FAN,bucket,r,y,MOT,18251820_18253240,bucket
*FAN,bumblebee,r,y,MOT,40889980_40891960,bumblebee
*CHN,bunny,r,y,MOT,32304690_32305690,bunny
*FAN,burrito,d,y,MOT,40329110_40330380,burrito
*NON,bus,s,n,FAT,39111030_39111830,bus
*OLN,bush,r,y,MOT,31809810_31810610,bush
*CHN,button,r,y,MOT,32818830_32819540,button
*MAF,buttons,q,y,FAT,654030_655050,button
*FAN,buttons,r,y,MOT,32812030_32814080,button
*FAN,c,r,y,MOT,17918360_17920200,c
*OLN,cake,r,n,MOT,18239470_18240510,cake
*FAN,cake,r,y,MOT,18902130_18904420,cake
*NOF,camera,s,y,TVS,39558480_39562970,camera
*FAN,candy,r,y,MOT,19113520_19114210,candy
*FAN,candy+wrapper,r,y,MOT,17918360_17920200,candy
*FAN,candycanes,s,y,FAT,38285380_38287210,candycane
*FAN,car,q,n,MOT,3761880_3762900,car
*FAN,car,r,y,MOT,19062350_19064730,car
*FAN,carrot,q,n,MOT,32659500_32660520,carrot
*OLN,carrot,q,n,MOT,36875050_36876290,carrot
*FAN,carrot,q,y,MOT,37132550_37134370,carrot
*MAN,carrot,q,n,MOT,37304180_37305280,carrot
*FAN,carrot,d,n,MOT,37866000_37870310,carrot
*FAN,carrots,d,n,MOT,33828150_33829230,carrot
*FAN,carrots,d,y,MOT,34444510_34446140,carrot
*FAN,carrots,q,y,MOT,34448840_34450040,carrot
*FAN,cars,s,n,MOT,40137620_40141030,car
*FAN,castles,r,y,MOT,5623650_5624750,castle
*FAN,cat,r,y,MOT,5356950_5359310,cat
*FAN,cat,r,y,MOT,5364040_5365310,cat
*FAN,cats,d,y,MOT,5124050_5125440,cat
*CHN,cave,r,y,MOT,32166570_32169030,cave
*CHN,cave,r,y,MOT,32169430_32171265,cave
*FAN,cave,r,y,MOT,32205910_32209670,cave
*FAN,ceiling,r,y,MOT,19077730_19079240,NA
*FAN,chicken,d,y,MOT,5127020_5128030,chicken
*FAN,chicken,r,y,MOT,32519640_32522600,chicken
*OLN,chicken,d,y,MOT,33582340_33587150,chicken
*CXN,chicken,d,y,MOT,33592290_33593330,chicken
*FAN,chicks,r,y,MOT,32354720_32355990,chick
*CHN,chompers,r,y,MOT,18105320_18105920,NA
*FAN,christmas+tree,r,y,MOT,4275620_4282920,tree
*CHN,Clifford,r,y,MOT,18562650_18563790,Clifford
*FAN,clothes,r,y,MOT,5935610_5938570,clothes
*FAN,clothes,d,y,MOT,7048310_7050900,clothes
*FAN,clover,r,y,MOT,32409310_32410920,clover
*FAN,cocoa,r,n,MOT,4341920_4345700,NA
*FAN,constellations,r,y,MOT,5728070_5730440,constellation
*FAN,cookies,r,y,MOT,18584360_18587860,cookie
*FAN,couches,r,y,MOT,18169260_18171940,couch
*FAN,covers,r,y,MOT,32232530_32234130,NA
*CXN,cow,r,y,MOT,32297350_32298380,cow
