tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*OLN,animal,d,n,TOY,663770_664570,NA
*MAN,animal,d,n,FAT,668690_671300,NA
*CXN,animal,s,n,TOY,12849920_12851000,NA
*FAN,animals,q,y,MOT,42335910_42336950,NA
*MAN,arm,n,y,FAT,11510730_11511730,arm
*MAN,arm,i,y,FAT,24860500_24861500,arm
*MAN,basil+flats,n,n,FAT,14176660_14182270,basil+flats
*MAN,arms,n,y,FAT,11519730_11520730,arm
*MAN,babies,s,n,FAT,581100_583820,baby
*MAN,babies,s,n,FAT,584820_590480,baby
*MAN,baby,q,n,FAT,11493810_11494810,baby
*FAN,baby,d,y,FAT,11495620_11497350,baby
*MAN,baby,s,n,FAT,14650240_14651410,baby
*MAN,baby,s,n,FAT,14653360_14655840,baby
*OLN,baby,q,n,MOT,34698140_34701100,baby
*OLN,baby,q,n,MOT,34702100_34702900,baby
*MAN,bakers,s,n,MOT,26296070_26297100,bakers
*MAN,tomatoes,r,y,FAT,16868980_16874410,tomatoes
*FAN,bakers,s,n,MOT,26313570_26316300,bakers
*MAN,ball,d,y,FAT,43776340_43779500,ball
*MAN,oven,r,n,FAT,16922400_16927100,oven
*MAN,ball,d,y,FAT,43794520_43796850,ball
*OLF,ball,d,n,TVN,46332250_46339060,ball
*OLN,ball,d,n,FAT,46353310_46356870,ball
*FAN,balls,q,y,MOT,22533920_22537050,ball
*FAN,bath,d,n,MOT,10896260_10899010,bath
*FAN,bath,q,n,MOT,10900010_10901010,bath
*FAN,bath,q,n,MOT,24337570_24338570,bath
*FAN,baths,d,y,MOT,24679090_24681010,bath
*MAN,birdies,d,n,FAT,17579270_17586840,birds
*OLN,birds,n,n,MOT,23029510_23031200,birds
*FAN,block,d,y,FAT,12742890_12743890,blocks
*OLN,block,d,y,FAT,12745340_12746140,blocks
*OLF,block,q,y,MOT,26334270_26335150,blocks
*MAN,blocks,q,y,FAT,257480_259960,blocks
*MAN,blocks,d,y,FAT,257480_259960,blocks
*FAN,blocks,i,y,FAT,477550_479290,blocks
*FAN,blocks,i,y,MOT,690500_693930,blocks
*FAN,blocks,q,y,MOT,951060_954670,blocks
*SIL,blocks,d,y,MOT,954670_955540,blocks
*FAN,blocks,d,y,FAT,12492930_12493660,blocks
*FAF,button,q,y,MOT,1328890_1330470,buttons
*MAN,button,n,y,FAT,11615270_11616660,buttons
*MAN,button,n,y,FAT,24921320_24922450,buttons
*MAN,buttons,n,y,FAT,24923670_24924730,buttons
*MAN,buttons,n,y,FAT,24925730_24928380,buttons
*MAN,buttons,n,y,FAT,24925730_24928380,buttons
*FAN,buttons,n,y,FAT,24929630_24930630,buttons
*CHN,buttons,n,y,FAT,24931430_24932450,buttons
*OLN,car,s,y,TOY,1374030_1374880,car
*FAN,car,q,y,MOT,2858660_2860160,car
*TVN,car,s,y,TOY,12551240_12552260,car
*OLN,car,s,y,TOY,12697090_12701680,car
*CXN,car,s,y,TOY,17296840_17297930,car
*MAN,cars,r,n,FAT,32568160_32600230,car
*MAN,casettes,r,n,FAT,32601040_32629470,cassettes
*MAN,cassettes,r,n,FAT,41445560_41457260,cassettes
*CXN,choo+choo,s,y,TOY,1368870_1369670,choo+choo
*OLN,choo+choo,s,y,TOY,12692870_12696290,choo+choo
*FAN,choo+choo+train,i,y,FAT,12544160_12546670,choo+choo
*FAN,diap,d,y,MOT,24284710_24286120,diaper
*FAN,diapee,s,y,MOT,10815500_10817770,diaper
*FAN,diapee,s,y,MOT,10818740_10821190,diaper
*OLN,diaper,d,n,MOT,45370340_45372920,diaper
*MAN,diaper,d,y,FAT,11356490_11357990,diaper
*MAN,diaper,n,y,FAT,11372010_11373010,diaper
*MAN,diaper,d,y,FAT,11409960_11412140,diaper
*FAN,diaper,d,n,MOT,34519430_34520320,diaper
*OLN,diaper,d,n,MOT,34550010_34555940,diaper
*MAN,diaper,d,n,MOT,39095610_39096810,diaper
*FAN,diaper,q,y,MOT,43591000_43592440,diaper
*FAN,diaper,d,n,MOT,45462350_45463390,diaper
*MAN,diapers,d,n,MOT,11066480_11067840,diaper
*FAN,diapers,d,y,MOT,43990450_43992830,diaper
*OLN,diapy,q,n,MOT,24230000_24231730,diaper
*MAN,DJ,r,n,FAT,41481550_41487100,DJ
