tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,shoes,r,y,MOT,49096780_49097800,shoe
*MAN,shoes,r,y,MOT,49098700_49100030,shoe
*MAN,shoes,r,y,FAT,49106640_49109490,shoe
*FAN,shoes,r,y,FAT,49109490_49110490,shoe
*OLF,shoes,s,y,FAT,49111520_49114120,shoe
*FAN,shoes,r,y,MOT,49132560_49134150,shoe
*OLN,shoes,r,y,MOT,49151640_49152500,shoe
*OLN,shoes,r,y,MOT,49153630_49155050,shoe
*FAN,shoes,r,y,MOT,49155050_49156400,shoe
*MAN,shoes,r,y,FAT,49166050_49169790,shoe
*OLN,shoes,r,y,FAT,49189970_49190790,shoe
*OLF,shoes,r,y,FAT,49191840_49192660,shoe
*OLF,shoes,r,y,FAT,49193720_49195130,shoe
*FAN,shoes,r,y,MOT,49204610_49205700,shoe
*FAN,shoes,r,y,MOT,49224950_49226000,shoe
*FAN,shoes,r,y,MOT,49226760_49228260,shoe
*FAN,shoes,r,y,MOT,49228870_49229920,shoe
*MAN,shoes,r,y,FAT,49248890_49249890,shoe
*MAN,shoes,r,y,FAT,49265970_49271640,shoe
*MAN,shoes,r,y,FAT,49265970_49271640,shoe
*OLF,shoes,r,y,FAT,49271640_49272490,shoe
*MAN,poops,d,y,FAT,4122100_4123110,NA
*MAN,poops,d,y,FAT,4123960_4124960,NA
*FAN,poops,q,y,FAT,15403810_15404830,NA
*MAN,poops,d,y,FAT,15458690_15459970,NA
*FAN,poops,d,y,FAT,15460870_15461670,NA
*FAN,poops,d,y,FAT,15461670_15463150,NA
*MAN,poops,d,n,FAT,15803310_15805830,NA
*MAN,poops,q,n,FAT,48139780_48141920,NA
*FAN,poops,q,n,FAT,48141920_48144360,NA
*FAN,poops,d,y,FAT,48256770_48259120,NA
*FAN,poops,d,y,MOT,48256770_48259120,NA
*FAN,poops,d,y,FAT,48259120_48260140,NA
*OLN,bed,d,y,MOT,22822240_22823040,bed
*FAN,bed,q,n,MOT,46535730_46538070,bed
*FAN,home,q,n,MOT,46951420_46953250,NA
*FAN,bed,q,n,MOT,46951420_46953250,bed
*FAN,bed,q,n,MOT,48023260_48024270,bed
*FAN,bed,r,n,MOT,49366860_49368930,bed
*FAN,mouse,r,y,MOT,49366860_49368930,mouse
*MAN,bed,r,n,FAT,49377490_49379530,bed
*MAN,goose,r,y,FAT,49377490_49379530,goose
*MAN,goose,r,y,FAT,49377490_49379530,goose
*FAN,bed,r,n,MOT,49386590_49388080,bed
*FAN,cat,r,y,MOT,49386590_49388080,cat
*MAN,bed,r,n,FAT,49394380_49396070,bed
*MAN,calf,r,y,FAT,49394380_49396070,calf
*FAN,bed,r,n,MOT,49401400_49402420,bed
*MAN,bed,r,n,FAT,49410810_49415530,bed
*MAN,fish,r,y,FAT,49410810_49415530,fish
*MAN,fish,r,y,FAT,49410810_49415530,fish
*OLN,bed,r,n,MOT,49419030_49421220,bed
*OLN,sheep,r,y,MOT,49419030_49421220,sheep
*OLN,sheep,r,y,MOT,49419030_49421220,sheep
*MAN,coffee,q,n,FAT,1973840_1975070,coffee
*MAN,coffee,q,n,FAT,2089550_2090740,coffee
*OLN,coffee,q,n,FAT,2091920_2093450,coffee
*MAN,coffee,d,n,FAT,2671070_2675010,coffee
*MAN,coffee,q,n,FAT,3117990_3119410,coffee
*MAN,coffee,q,n,FAT,7000920_7002500,coffee
*MAN,hand,q,n,FAT,7000920_7002500,hand
*FAN,coffee,d,y,MOT,16295970_16297810,coffee
*FAN,cup,d,y,MOT,49230730_49232860,cup
