tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,angel,q,y,GRM,34998330_34999510,angel
*FAN,animals,d,y,GRM,13481000_13482520,NA
*FAN,animals,r,y,GRM,13516910_13518380,NA
*MAN,apples,n,n,FAT,1499080_1501590,apple
*FAN,apples,s,n,GRM,16813040_16815560,apple
*FAN,apples,s,n,GRM,16820690_16824490,apple
*CHN,apples,n,n,GRM,16830210_16831050,apple
*OLN,apples,s,n,GRM,19524700_19525750,apple
*FAN,apples,s,n,GRM,22235690_22237680,apple
*FAN,apples,s,n,GRM,22258400_22261670,apple
*FAN,apples,s,n,GRM,22272380_22274320,apple
*FAN,apple+os,q,n,GRM,2822990_2826210,apple+os
*MAF,arm,i,y,GRM,13262670_13263700,arm
*FAN,arms,d,y,GRM,4226260_4227470,arm
*FAN,baby,q,y,MOT,80680_82010,baby
*MAN,baby,d,y,GRM,13584410_13585480,baby
*FAN,baby,r,y,GRM,13590860_13594710,baby
*FAN,baby,i,y,GRM,13590860_13594710,baby
*FAN,baby,r,y,GRM,13595680_13596950,baby
*CHN,baby,d,y,GRM,13600630_13601210,baby
*FAN,baby,d,y,GRM,13606200_13608680,baby
*MAN,baby,r,y,GRM,13612130_13613560,baby
*FAN,baby,d,y,GRM,13618140_13623880,baby
*FAN,baby,d,y,GRM,13625160_13628570,baby
*MAN,baby,r,y,GRM,13638560_13639560,baby
*FAN,baby,i,y,GRM,13643020_13646480,baby
*FAN,baby,r,y,GRM,13652580_13654250,baby
*FAN,baby,d,y,GRM,13655210_13657160,baby
*FAN,baby,d,y,GRM,13658420_13659430,baby
*FAN,baby,d,y,GRM,13662240_13663400,baby
*FAN,baby,r,y,GRM,13664200_13665200,baby
*MAN,baby,s,n,GRM,25182180_25183180,baby
*FAN,baby,s,n,GRM,29979960_29981140,baby
*FAN,baby,s,n,GRM,30016670_30017900,baby
*FAN,baby,q,y,GRM,36112740_36113780,baby
*FAN,baby,d,y,GRM,36304360_36305730,baby
*FAN,babies,d,y,GRM,13579690_13581560,baby
*MAN,babies,r,y,GRM,13588900_13590050,baby
*FAN,baby+book,q,y,GRM,5076830_5078420,Happy+Baby+Book
*MAN,back+scratcher,q,y,FAT,37580720_37581720,back+scratcher
*CHN,baker,s,n,GRM,25169340_25170420,baker
*MAN,baker,s,n,GRM,29962940_29963950,baker
*FAN,baker,s,n,GRM,29999450_30000700,baker
*OLN,baker,s,n,GRM,37285860_37286700,baker
*FAN,balloons,q,y,GRM,23968290_23969560,balloon
*FAN,bananas,s,n,GRM,16813040_16815560,banana
*FAN,bananas,s,n,GRM,16820690_16824490,banana
*CHN,bananas,n,n,GRM,16830210_16831050,banana
*OLN,bananas,s,n,GRM,19524700_19525750,banana
*FAN,bananas,s,n,GRM,22235690_22237680,banana
*FAN,bananas,s,n,GRM,22258400_22261670,banana
*FAN,bananas,s,n,GRM,22272380_22274320,banana
*OLF,bath,d,n,MOT,2040930_2041730,bath
*MAN,bath,s,n,MOT,2188250_2189250,bath
*FAN,bath,s,n,MOT,2191710_2192330,bath
*FAN,bath,q,n,MOT,37875300_37876470,bath
*FAN,bath,d,n,MOT,37944480_37945640,bath
*FAN,bath,d,n,MOT,37987980_37990130,bath
*OLN,baths,d,y,GRM,13641740_13643020,bath
*FAN,bathtub,q,n,MOT,38025280_38026340,bath
*MAF,bears,d,y,GRM,24293260_24294290,bear
*CHN,bears,q,y,GRM,24295200_24295760,bear
*CHN,bears,d,y,GRM,24296230_24298100,bear
*CXF,bears,q,y,TVN,24714220_24715630,bear
*CXN,bears,q,y,TVN,24716230_24718170,bear
*FAN,bed,q,n,MOT,37875300_37876470,bed
*FAN,bed,d,y,GRM,12692380_12693590,bed
*OLF,bee,r,y,GRM,4754520_4756840,bee
*MAN,bee,q,y,GRM,4982460_4983660,bee
*FAN,bee,q,y,GRM,4994200_4994800,bee
