tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,airplane,q,n,FAT,8917380_8921560,airplane
*FAN,airplane,n,n,FAT,8917380_8921560,airplane
*FAN,airplane,d,n,FAT,9634720_9635720,airplane
*OLN,apples,q,y,MOT,6860990_6901000,apple
*OLN,apples,q,y,MOT,6860990_6901000,apple
*OLN,apples,q,y,MOT,6917260_6933780,apple
*OLN,apples,d,y,MOT,8070160_8073480,apple
*MAN,apples,d,y,FFR,8073480_8074530,apple
*OLN,apples,q,n,FFR,9753590_9767490,apple
*OLN,apples,d,n,MOT,9753590_9767490,apple
*FAN,apples,d,n,MOT,12196280_12197640,apple
*FAN,apples,d,n,MOT,12203690_12204900,apple
*FAN,apples,q,n,MOT,12255190_12256460,apple
*FAN,apples,d,n,MOT,12297130_12298130,apple
*TVN,applesauce,d,n,FAT,13035360_13039100,applesauce
*TVN,applesauce,d,n,FAT,13035360_13039100,applesauce
*TVN,applesauce,d,n,FAT,13040110_13041680,applesauce
*FAN,Are+You+My+Mother,r,y,MOT,32432410_32433630,Are+You+My+Mother
*OLF,arm,d,y,FAT,3371180_3373730,arm
*OLN,arm,i,y,FAT,3807910_3810110,arm
*MAN,arm,i,y,FAT,3810710_3812160,arm
*OLN,arm,i,y,FAT,12529550_12537730,arm
*MAN,arm,i,y,FAT,12537730_12538810,arm
*MAF,arm,i,y,FAT,28969160_28970170,arm
*FAN,arm,d,y,FAT,29170010_29171130,arm
*FAN,arm,d,y,FAT,29173000_29174650,arm
*MAN,arms,i,y,FAT,17813690_17814690,arm
*MAN,arms,d,y,FAT,29178770_29180100,arm
*FAN,arms,q,y,FAT,29187950_29188550,arm
*FAN,arms,q,y,FAT,36168430_36169550,arm
*FAN,baboon,s,n,MOT,31136770_31138100,baboon
*TVN,baboon,s,n,MOT,33122820_33126630,baboon
*TVN,baboon,s,n,MOT,33136770_33139580,baboon
*FAN,baby,d,y,FFR,10445130_10446130,baby
*OLN,baby,q,y,FFR,10446130_10448390,baby
*OLN,baby,d,n,FAT,11478380_11498070,baby
*MAN,baby,d,n,FAT,11511080_11512170,baby
*MAN,baby,d,n,FAT,11514790_11516750,baby
*FAN,baby,s,n,MOT,27473120_27479530,baby
*FAN,baby+doll,d,n,MOT,20017690_20020480,baby
*MAN,bag,q,n,FAT,3662800_3663800,bag
*FAN,bag,q,n,MOT,6116010_6119000,bag
*OLN,bag,d,n,MOT,16027820_16028620,bag
*FAN,bag,d,n,MOT,42872400_42873550,bag
*MAN,bags,d,n,FAT,23021000_23022980,bag
*MAN,bags,d,n,FAT,43627370_43631460,bag
*OLN,baker,s,n,FFR,9268310_9269140,baker
*CXN,ball,s,y,TOY,221260_222100,ball
*CXN,ball,s,y,TOY,235170_238270,ball
*FAF,ball,q,y,MOT,244530_245540,ball
*FAN,ball,q,y,MOT,247250_248250,ball
*FAN,ball,n,y,MOT,249300_249940,ball
*CXN,ball,s,y,TOY,278470_279390,ball
*FAF,ball,q,y,MOT,348900_349500,ball
