tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,100+First+Words,r,y,MOT,2024000_2025820,100+First+Words
*FAN,airplane,r,y,MOT,2050250_2051340,airplane
*FAN,anchors,d,y,MOT,27803590_27805320,anchor
*FAN,animal,s,n,MOT,15014680_15017250,NA
*FAN,animal,s,n,MOT,15020430_15023530,NA
*FAN,animal,s,n,MOT,15023530_15024140,NA
*FAN,animal,s,n,MOT,15056330_15061400,NA
*FAN,animal+fair,s,n,MOT,12045380_12047900,NA
*FAN,animal+fair,s,n,MOT,12140040_12142090,NA
*FAN,animal+fair,s,n,MOT,12210510_12212830,NA
*FAN,animal+fair,s,n,MOT,12329840_12332420,NA
*FAN,animals,d,y,MOT,28032400_28033780,NA
*OLN,animals,d,n,GRP,38317480_38318280,NA
*FAN,ants,r,y,MOT,1884950_1889450,ant
*FAN,ants,r,y,AUN,17970950_17973250,ant
*FAN,apes,r,y,MOT,1823250_1824470,ape
*FAN,apes,r,y,AUN,17756460_17760430,ape
*FAN,apple,q,y,MOT,7531360_7533770,apple
*CXN,apple,q,n,FAT,41535090_41535900,apple
*CXN,apples,q,n,MOT,7412400_7413220,apple
*CXN,apples,n,n,MOT,7421620_7422460,apple
*FAN,apples,q,y,MOT,7526080_7527210,apple
*FAN,apples,s,y,MOT,7543970_7547520,apple
*FAN,apples,s,y,MOT,7550400_7553850,apple
*FAN,apples,q,y,MOT,7572090_7573920,apple
*FAN,apples,d,y,MOT,7670860_7671460,apple
*FAN,apples,s,y,MOT,7812330_7815270,apple
*FAN,apples,s,y,MOT,7937850_7941190,apple
*FAN,apples,s,y,MOT,7937850_7941190,apple
*OLN,apples,s,y,MOT,7941190_7942260,apple
*OLN,apples,s,y,MOT,7941190_7942260,apple
*OLN,apples,s,y,MOT,7941190_7942260,apple
*FAN,apples,s,y,MOT,7942260_7943700,apple
*FAN,apples,s,y,MOT,7947620_7950040,apple
*FAN,apples,d,y,MOT,7968210_7969100,apple
*OLN,apples,n,y,MOT,7975700_7980280,apple
*FAN,apples,s,y,MOT,8018840_8020740,apple
*FAN,apples,s,y,MOT,8029390_8032220,apple
*FAN,apples,q,y,MOT,8036720_8038680,apple
*FAN,apples,d,y,MOT,8042540_8043970,apple
