tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,angry+birds,d,n,FAT,21149370_21151520,angry+birds
*CXN,apple+cider,q,n,BR2,27248410_27250840,apple+cider
*MAN,apple+cider,d,n,FAT,27253030_27254600,apple+cider
*CXN,apple+cider,d,n,BR1,36108770_36109710,apple+cider
*OLN,apple+cider,q,n,BR1,36804250_36805210,apple+cider
*OLN,apple+cider,d,n,FAT,36832290_36835030,apple+cider
*OLN,apple+cider,d,n,BR1,37141100_37142140,apple+cider
*OLN,apple+cider,d,n,BR1,37153160_37154080,apple+cider
*CXN,apple+cider,d,n,BR1,37381190_37382810,apple+cider
*CXN,apple+sauce,d,n,BR1,37163660_37164330,apple+sauce
*FAN,apple+sauce,d,n,BR1,37169660_37170830,apple+sauce
*OLN,apples,n,y,MOT,16873530_16875280,apple
*MAN,application,d,n,TVN,20652700_20656980,NA
*OLN,arm,d,y,MOT,16168000_16171710,arm
*FAN,arm,q,y,MOT,16395310_16396340,arm
*OLN,arm,q,y,MOT,19155130_19197730,arm
*OLN,arms,d,y,MOT,16211680_16217910,arm
*CHN,arms,q,y,MOT,19154530_19155130,arm
*CHN,arms,d,y,BR1,34176320_34178860,arm
*FAN,baby,q,y,MOT,12851020_12852080,baby
*FAN,baby,q,y,MOT,41121410_41122950,baby
*FAN,back,q,N,MOT,13501220_13502540,back
*CHN,backpack,d,n,BR1,33949700_33950300,backpack
*OLN,bag,d,y,MOT,5589240_5591110,bag
*OLN,bag,q,n,LFV,19453370_19455030,bag
*OLN,bananas,q,n,LFV,19522790_19526350,banana
*MAN,bank,d,n,TVN,20325120_20327700,bank
*MAN,bank,d,n,TVN,20391870_20395920,bank
*MAN,bank,d,n,TVN,20406620_20408660,bank
*MAN,bank,d,n,TVN,20739890_20744450,bank
*MAN,banker,d,n,TVN,20391870_20395920,NA
*MAN,banker,d,n,TVN,20362760_20368820,NA
*CXN,baseball+jammies,q,y,MOT,41178360_41179290,jammies
*NOF,bath,q,n,MOT,37572830_37574270,bath
*FAN,bath,d,n,MOT,38073060_38074070,bath
*OLN,bath,q,n,FAT,38079910_38081980,bath
*FAN,bath,d,n,FAT,38082780_38084340,bath
*MAN,bath,d,n,FAT,40121530_40123800,bath
*MAN,bath,d,n,FAT,40127470_40128470,bath
*CHN,bath,d,n,MOT,40322370_40323560,bath
*CHN,bath,d,n,MOT,40324440_40325090,bath
*FAF,bath,q,n,MOT,40360380_40361380,bath
*FAF,bath,q,y,MOT,40775930_40777120,bath
*FAN,bathing+suits,i,n,MOT,4006610_4008530,bathing+suit
*FAN,bathing+suits,i,n,MOT,4075480_4076480,bathing+suit
*CXN,bathtub,d,y,BR2,40556340_40557500,bathtub
*CXN,bathtub,d,y,BR2,40558300_40559650,bathtub
*FAN,Batman,q,n,MOT,1556890_1560920,Batman
*MAN,Batman,q,n,FAT,21142710_21144530,Batman
*MAN,Batman,q,n,FAT,21152320_21153980,Batman
*CXN,batteries,d,n,BRO,1371610_1372470,battery
*FAN,bed,d,y,MOT,5728380_5730710,bed
*OLN,bed,i,y,MOT,5782610_5784320,bed
*FAN,bed,d,n,MOT,36281270_36282620,bed
*MAN,bed,d,n,FAT,36309940_36311100,bed
*OLN,bed,q,n,MFT,36312870_36314540,bed
*OLN,bed,d,n,FAT,37230540_37232580,bed
*OLN,bed,d,n,FAT,37233580_37239030,bed
*MAN,bed,d,n,FAT,37265340_37266340,bed
*OLN,beets,q,n,LFV,19444490_19447050,beets
*TVF,belly,n,y,MOT,11804510_11808580,belly
*FAN,belly,d,n,MOT,37533260_37535220,belly
*OLN,bib,d,n,MOT,1530630_1531480,bib
*OLF,bib,d,n,BRO,1535250_1535850,bib
*CXN,bib,d,n,BRO,1535850_1536650,bib
*NOF,bib,d,n,MOT,1537450_1539220,bib
*OLN,bib,d,y,MOT,5227950_5229860,bib
*OLN,bib,d,y,MOT,38490760_38492030,bib
*CHN,bird,i,y,BR1,34129340_34130590,bird
*FAN,bird,i,y,BR1,34135090_34137290,bird
*CXN,bird,i,y,BR2,34137290_34138430,bird
*MAN,bleach,d,n,FAT,21308290_21311150,bleach
*MAN,booth,d,n,TVN,20571160_20573620,booth
*CXN,boots,d,n,BR1,33989810_33992000,boot
*FAN,boots,d,n,BR1,33994550_33996300,boot
*MAN,box,d,n,TVN,20314200_20320510,box
*FAN,boy,d,y,MOT,20968600_20971990,boy
*TVF,brain,d,n,TVN,27454220_27455440,brain
*FAN,burp+cloth,q,y,MOT,382850_385800,burp+cloth
*MAN,bus,d,n,FAT,33940020_33943840,bus
*CHN,bus,d,n,BR1,33976100_33976490,bus
*CHN,bus,d,n,BR1,33984330_33985010,bus
*CXN,butt,s,n,BR1,36946240_36947450,NA
*OLN,butt,s,n,BR1,36947450_36948250,NA
*OLN,butt,s,n,BR1,36950710_36951510,NA
