tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,animals,d,n,MOT,16779440_16781760,NA
*FAN,Annoying+Orange,d,n,MOT,18632800_18633860,Annoying+Orange
*FAN,Annoying+Orange,d,n,MOT,18671610_18676370,Annoying+Orange
*FAN,Annoying+Orange,n,n,SIS,18629190_18630190,Annoying+Orange
*FAN,apple,d,n,MOT,20552520_20553730,apple
*FAN,apple,q,n,MOT,18511700_18514920,apple
*FAN,apple,d,y,MOT,18622520_18623530,apple
*OLN,apple,d,y,MOT,18715370_18717520,apple
*FAN,apple,d,y,MOT,18726680_18727680,apple
*FAN,apple,q,y,MOT,18616340_18617500,apple
*FAN,apple,q,y,MOT,18618170_18620320,apple
*FAN,apple,q,y,MOT,18708650_18709760,apple
*CHN,arm,d,y,SIS,29983430_29984510,arm
*FAN,armor,d,n,MOT,14133700_14135430,armor
*FAN,armor,d,y,MOT,14125830_14127400,armor
*FAN,babies,d,n,MOT,18474480_18476200,baby
*FAN,babies,d,n,MOT,34243910_34245710,baby
*MAN,baby,d,y,MAN,17170690_17172090,baby
*FAN,baby,d,y,MOT,27256590_27257890,baby
*FAN,baby,d,n,SIS,18470090_18471290,baby
*FAN,backpack,d,n,MOT,30973190_30974250,backpack
*FAN,backpack,d,n,MOT,30982420_30984190,backpack
*OLN,backpack,q,n,MOT,30889570_30891720,backpack
*CXN,backpack,d,n,SIS,11088080_11088900,backpack
*FAN,backpack,d,n,SIS,30893650_30895570,backpack
*FAN,bag,i,y,MOT,30611270_30612330,bag
*OLF,bag,d,y,SIS,30593510_30595310,bag
*OLN,ball,q,y,MOT,14007560_14022830,ball
*OLN,ball,q,y,MOT,14007560_14022830,ball
*MAN,balls,d,n,FAT,27060660_27063010,ball
*FAN,banana,n,y,MOT,29816270_29817320,banana
*FAN,banana,n,y,MOT,29819370_29820570,banana
*CXN,banana,n,y,SIS,29814670_29815470,banana
*CXN,banana,n,y,SIS,29818260_29819370,banana
*CXN,bath,d,y,SIS,28290910_28292740,bath
*OLN,bathtub,i,y,MOT,27743520_27750360,bath
*MAN,batteries,d,n,MOT,30844160_30845500,battery
*FAN,batteries,d,n,MOT,30852220_30853220,battery
*OLF,batteries,d,n,SIS,30847050_30848050,battery
*MAN,battery,d,n,MOT,31816730_31818740,battery
*FAN,bed,i,n,MOT,30003640_30009490,bed
*FAN,bed,d,y,MOT,30869450_30873020,bed
*FAN,bed,i,y,MOT,30391990_30394380,bed
*FAN,bed,i,y,MOT,30627220_30628650,bed
*FAN,bed,i,y,MOT,30993090_30994100,bed
*FAN,bed,i,y,MOT,31003100_31004700,bed
*FAN,bed,i,y,MOT,31008540_31009770,bed
*FAN,belly,d,y,MOT,7786070_7787070,belly 
*FAN,belly,q,y,MOT,6643860_6644870,belly
*MAN,berry,d,n,MOT,30797980_30798980,berry
*CHF,bib,q,n,MOT,7810070_7811030,bib
*FAF,bib,d,y,MOT,6653960_6655510,bib
*FAN,bib,d,y,MOT,7789680_7791460,bib
*NOF,bib,d,y,MOT,8879850_8881120,bib
*FAN,bibs,d,y,MOT,8883750_8885610,bib
*FAN,bin,d,n,MOT,25189690_25190690,bin 
*FAN,bin,d,n,MOT,25191520_25192520,bin
*FAN,bins,q,y,MOT,30517280_30519500,bin
*FAF,blankie,d,y,MOT,15145130_15145930,blankie
*FAN,Blistex,n,y,MOT,30768770_30770050,Blistex
*FAN,blood,d,y,MOT,29756220_29757230,NA
*FAN,bloody+boogie,n,y,MOT,29758830_29760410,NA
*OLN,boat,d,y,MOT,28502260_28503140,boat
*FAN,boat,d,y,MOT,30228830_30229990,boat
*NOF,boat,n,y,MOT,28503940_28506520,boat
*FAN,bone,d,n,MOT,20321250_20327860,bone
*FAN,bone,d,n,MOT,20321250_20327860,bone
*FAN,boogie,d,y,SIS,29758830_29760410,NA
*FAN,boogies,d,y,MOT,7193290_7196790,NA
*FAN,boogies,n,y,MOT,7197400_7198400,NA
*FAN,boogies,n,y,MOT,7197400_7198400,NA
*CHN,boogies,n,y,MOT,7199390_7199840,NA
*CHN,boogies,n,y,MOT,7199390_7199840,NA
*CHN,boogies,n,y,MOT,7199840_7200330,NA
