tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*CXN,alligator,q,y,BRO,39900990_39901790,alligator
*OLN,alligator,n,y,SIS,39904080_39904890,alligator
*CXN,alligator,n,y,SIS,39905890_39906850,alligator
*MAN,alligator,n,y,FAT,39906850_39907900,alligator
*MAN,animal,d,n,FAT,20932670_20934870,NA
*MAN,Anna,n,n,FAT,40177630_40179660,Anna
*FAN,antlers,d,n,MOT,20990280_20997590,antler
*FAN,antlers,n,n,MOT,20990280_20997590,antler
*FAN,antlers,q,n,MOT,20990280_20997590,antler
*CHN,apple,n,n,SIS,8551370_8551700,apple
*CXN,apple,n,n,SIS,8576980_8578000,apple
*CXN,apple,n,n,SIS,8737780_8738590,apple
*CXN,apple,n,n,SIS,8741250_8741850,apple
*CHN,apple,n,n,SIS,8742850_8743630,apple
*CHN,apple,n,n,SIS,8746410_8747550,apple
*MAN,Apple+TV,d,n,FAT,38097620_38099840,TV
*CXN,arm,q,y,BRO,32843630_32844720,arm
*OLN,arm,q,y,BRO,32849970_32852120,arm
*FAF,arms,d,n,MOT,51849440_51850900,arm
*FAN,baby,d,n,MOT,43583820_43585680,baby
*FAN,baby+food,d,n,MOT,41491620_41492900,baby+food
*FAN,baby+food,d,n,MOT,41548130_41549910,baby+food
*OLN,back,d,n,FAT,41197740_41199460,back
*FAN,back+door,n,n,FAT,10087740_10089000,door
*MAN,back+door,q,y,FAT,40559440_40562030,door
*FAN,bacon,n,n,MOT,41963440_41965660,bacon
*MAN,bag,d,y,FAT,40211780_40216770,bag
*MAN,baking+soda,d,n,FAT,22243860_22246500,baking+soda
*MAN,baking+soda,d,n,FAT,22250910_22255330,baking+soda
*MAN,baking+soda,d,n,FAT,22256600_22258670,baking+soda
*FAN,ball,q,y,MOT,1142240_1143240,ball
*MAN,ball,d,y,FAT,33532770_33533780,ball
*CHN,ball,n,y,SIS,33534590_33535010,ball
*CXN,ball,n,y,SIS,33536200_33537210,ball
*MAN,ball,n,y,FAT,33537210_33538210,ball
*CXN,ball,n,y,SIS,33540130_33541120,ball
*MAN,balloon,n,y,FAT,38716780_38718460,balloon
*MAN,balloon,q,y,FAT,38716780_38718460,balloon
*FAN,balloon,q,y,FAT,38719450_38721120,balloon
*FAN,balloon,q,y,FAT,38719450_38721120,balloon
*FAN,balloon,q,y,FAT,38724150_38725150,balloon
*FAN,balloon,d,y,FAT,38735240_38737630,balloon
*CHN,balloon,d,y,FAT,38737630_38738140,balloon
*MAN,balloon,d,y,FAT,38744370_38745370,balloon
*CHN,balloon,q,y,FAT,38750240_38750760,balloon
*FAN,balloon,d,y,FAT,38751700_38752700,balloon
*CHN,balloon,d,y,FAT,38768140_38769590,balloon
*CHN,balloon,n,y,FAT,38770050_38770390,balloon
*FAN,balloon,i,y,FAT,38770390_38772080,balloon
*MAN,balloon,q,y,FAT,38789350_38790350,balloon
*FAN,balloon,q,y,FAT,38791440_38792440,balloon
*MAN,balloon,q,y,FAT,38792440_38793540,balloon
*CHN,balls,q,n,FAT,36183760_36184490,ball
*FAN,bananas,d,n,MOT,20294380_20296720,bananas
*MAN,bananas,n,n,FAT,20407940_20409880,bananas
*FAN,bananas,q,n,MOT,41466390_41467920,bananas
*OLN,bananas,d,n,MOT,41572340_41577210,bananas
*OLN,bananas,n,y,MOT,41710980_41714880,bananas
*FAN,bananas,d,n,MOT,42015070_42017850,bananas
*FAN,bananas,n,n,MOT,42025110_42026260,bananas
*MAN,band+aid,d,n,FAT,43370400_43372800,band+aid
*CHN,band+aid,d,n,BRO,43373400_43374770,band+aid
*CXN,Batman,d,n,BRO,20315580_20316740,Batman
*CXN,Batman,d,n,BRO,20324250_20325570,Batman
*CXN,Batman,d,n,BRO,20352970_20354000,Batman
*MAN,Batman,n,y,FAT,32548890_32551530,Batman
*OLN,Batman,n,y,SIS,32590130_32591410,Batman
*MAN,Batman,d,n,FAT,39680060_39682120,Batman
*MAN,Batman,d,n,FAT,39735820_39738510,Batman
*MAN,Batman,d,n,FAT,40689420_40690420,Batman
*MAN,Batman,s,n,FAT,40834920_40836010,Batman
*MAN,Batman,s,n,FAT,40841100_40842100,Batman
*MAN,Batman,s,n,FAT,40854000_40855000,Batman
*CXN,Batman,s,n,FAT,40859600_40860490,Batman
*MAN,Batman,d,n,FAT,40872850_40873850,Batman
*FAN,Batman,i,y,FAT,40893730_40894680,Batman
*OLN,Batman,d,y,BRO,41040400_41041590,Batman
*MAN,Batman,d,y,FAT,41652040_41653090,Batman
*CXN,Batman,d,y,BRO,41802050_41802860,Batman
*OLN,Batman,n,y,BRO,41806950_41808070,Batman
*CXN,Batman,d,y,BRO,41809070_41811580,Batman
*OLN,Batman,q,y,MOT,42168000_42171120,Batman
*FAN,Batman,d,y,MOT,42414060_42415360,Batman
*OLN,Batman,d,y,BRO,42713050_42717380,Batman
*MAN,Batman,d,n,FAT,45413830_45418600,Batman
*FAN,Batman+and+Robin,q,n,MOT,37570550_37572180,Batman+and+Robin
*TVF,Batwoman,q,n,MOT,42059030_42060050,Batwoman
*CXN,beaver,n,n,SIS,20941220_20942450,beaver
*OLF,beaver,i,n,SIS,20942450_20944360,beaver
*MAN,beaver,i,n,MOT,20944360_20946110,beaver
*FAN,bed,d,n,MOT,2610190_2612020,bed
*MAN,bee,q,n,FAT,9935050_9937060,bee
*OLN,belly,d,y,FAT,33070360_33071160,belly
*FAN,belly,d,y,FAT,33072290_33073290,belly
*CHN,belly,d,y,FAT,33074540_33075220,belly
*FAN,belly,d,y,FAT,33077730_33078760,belly
*CHN,belly,n,y,FAT,33080780_33081940,belly
*CHN,belly,n,y,FAT,33080780_33081940,belly
*MAN,belly,d,y,FAT,33084480_33085950,belly
*CXN,bibbers,d,y,MOT,20575340_20576150,bibber
*FAN,bibbers,d,y,MOT,20577370_20578370,bibber
*FAN,bibbers,d,y,MOT,42235230_42236330,bibber
*FAN,bin,q,y,MOT,37987910_37990560,bin
*MAN,binky,q,n,FAT,51834940_51835940,binky
*FAN,blanket,i,y,MOT,3355550_3356660,blanket
*MAN,blanket+cape,q,y,FAT,36777390_36780080,cape
*FAN,boat,q,n,FAT,40991160_40991920,boat
*CXN,boat,d,n,FAT,40994360_40995190,boat
*CHN,boo+boo,d,y,BRO,43346140_43347500,boo+boo
*MAN,boo+boo,d,y,FAT,43349100_43350740,boo+boo
*OLF,book,n,n,SIS,2919610_2921600,book
*OLF,book,n,n,SIS,2919610_2921600,book
*FAN,book,n,n,MOT,2921600_2923050,book
*MAN,book,d,y,FAT,4723490_4724490,book
*MAN,book,n,y,FAT,4725370_4726510,book
*MAN,book,i,y,FAT,8454970_8457030,book
*CXN,book,q,y,FAT,8459100_8459760,book
*CHN,book,q,y,SIS,8613600_8613810,book
*OLN,book,q,y,FAT,9399350_9402150,book
*MAN,book,i,y,FAT,9991400_9994520,book
*CHN,book,q,y,FAT,10003890_10006200,book
*CHN,book,q,y,FAT,10006200_10007210,book
*MAN,book,n,y,FAT,10037450_10038480,book
*CXN,book,n,y,SIS,20198700_20199910,book
*CXN,book,d,y,BRO,21766600_21769230,book
*CXN,book,n,n,SIS,33314520_33315350,book
*CXN,book,q,y,BRO,33365360_33366240,book
*FAN,book,d,y,FAT,35758270_35760100,book
*NOF,book,i,n,FAT,35760700_35761500,book
*CHN,book,d,y,BRO,35764630_35765230,book
*MAN,book,d,y,FAT,35770250_35771480,book
*MAN,book,i,y,FAT,35837170_35838170,book
*FAN,book,d,y,FAT,35839500_35841900,book
*FAN,book,d,y,FAT,35988120_35990130,book
*FAN,book,d,y,FAT,36036570_36037650,book
*OLN,book,i,y,FAT,36049930_36051400,book
*OLN,book,i,y,FAT,36053880_36054750,book
*MAN,book,d,n,FAT,38204420_38206290,book
*FAN,books,d,y,MOT,20185980_20188450,book
*FAN,books,q,y,MOT,20189060_20190980,book
*MAN,books,q,y,FAT,35841900_35843400,book
*MAN,boots,d,n,FAT,10250290_10256930,boot
*MAN,boots,d,y,FAT,10250290_10256930,boot
*OLN,boots,q,y,FAT,36883750_36884580,boot
*OLN,boots,q,y,FAT,36886520_36888560,boot
*MAN,boots,n,y,FAT,36888560_36890590,boot
*MAN,boots,d,y,FAT,36888560_36890590,boot
*MAN,boots,i,y,FAT,36892860_36893890,boot
*FAN,booty,n,y,MOT,44517770_44520120,booty
*OLN,booty,n,y,MOT,44520750_44521550,booty
*FAN,bottle,d,n,MOT,41829700_41832550,bottle
*OLN,bottle,d,n,MOT,41838990_41841830,bottle
*FAN,bottle,d,n,MOT,41841830_41843250,bottle
*MAN,boulder,d,n,FAT,33975010_33976020,boulder
*MAN,bowls,d,n,FAT,41235860_41238140,bowl
*FAN,bowls,d,y,MOT,42011130_42014240,bowl
*OLF,box,d,y,MOT,37662330_37663130,box
*FAN,bracelet,d,y,FAT,32282020_32283020,bracelet
*OLN,breast+milk,d,n,MOT,41838990_41841830,milk
*MAN,buckle,d,y,FAT,41092730_41094490,buckle
*MAN,buckles,d,n,FAT,30499790_30503240,buckle
*CHN,bullet+proof+vest,d,n,MOT,458090_458740,vest
*FAN,bum,d,y,MOT,44738930_44740170,NA
*MAN,bunnies,q,y,FAT,4415920_4416920,bunny
*FAN,bunny,n,n,MOT,3041080_3043460,bunny
*CXN,bunny,n,y,FAT,4417720_4419130,bunny
*OLN,bunny,n,y,FAT,4420250_4421490,bunny
*MAN,bunny,q,y,FAT,4604180_4605180,bunny
*MAN,bunny,q,y,FAT,4606180_4609530,bunny
*MAN,bunny,q,y,FAT,4622220_4623630,bunny
*MAN,bunny,d,y,FAT,4625200_4626480,bunny
*MAN,bunny,q,y,FAT,4709580_4711620,bunny
*FAN,bunny,q,y,FAT,4711620_4714210,bunny
*MAN,bunny,n,n,FAT,20956010_20957710,bunny
*FAF,bunny,n,n,SIS,20957710_20958710,bunny
*MAN,bunny,n,n,FAT,20958710_20959720,bunny
*FAN,bunny,q,y,FAT,36954260_36955260,bunny
*FAN,bunny,q,y,FAT,36956060_36957060,bunny
*FAN,bunny,d,y,FAT,36958550_36960350,bunny
*MAN,bunny,d,y,FAT,36960350_36961710,bunny
*FAN,bunny,q,n,FAT,40416720_40417320,bunny
*MAN,bunny,q,n,FAT,40418920_40419920,bunny
*MAN,bunny,d,n,FAT,40423270_40424350,bunny
*MAN,bunny+rabbit,q,n,FAT,30619610_30621500,bunny
*MAN,bunny+tracks,d,y,FAT,4314400_4316210,NA
*MAN,bunny+tracks,n,y,FAT,4318230_4319710,NA
*FAN,bunny+tracks,q,y,FAT,4319710_4320380,NA
