tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,Animal+Sounds,d,n,GRM,27975350_27978580,Animal+Sounds
*FAN,Animal+Sounds,n,y,GRM,28281140_28283210,Animal+Sounds
*OLN,arm,i,y,MOT,15916650_15918240,arm
*CXN,arm,d,y,MOT,18045700_18046530,arm
*CHN,arm,d,y,MOT,18239170_18239690,arm
*MAN,arm,d,y,MOT,28024070_28025070,arm
*FAN,arm,d,y,GRM,28109860_28110860,arm
*FAN,arm,d,y,GRM,28183890_28184890,arm
*FAN,arm,d,y,GRM,28185780_28187320,arm
*FAN,arm,d,y,GRM,28188770_28190030,arm
*CXN,arm,d,y,MOT,42482130_42483520,arm
*FAN,arm,d,y,MOT,42487860_42489570,arm
*CXN,arm,i,y,MOT,42598740_42600190,arm
*FAF,arm,d,y,MOT,42605770_42606960,arm
*FAN,arms,d,y,MOT,18231410_18233280,arms
*FAN,artwork,q,y,MOT,15203550_15204800,NA
*FAN,baby,d,y,MOT,3503680_3505570,baby
*FAN,baby,d,y,MOT,4859680_4861820,baby
*FAN,baby,q,y,MOT,18109640_18111830,baby
*FAN,baby,n,y,GRM,36959520_36962600,baby
*FAN,baby,n,y,GRM,36965250_36966250,baby
*FAN,babydoll,q,y,GRM,28733440_28735280,doll
*FAN,babydoll,q,y,MOT,36762840_36765310,doll
*FAN,babydoll,d,y,GRM,36768920_36769950,doll
*FAN,babydoll,n,y,GRM,36963220_36964340,doll
*FAN,babydoll,d,y,GRM,36974980_36977570,doll
*FAN,back,d,n,MOT,12456690_12458130,back
*FAN,back,d,n,MOT,27394660_27395980,back
*OLF,back,d,y,MOT,42098520_42101500,back
*FAF,back,q,y,MOT,42338940_42343100,back
*FAN,back,d,y,MOT,42349070_42351500,back
*FAN,backpack,d,n,MOT,35778920_35784500,backpack
*FAN,backpack,d,n,GRM,35785510_35788760,backpack
*FAN,bag,q,y,MOT,23583690_23584690,bag
*FAN,bag,d,n,GRM,36893000_36895690,bag
*FAN,bag,d,n,MOT,37336090_37338730,bag
*OLF,baggie,d,n,MOT,37076940_37077820,bag
*FAN,baggies,q,n,MOT,37298670_37302680,bag
*OLN,bags,d,y,MOT,23891110_23892390,bag
*FAN,bags,d,n,MOT,40747520_40749290,bag
*MAF,balloon,r,y,MOT,42778450_42779750,balloon
*MAF,balloon,r,y,MOT,42815820_42817330,balloon
*OLN,banana,q,n,MOT,14159700_14160790,banana
*FAN,banana,q,n,MOT,14164510_14166710,banana
*FAN,banana,q,y,MOT,14204990_14206370,banana
*FAN,bank,d,y,MOT,35950440_35953220,bank
*FAN,bank,d,y,MOT,36000990_36001990,bank
*CHN,bath,d,y,MOT,2606060_2606570,bath
*FAN,bath,d,n,MOT,41218600_41221090,bath
*FAN,bath,q,n,MOT,41517930_41519770,bath
*OLN,bath,q,y,FAT,41817720_41821550,bath
