tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,apple,d,y,GRM,21039800_21040970,apple
*FAN,apple,d,y,GRM,21722560_21723950,apple
*FAN,apple,d,n,MOT,21945080_21945920,apple
*FAN,apples,d,y,MOT,2703480_2707650,apple
*FAN,apple,r,y,MOT,34207100_34208320,apple
*FAN,apples,r,y,MOT,34156320_34157120,apple
*FAN,applesauce,d,n,MOT,2437000_2439920,applesauce
*FAN,applesauce,d,n,MOT,2555170_2559390,applesauce
*FAN,applesauce,d,n,MOT,21643210_21645040,applesauce
*FAN,applesauce,n,n,MOT,21636810_21637820,applesauce
*CHN,applesauce,q,n,MOT,2561200_2564550,applesauce
*CHN,applesauce,q,n,MOT,2569820_2572020,applesauce
*FAN,arm,d,y,GRM,11056170_11057780,arm
*MAN,arms,d,y,GRM,10772940_10777210,arm
*FAN,army,d,y,GRM,19821430_19822430,arm
*FAN,army,i,y,GRM,19801180_19803060,arm
*FAN,arm,d,y,MOT,5282850_5285380,arm
*MAN,arm,d,y,MOT,5300670_5302540,arm
*FAN,arm,d,y,MOT,38616970_38619350,arm
*FAN,arm,i,y,MOT,32986400_32987500,arm
*MAN,arms,i,y,MOT,172810_174790,arm
*MAN,arms,q,y,MOT,8821370_8826020,arm
*OLF,baby,d,y,GRM,16424790_16426370,baby
*FAN,baby,q,y,GRM,16421410_16422650,baby
*FAN,baby,q,n,GRP,9183510_9187310,baby
*FAN,baby,d,y,GRP,9214870_9217040,baby
*FAN,baby,q,y,GRP,9212800_9214870,baby
*OLN,baby,d,y,MOT,23001650_23003210,baby
*OLN,baby,q,y,MOT,22998580_22999590,baby
*FAN,baby,q,y,MOT,23033300_23034300,baby
*OLN,baby+powder,q,n,GRM,8835190_8841630,baby+powder
*FAN,diaper+bag,i,y,GRM,13678620_13679420,bag
*OLN,bag,d,n,GRP,9177800_9179850,bag
*OLN,bagel,d,n,GRM,13287010_13288030,bagel
*FAN,ball,d,y,GRM,13078470_13081940,ball
*OLF,ball,d,y,GRM,13138940_13139740,ball
