tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,activity+tables,d,y,MOT,27078720_27080440,table
*FAN,air,r,n,MOT,21236620_21241040,NA
*FAN,ancient+seals,r,y,MOT,21092270_21098990,seal
*FAN,archaeologists,r,y,MOT,21027520_21036800,archaeologists
*FAN,arm,d,n,MOT,39488560_39493130,arm
*FAN,arm,d,n,MOT,39488560_39493130,arm
*TVN,arms,d,y,TVN,19713890_19722450,arm
*FAN,arms,r,y,MOT,21152090_21170870,arm
*FAN,arms,r,y,MOT,21214780_21220070,arm
*FAN,arms,r,y,MOT,21230190_21235820,arm
*OLN,arms,d,n,MOT,26138160_26140630,arm
*FAN,arms,d,n,GRM,43231590_43232750,arm
*FAN,arms,i,n,GRM,43680480_43681650,arm
*MAN,arms,d,y,FAT,48707380_48708930,arm
*FAN,Arthur,r,y,MOT,21132740_21143910,Arthur
*FAN,Babar's+Yoga+For+Elephants,d,y,MOT,21016540_21018230,Babar's+Yoga+For+Elephants
*FAN,Babar+the+Elephant,d,y,MOT,21020400_21022910,Babar+the+Elephant
*MAN,babies,d,n,ADM,48028430_48030370,baby
*MAN,babies,d,n,FAT,50665440_50667920,baby
*FAN,baby,s,n,MTV,12474360_12476250,baby
*OLN,baby,d,y,MOT,22340360_22341490,baby
*MAN,baby,d,n,FAT,39975000_39978860,baby
*FAN,baby,i,n,GRM,42716190_42719130,baby
*FAN,baby,q,n,GRM,43075100_43077790,baby
*MAN,baby,d,n,FAT,48081360_48082440,baby
*MAN,baby,i,n,FAT,50242830_50243890,baby
*MAN,baby,i,n,FAT,50245420_50248310,baby
*MAN,baby,d,n,ADM,50945800_50953290,baby
*FAN,back,r,y,MOT,21152090_21170870,back
*FAN,back,r,y,MOT,21254330_21256210,back
*OLN,bag,i,n,MOT,40684060_40685000,bag
*FAN,bag,d,n,GRM,42580750_42583460,bag
*FAN,bag,q,n,GRM,42631460_42633160,bag
*TVN,banana,q,y,MOT,13099100_13105260,banana
*TVN,bananas,d,y,MOT,13335730_13340410,banana
*MAN,bar,d,n,FAT,39837130_39839890,NA
*TVN,basket,d,y,MOT,4612790_4613790,basket
*FAN,bath,q,n,MOT,11866430_11867470,bath
*OLN,bath,q,n,MOT,11870410_11871210,bath
*FAN,bay,s,n,GRM,43331790_43335770,bay
*FAN,beaches,d,n,MOT,33902250_33903250,beach
*FAN,beaches,n,n,MOT,33905610_33906610,beach
*FAN,bed,i,n,MOT,13015580_13016580,bed
*TVN,bed,d,n,TVN,20022900_20023750,bed
*FAN,bed,r,y,MOT,21152090_21170870,bed
*MAF,bed,d,n,GRM,43038810_43039980,bed
*FAN,bed,d,n,GRM,43949310_43949940,bed
*TVN,bed+sheets,s,n,TVN,13055710_13069720,sheet
*MAN,beer,s,n,TVN,12514160_12515160,beer
*MAN,beer,q,n,FAT,47755850_47758050,beer
*FAN,bell,s,y,GRM,43010780_43011930,bell
*MAF,bell,s,y,GRM,43011930_43013350,bell
*TVN,belly,d,y,TVN,19684410_19689960,belly
*OLN,bib,d,y,MOT,2158830_2160880,bib
*OLN,bib,d,n,MOT,36422020_36423520,bib
*OLN,bib,d,n,MOT,36606900_36614570,bib
*FAN,bib,q,y,GRM,42975990_42976990,bib
*FAN,bib,q,y,GRM,43409220_43411030,bib
*FAN,bib,q,y,GRM,43424030_43425420,bib
*FAF,binky,d,n,MOT,40701870_40703020,binky
*OLF,bird,q,y,MOT,18768600_18769850,bird
*FAN,bird+toy,d,y,MOT,18764500_18765860,bird
*FAN,birdies,q,n,GRM,41983960_41986860,bird
*MAN,birdies,q,n,GRM,41986860_41987860,bird
*FAN,birds,s,n,GRM,43347860_43348990,bird
*MAN,blade,d,n,FAT,39623830_39625120,blade
*FAN,blanket,d,n,MOT,27432770_27435040,blanket
*OLN,blanky,q,n,GRM,43964200_43975170,blanket
*NOF,block,d,y,MOT,2153540_2155640,block
*TVN,block,s,n,TVN,12833790_12834790,block
*FAN,blocks,d,y,MOT,2307270_2308560,block
*FAN,bluebird,q,y,MOT,18769850_18772070,bluebird
*FAN,bluebird,d,y,MOT,18914730_18916220,bluebird
*CHN,bluebird,n,y,MOT,18917320_18917920,bluebird
*CHN,bluebird,n,y,MOT,18917920_18919180,bluebird
*FAN,body,r,n,MOT,21152090_21170870,body
*FAN,body,r,y,MOT,21256820_21260520,body
*FAN,book,d,y,MOT,21110760_21112040,book
*FAN,book,d,y,MOT,21324760_21326390,book
*FAN,book,d,y,MOT,21339070_21343680,book
*NOF,book,d,y,MOT,21367450_21370800,book
*FAN,book,d,y,MOT,21370800_21372230,book
*OLF,book,r,y,MOT,21374320_21375120,book
*MAN,books,s,n,TVN,12479630_12482110,book
*MAN,boots,q,n,FAT,40737000_40738020,boot
*OLN,bottle,s,n,MTV,5160480_5166240,bottle
*OLN,bottle,s,n,MTV,13006830_13010610,bottle
*TVN,bottle,s,n,TVN,13090320_13098060,bottle
*TVN,bottle,s,n,FTV,44456920_44459320,bottle
*FAN,bouncy,q,n,MOT,2423430_2424490,bouncy
*OLN,brakes,d,n,MOT,22042310_22044530,brake
*FAN,brakes,d,n,GRM,42957210_42958480,brake
*TVN,bullet,s,n,TVN,13185720_13187790,bullet
*MAN,bullet,d,n,FAT,48112040_48113880,bullet
*FAN,bum,q,n,GRM,42658340_42659340,NA
*FAN,bum,q,n,GRM,42660340_42662140,NA
*OLN,bum+bum,q,n,GRM,42562450_42564950,NA
*FAN,bumbleery,d,n,GRM,42897550_42900330,NA
*MAN,buns,d,n,FAT,48565600_48569910,bun
*MAN,bus,s,n,TVN,12479630_12482110,bus
*FAN,butt+paste,d,n,GRM,42732800_42735100,butt+paste
*CXN,butterflies,n,y,MOT,730790_731690,butterfly
*FAN,butterflies,i,y,MOT,731690_733790,butterfly
*CXN,butterflies,q,y,MOT,1738150_1739970,butterfly
*OLN,car,s,n,MTV,12453460_12454330,car
*FAN,car,d,n,MOT,15598660_15599460,car
*OLF,car,d,n,MOT,15602260_15603560,car
*CHN,car,n,n,MOT,18589360_18590430,car
*OLN,car,d,n,LMV,22037720_22040430,car
*CHN,car,d,n,MOT,22041710_22042310,car
*OLN,car,d,n,MOT,39417370_39418190,car
*MAN,car,d,n,FAT,40018610_40020850,car
*FAN,car,d,n,MOT,40030120_40031180,car
*FAN,car,d,n,MOT,40035440_40044770,car
*FAN,car,d,n,MOT,40035440_40044770,car
*FAN,car,d,n,GRM,41730670_41733320,car
*MAN,car,d,n,FAT,42135110_42141250,car
*MAN,car,d,n,GRM,42135110_42141250,car
*FAN,car,d,n,GRM,42146920_42148130,car
*MAN,car,d,n,FAT,42148130_42154700,car
*OLN,car,d,n,FAT,42154700_42156090,car
*OLN,car,d,n,GRM,42165150_42168330,car
*FAF,car,d,n,GRM,42953010_42954060,car
*CHF,car,d,n,FAT,44082990_44084000,car
*OLN,car,q,y,FAT,44118000_44122110,car
*OLN,car,d,y,FAT,44122740_44123980,car
*FAN,car+seat,q,y,MOT,33954000_33957950,car+seat
*TVN,cards,s,n,FTV,44440900_44441950,card
*FAN,cat,d,n,MOT,4152670_4153730,cat
*OLF,cat,i,y,MOT,4159610_4161220,cat
*FAN,cave,r,y,MOT,21027520_21036800,cave
*FAN,cemetery,q,n,MOT,18747240_18748480,cemetery
*TVN,chamber,s,n,TVN,13185720_13187790,chamber
*FAN,charger,d,n,MOT,39884240_39885530,charger
*MAN,check,s,n,TVN,12512120_12513120,check
*OLF,cheese,q,n,MOT,16109740_16110710,cheese
*FAN,chest,r,y,MOT,21212520_21214180,chest
*FAN,chin,r,y,MOT,21212520_21214180,chin
*TVN,cigarette,s,n,TVN,5131080_5132520,cigarette
*TVN,cigarette,s,n,FTV,44463620_44464580,cigarette
*TVN,cigarette,s,n,FTV,44531620_44532860,cigarette
*FAN,claws,n,n,MOT,2183560_2185020,claw
*FAN,claws,d,n,MOT,4705620_4706620,claw
*OLN,claws,d,n,MOT,4799730_4802320,claw
*TVN,claws,d,y,TVN,19675780_19679100,claw
*TVN,claws,d,y,TVN,19684410_19689960,claw
*TVN,claws,d,y,TVN,19703150_19710040,claw
*TVN,claws,d,y,TVN,19727020_19728040,claw
*FAN,clay+cylinders,r,y,MOT,21037400_21041310,cylinder
*TVN,clock,s,n,TVN,12837190_12844570,clock
*FAN,closet,q,n,MOT,21427160_21428210,NA
*FAN,clothes,d,n,MOT,33852380_33855220,clothes
*FAN,clothing,r,y,MOT,21085010_21086480,clothes
*FAN,coat,q,n,MOT,4144800_4147760,coat
*OLN,coat,d,n,MOT,25910890_25916930,coat
*MAN,coat,i,n,FAT,39613050_39615710,coat
*MAN,coat,q,y,FAT,39826880_39828230,coat
*MAN,coat,i,y,FAT,39826880_39828230,coat
*FAN,coat,d,y,MOT,39890330_39891340,coat
*FAN,coat,d,y,MOT,39891960_39893060,coat
*MAN,coat,q,n,FAT,39894150_39895280,coat
*FAN,coffee,q,n,MOT,317100_318110,coffee
