tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,acid,n,n,FAT,37102740_37105330,acid
*FAN,aeroplanes,s,n,UNC,4495470_4497540,aeroplane
*MAN,animals,d,n,FAT,31318020_31320570,NA
*MAN,antelope,s,n,FAT,23215180_23216180,antelope
*FAN,arms,d,n,GRM,41278140_41280820,arm
*FAN,arm,d,y,MOT,1670860_1671870,arm
*CHN,arm,d,y,MOT,1674670_1675300,arm
*MAN,arm,d,y,UNC,3860520_3861660,arm
*MAN,armpit,d,y,UNC,3842880_3843880,armpit
*MAN,ass,d,n,FAT,38925040_38927580,ass
*FAN,ax,d,n,ADM,37635810_37637810,ax
*FAN,baba,n,n,MOT,24241990_24243020,baba
*FAN,ba,q,n,MOT,24239800_24240880,baba
*FAN,bab,q,n,MOT,24239800_24240880,baba
*OLN,baba,q,n,MOT,24243020_24244290,baba
*MAN,baby,d,n,FAT,31298010_31299150,baby
*MAN,baby,d,y,FAT,2891790_2894770,baby
*MAN,robot+baby,d,y,FAT,22126060_22127550,baby
*OLN,baby,d,n,MOT,1314760_1319130,baby
*FAN,baby,d,n,MOT,14532730_14535200,baby
*FAN,baby,d,n,MOT,14715050_14716120,baby
*FAN,robot+baby,d,y,MOT,22128770_22130860,baby
*FAN,baby,q,y,MOT,5565610_5566880,baby
*FAN,baby+monitor,d,n,MOT,3347670_3350020,baby+monitor
*MAN,bacon,n,n,MOT,15883520_15886030,bacon
*MAN,bag,d,n,FAT,38596360_38599200,bag
*MAN,bales,d,n,FAT,31290760_31293090,bale
*MAN,bales,d,n,FAT,31303820_31306750,bale
*MAN,balls,d,n,FAT,36963100_36969300,ball
*FAN,balls,s,n,GRM,41053240_41055230,ball
*OLN,bandit,s,n,FAT,21775200_21778480,bandit
*FAN,banjo,s,n,FAT,15103160_15103760,banjo
*MAN,banjo,s,n,FAT,15113490_15114490,banjo
*MAN,banjo,s,n,FAT,15133290_15134290,banjo
*FAN,barn,d,n,MOT,17523300_17524300,barn
*CHN,bath,d,n,MOT,6565740_6566530,bath
*FAN,bath,q,n,MOT,4948310_4951080,bath
*FAN,bath,q,n,MOT,5155500_5156520,bath
*OLN,bath,s,y,MOT,5278490_5280320,bath
*MAN,boat+battery,d,n,FAT,37062350_37063660,battery
*MAN,battery,d,n,UNC,37081360_37086180,battery
*MAN,battery,d,n,UNC,37088050_37092860,battery
*MAN,battery,d,n,UNC,37100850_37101930,battery
*MAN,beach,s,n,FAT,22008100_22009520,beach
*MAN,bees,d,n,ADM,38254230_38259170,bee
*MAN,bees,q,n,ADM,38107150_38109370,bee
*MAN,bees,q,n,ADM,38107150_38109370,bee
*FAN,bees,q,n,FAT,38218700_38219820,bee
*MAN,beer,d,n,FAT,31012300_31013870,beer
*MAN,beer,d,n,FAT,38899870_38903890,beer
*OLF,beer,d,n,FAT,39041670_39042470,beer
*OLN,beer,s,n,FAT,21904850_21906330,beer
*MAN,beer,d,n,MOT,26782640_26783670,beer
*MAN,beer,d,n,NB1,31136410_31138220,beer
*CHN,bird,n,n,FAT,37247930_37248210,bird
*MAN,bird,n,n,FAT,37248210_37250470,bird
*MAN,bird,n,n,FAT,37248210_37250470,bird
*MAN,bird,q,n,FAT,4901530_4903510,bird
*FAN,bird,d,n,MOT,297080_297680,bird
*CXF,birds,q,n,MOT,1345550_1346410,bird
*FAN,bird,s,n,UNC,4350960_4352080,bird
*FAN,birds,s,n,UNC,4495470_4497540,bird
*OLN,bird+feed,n,y,MOT,1231070_1232370,bird+feed
*FAN,blankets,d,n,MOT,1814760_1815830,blanket
*OLN,blanket,d,y,MOT,25654440_25656940,blanket
*CHN,blocks,q,n,MOT,23960950_23961100,block
*OLN,block,d,y,MOT,24024510_24026590,block
*FAN,blocks,n,y,MOT,24056080_24057400,block
*OLN,block,q,y,MOT,24017020_24017910,block
*FAN,monkey+block,q,y,MOT,24035770_24036790,block
*MAN,bones,s,n,FAT,21663070_21664070,bone
*OLN,book,q,y,MOT,33469220_33478030,book
*NOF,book,q,y,MOT,33478030_33479480,book
*OLF,bottle,d,n,FAT,38102690_38103500,bottle
*FAN,bottle,s,n,FTV,39103240_39104240,bottle
*OLN,bottle,d,n,MOT,5629720_5630610,bottle
*OLF,bottle,d,n,MOT,39302060_39306570,bottle
*OLN,water+bowl,d,n,MOT,30951600_30967400,bowl
*MAN,box,d,n,ADM,36848590_36852470,box
*MAN,box,q,n,ADM,36892870_36896390,box
*OLN,boxes,q,y,MOT,39474620_39477150,box
*OLN,bread,s,n,FAT,21860640_21861510,bread
*OLN,bread,d,n,MOT,15997350_16002510,bread
*OLN,bridge,s,n,MOT,13932990_13934380,bridge
*OLN,bridge,s,n,UNC,13742880_13744060,bridge
*MAN,bucket,d,n,FAT,38399480_38401110,bucket
*FAN,buds,d,n,MOT,26297320_26298320,bud
*CHN,burn+pit,i,n,MOT,32946380_32947530,burn+pit
*FAN,buttons,d,n,MOT,26526720_26528150,button
*MAN,button,d,n,NB1,32082480_32086220,button
*FAN,can,q,n,FAT,33018160_33019160,can
*OLN,candles,d,n,MOT,5436730_5445410,candle
*MAN,cars,d,n,ADM,37478470_37479620,car
*MAN,cars,d,n,ADM,37495930_37505650,car
*MAN,car,d,n,FAT,31196610_31197630,car
*OLN,car,d,y,MOT,25132060_25133910,car
*FAN,card,d,n,MOT,20881190_20882490,card
*MAN,cards,d,n,MOT,20882490_20884660,card
*FAN,carhartts,d,n,MOT,17523300_17524300,Carhartt
*MAN,chains,d,n,FAT,32145230_32146800,chain
*OLN,chainsaws,d,n,UNC,37579160_37581990,chainsaw
*MAN,chair,d,y,UNC,4167770_4168780,chair
*OLN,cheeks,i,n,MOT,22558840_22562400,cheek
*OLN,cheeks,i,n,MOT,22558840_22562400,cheek
*OLN,cheeks,q,y,MOT,33417720_33426930,cheek
*SIL,chest,d,n,ADM,36841860_36842660,chest
*MAN,chew,d,n,MOT,32978150_32979410,chew
*MAN,chicken,d,n,FAT,37253530_37255820,chicken
*FAN,church,d,n,COU,41395800_41398440,church
*MAN,cigar,d,n,FAT,37347350_37349790,cigar
*MAN,cigarettes,d,n,FAT,38103500_38104940,cigarette
*OLN,cigs,s,n,FAT,21896990_21901230,cigarette
*FAN,cigarette,d,n,MOT,32868650_32870810,cigarette
*FAN,cigarette,d,n,MOT,33005420_33008910,cigarette
*FAN,cigarettes,i,n,MOT,33014920_33017130,cigarette
*FAN,cigarettes,n,n,MOT,32931320_32932370,cigarette
*MAN,circles,d,n,FAT,38925040_38927580,circle
*OLN,circles,d,n,FAT,38927580_38928510,circle
*MAN,cliff,d,n,FAT,38945730_38947160,cliff
*OLN,clothes,d,n,FAT,22636720_22639020,clothes
*OLN,clothes,d,n,FAT,22640760_22642050,clothes
*OLN,clothes,d,n,FAT,38830230_38831030,clothes
*TVN,clothes,s,n,FAT,21668240_21669240,clothes
*FAN,clothes,d,y,MOT,6576490_6577790,clothes
*MAN,clothes,d,n,UNC,2613280_2616400,clothes
*FAN,coats,d,y,MOT,17741690_17742290,coat
*MAN,coffee,d,n,FAT,15799200_15800630,coffee
*OLN,coffee,q,n,LVF,15793140_15794100,coffee
*OLN,coffee,q,y,LVF,16906190_16912370,coffee
*FAN,coffee,d,n,MOT,1457170_1459110,coffee
*FAN,coffee,s,n,MOT,1643350_1645890,coffee
*FAN,coffee,s,n,MOT,1646700_1649160,coffee
*FAN,coffee,s,n,MOT,1650010_1651450,coffee
*MAN,coffee,n,y,MOT,16346470_16347530,coffee
*CHN,comforters,d,n,MOT,39234530_39235640,comforter
*MAN,Coors+Light,d,n,FAT,38099890_38102690,Coors+Light
*MAN,copper,d,n,ADM,36867620_36872250,copper
*FAN,cord,n,n,FAT,3350820_3353200,cord
*MAN,bungee+cord,d,n,NB1,32141790_32143300,cord
*OLF,corn+beef,q,n,MOT,16927560_16930000,corn+beef
*FAN,Pooh+costume,q,y,MOT,5565610_5566880,costume
*OLN,pool+cue,s,n,FAT,21964350_21968770,cue
*OLN,cupboard,d,n,MOT,3327540_3329990,cupboard
*FAN,dandelions,d,n,MOT,26151540_26152540,dandelion
*OLN,dandelions,n,n,MOT,26162730_26163530,dandelion
*NOF,deck,s,n,MOT,1645890_1646700,deck
*NOF,deck,s,n,MOT,1649160_1650010,deck
*FAN,deck,s,n,MOT,1652060_1653710,deck
*FAN,deck,d,n,UNC,3811890_3812990,deck
*OLN,dell,s,n,MOT,25649360_25650830,dell
*OLN,dell,s,n,MOT,25651870_25653050,dell
*OLN,dell,s,n,MOT,25660370_25663660,dell
*OLN,deserts,s,n,FAT,21788610_21798320,desert
*OLN,diaper,d,n,MOT,20566970_20568750,diaper
*FAN,diaper,d,n,MOT,20614190_20615960,diaper
*MAN,diapers,d,n,MOT,1708540_1709540,diaper
*FAN,diaper,q,n,MOT,10750220_10751430,diaper
*FAN,diaper,q,n,MOT,24827330_24827960,diaper
*MAN,diapers,d,n,NB1,32686200_32688640,diaper
*FAN,dildo,d,y,UNC,2539280_2541560,dildo
*MAN,dildo+toy,q,y,UNC,2552030_2553040,dildo
*MAN,dirt,n,n,ADM,38129610_38132560,dirt
*MAN,dirt,d,n,FAT,32882420_32883490,dirt
*MAN,dirt,d,n,FAT,33008910_33011110,dirt
*MAN,dirt,d,n,FAT,38129610_38132560,dirt
*NOF,dirt,d,n,FAT,38185350_38186510,dirt
*MAN,dirt,d,n,FAT,39111340_39113530,dirt
*FAN,dirt,d,n,MOT,32892740_32896830,dirt
*MAN,dog,d,n,FAT,15214890_15215950,dog
*OLN,dog,d,n,FAT,22747720_22750610,dog
*OLN,dog,q,n,FAT,22751610_22757770,dog
*MAN,dogs,s,n,FAT,21663070_21664070,dog
*MAN,dog,d,y,FAT,31203180_31205080,dog
*MAN,dog,i,y,FAT,31201100_31202100,dog
*OLN,dog,d,n,MOT,5088380_5089260,dog
*OLN,dog,d,n,MOT,30951600_30967400,dog
*OLN,dog,d,y,MOT,496380_497790,dog
*FAN,dog,d,y,MOT,10734140_10735140,dog
*FAN,dog,d,y,MOT,10735940_10738110,dog
*FAN,dog,d,y,MOT,10738110_10738860,dog
*FAN,dog,d,y,MOT,10741200_10742220,dog
*FAN,doggy,d,y,MOT,10782740_10785610,dog
*OLN,dog,i,y,MOT,30949020_30950600,dog
*FAN,dog,q,y,MOT,20860470_20861470,dog
*FAN,dog,d,n,NB1,31210690_31216620,dog
*MAN,doggy,n,n,UNC,3890540_3891510,dog
*FAN,doggy,n,n,UNC,3892400_3893400,dog
*MAN,doggy,n,n,UNC,3894220_3895220,dog
*MAN,doggy,q,n,UNC,3888720_3889730,dog
*FAN,dog,s,n,UNC,4501420_4502650,dog
*OLN,door,s,n,FAT,21973610_21978360,door
*FAN,door,d,n,MOT,26808950_26810580,door
*FAN,door,d,n,MOT,31062560_31067030,door
*CHN,door,d,n,MOT,31067700_31070280,door
*FAN,doors,d,n,MOT,26826210_26830800,door
*CHN,door,i,n,MOT,31067700_31070280,door
*FAN,door,q,n,MOT,31071080_31074070,door
*MAN,door,d,n,UNC,3818080_3822550,door
*MAN,door,d,n,UNC,3818080_3822550,door
*FAN,dryer,d,n,MOT,39225270_39227830,dryer
*CHN,ear,d,n,MOT,10338570_10342240,ear
*OLN,ear,d,n,MOT,10343640_10347930,ear
*FAN,ears,r,y,MOT,33516600_33518850,ear
*FAN,earth,s,n,MTV,10626280_10628200,earth
*OLN,eggs,q,n,LVF,15997350_16002510,egg
*OLN,eggs,n,n,MOT,15882720_15883520,egg
*FAN,eggs,q,n,MOT,15995980_15997350,egg
*MAN,electric+fencing,d,n,UNC,4814160_4815480,electric+fencing
*MAN,electrician,d,n,ADM,36876930_36884110,electrician
*MAN,electrician,d,n,ADM,37031800_37037110,electrician
*CXN,elephants,d,y,MOT,24065380_24067810,elephant
*OLN,elephants,i,y,MOT,24067810_24068760,elephant
*FAN,eyes,r,y,MOT,33524260_33525500,eye
*CHN,farmer,s,n,MOT,25648610_25648760,farmer
*FAN,farmer,s,n,MOT,25650830_25651870,farmer
*OLN,farmer,s,n,MOT,25658870_25659700,farmer
*MAN,feathers,d,n,FAT,37263570_37264590,feather
*MAN,finger,d,n,ADM,37008060_37009110,finger
*FAN,finger,i,n,MOT,32892740_32896830,finger
*FAN,fingers,r,y,MOT,33510890_33511500,finger
*OLN,fireplace,d,n,MOT,4544140_4546960,fireplace
*MAN,fist,q,n,UNC,3312260_3314590,fist
*MAN,flame,d,n,FAT,37282360_37284500,flame
*MAN,flip+flops,d,n,FAT,26099510_26102910,flip+flop
*CXN,flower,d,y,MOT,1509310_1512200,flower
*FAN,feet,s,n,MOT,10409650_10413290,foot
*OLN,feet,s,n,MTV,10628200_10629250,foot
*FAN,forest,s,n,MTV,10609710_10612090,forest
*FAN,four+wheeler,d,n,MOT,26505880_26508130,four+wheeler
*FAF,foxes,d,y,MOT,5730690_5732050,fox
*FAN,freezer,d,n,MOT,26772040_26773400,freezer
*MAN,freezer+fridge,d,n,MOT,26773400_26774750,freezer+fridge
*FAN,fridge,d,n,MOT,26778280_26779550,fridge
*FAN,fridge,d,n,MOT,26783670_26786410,fridge
*OLF,fridge,n,n,MOT,26779550_26782640,fridge
*FAN,gas,d,n,MOT,26504280_26504880,gas
*FAN,gas,d,n,MOT,26505880_26508130,gas
*FAN,gate,d,n,MOT,4542200_4544140,gate
*FAN,gates,d,y,MOT,4534210_4535380,gate
*FAN,Gatorade,d,n,MOT,25881920_25882920,Gatorade
*OLN,gin,s,n,FAT,22009520_22013450,gin
*MAN,glasses,i,y,NB1,32091280_32093070,glasses
*MAN,gravel,d,n,NB1,33131450_33143330,gravel
*MAN,gravel,d,n,NB1,33131450_33143330,gravel
*MAN,gravy,n,n,MOT,15883520_15886030,gravy
*FAN,guitar,d,n,MOT,3336170_3339670,guitar
*FAN,guitar,d,n,MOT,4179710_4181540,guitar
*OLN,guitar,n,y,MOT,24738440_24739770,guitar
*FAN,guitar,q,y,MOT,24737430_24738440,guitar
*MAN,gun,s,n,FAT,21784120_21785340,gun
*MAN,gutters,d,n,ADM,37214860_37217870,gutter
*MAN,gutters,q,n,ADM,37214860_37217870,gutter
*MAN,hair,d,n,FAT,37282360_37284500,hair
*MAN,hairs,d,y,FAT,3405610_3406820,hair
*MAN,hair,n,y,FAT,32753040_32754040,hair
*FAN,hair,r,y,MOT,33522950_33524260,hair
*MAN,hair,d,n,UNC,2819450_2820450,hair
*MAN,armpit+hair,d,y,UNC,3844530_3845920,hair
*FAN,hammer,s,n,MOT,10388540_10394360,hammer
*MAN,hammer,s,n,TVN,10554360_10555610,hammer
*FAF,hammer,s,n,TVN,11259560_11261630,hammer
*MAN,hand,d,n,ADM,37031800_37037110,hand
*MAN,hand,s,n,FAT,21978360_21979440,hand
*MAN,hands,d,y,FAT,20971390_20972470,hand
*OLN,hand,d,n,MOT,16035520_16042380,hand
*FAN,hands,d,n,MOT,1705480_1708540,hand
*MAN,hands,d,n,MOT,20969340_20970340,hand
*OLN,hands,d,n,MOT,23728230_23729070,hand
*FAN,hash,q,n,LVF,16010100_16011800,hash
*OLN,hash,q,n,MOT,15997350_16002510,hash
*OLN,hat,d,y,MOT,32742970_32744820,hat
*MAN,hat,d,y,NB1,32623970_32625210,hat
*CXN,hay,d,y,MOT,1266150_1268570,hay
*OLN,head,s,n,FAT,21636100_21637280,head
*OLN,head,s,n,FAT,21694260_21695780,head
*OLN,head,s,n,FAT,21714440_21715770,head
*FAN,head,d,n,MOT,1834830_1837140,head
*MAN,head,d,n,NB1,31973010_31975230,head
*MAN,head,d,n,NB1,31976030_31977590,head
*MAN,hives,d,n,ADM,38225250_38228240,hive
*MAN,hives,d,n,ADM,38254230_38259170,hive
*MAN,hives,q,n,ADM,38250600_38252310,hive
*MAN,home+fries,n,n,MOT,15883520_15886030,home+fries
*MAN,honey,d,n,FAT,38233490_38234490,honey
*MAN,honey,d,n,FAT,38237040_38239090,honey
*MAN,honeybees,d,n,ADM,38230750_38232140,honeybee
*MAN,horse,d,n,FAT,38891430_38894090,horse
*FAN,horse,d,n,FAT,38912640_38913240,horse
*MAN,horse,d,n,FAT,38920010_38924070,horse
*MAN,horse,d,n,FAT,38941440_38944930,horse
*MAN,horses,d,n,FAT,38592760_38593910,horse
*OLN,horse,s,n,FAT,21779480_21780450,horse
*CXN,horses,q,n,MOT,542250_544130,horse
*FAN,horses,d,y,MOT,1044660_1046150,horse
*CXN,horses,d,y,MOT,1337630_1338470,horse
*FAN,horsey,d,y,MOT,1391530_1392800,horse
*CXN,horsies,q,y,MOT,1306510_1308910,horse
*MAN,hospital,d,n,FAT,38820960_38822580,hospital
*OLN,hot+sauce,q,n,LVF,16427570_16428390,hot+sauce
*OLN,hotel,s,n,FAT,22009520_22013450,hotel
*MAN,house,d,n,ADM,37185330_37187660,house
*MAN,house,d,n,ADM,38495570_38496870,house
*FAN,house,d,n,FAT,38232140_38233490,house
*MAN,house,d,n,FAT,38696740_38703310,house
*MAN,house,d,n,FAT,38824320_38827760,house
*MAN,house,i,n,FAT,38229070_38230070,house
*FAN,house,d,n,MOT,26810580_26811820,house
*FAN,house,d,n,MOT,33005420_33008910,house
*FAN,house,d,n,MOT,33064530_33065660,house
*OLN,house,q,n,MOT,16560270_16561070,house
