tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,alligators,q,y,MOT,14724930_14726200,alligator
*OLN,arm,d,y,MOT,1512040_1514100,arm
*FAN,arm,d,y,MOT,4084150_4088130,arm
*FAN,arm,d,y,MOT,9207300_9208400,arm
*FAN,arm,d,y,MOT,9218340_9219360,arm
*OLN,arm,d,y,MF2,45166980_45167780,arm
*OLN,babies,d,y,MF2,45178250_45179340,baby
*FAN,baby,n,y,MOT,29162560_29163560,baby
*OLN,baby,i,y,FF4,44405260_44432190,baby
*MAN,baby,d,y,MFR,44873570_44874570,baby
*FAN,baby,d,y,MF2,45093500_45094620,baby
*MAN,baby,d,y,MF2,45156750_45158220,baby
*OLN,baby,i,y,MOT,47016410_47039580,baby
*OLN,baby,d,y,MOT,47274430_47360850,baby
*CHN,baby,d,y,FF5,49552510_49553290,baby
*FAN,baby,d,y,MOT,49688190_49689220,baby
*FAN,baby,d,n,MOT,49696210_49697220,baby
*CXN,ball,q,y,MOT,10543500_10544450,ball
*CXN,ball,q,y,MOT,10545460_10546280,ball
*FAN,ball,q,y,MOT,30111860_30113500,ball
*OLN,ball,q,y,MOT,30571920_30572750,ball
*FAN,Band+Aid,d,y,MOT,9175910_9177370,Band+Aid
*FAN,base,d,n,MOT,20648170_20654290,NA
*OLF,basket,d,n,FFR,22181160_22192490,basket
*FAN,bath+mat,d,n,FFR,22454600_22458270,bath+mat
*FAN,bath+mat,n,n,FFR,22489350_22490730,bath+mat
*FAN,bath+mat,n,n,MOT,22489350_22490730,bath+mat
*OLF,bath+towels,d,n,FFR,22343940_22345550,towel
*CHN,bed,r,y,MOT,13564120_13564720,bed
*FAN,bed,d,y,MOT,50821590_50823490,bed
*FAN,bed,q,y,MOT,50824370_50826770,bed
*OLN,bib,q,y,MOT,14726200_14727350,bib
*FAN,bib,d,y,MOT,34040340_34042080,bib
*OLN,binky,q,y,FF5,47040630_47183150,binky
*FAN,blanket,d,y,MOT,42514700_42515700,blanket
*TVN,boogie,n,y,MOT,972770_983000,NA
*TVN,boogie,n,y,MOT,972770_983000,NA
*TVN,boogies,d,y,MOT,972770_983000,NA
*OLN,boogies,i,y,MOT,25596090_25596890,NA
*OLN,boogies,d,y,MOT,25597960_25601560,NA
*FAN,boogies,n,y,MOT,25620760_25621760,NA
*FAN,boogies,d,y,MOT,25620760_25621760,NA
*OLN,book,d,y,MOT,49056010_49194570,book
*MAN,bow,q,n,FAT,42404450_42405450,bow
*FAN,bowel+movement,d,n,MOT,29684250_29686120,NA
*OLN,bowl,d,y,MOT,34767840_34769080,bowl
*FAN,bowl,d,y,MOT,34769080_34771490,bowl
*FAN,brush,q,y,MOT,10122590_10123590,brush
*OLN,brush,d,y,MOT,10138440_10139240,brush
*FAN,brush,q,y,MOT,10220380_10221510,brush
*MAN,burp+cloths,q,n,FAT,42425430_42426430,burp+cloth
*FAN,butt,d,y,MOT,20439030_20440870,NA
*OLN,cake,d,n,MF2,45000510_45001310,cake
*FAF,candle,d,n,FFR,22776890_22778020,candle
*FAN,car,d,n,MOT,20648170_20654290,car
*FAN,car,d,n,MOT,20648170_20654290,car
*FAN,car,n,n,FFR,21221830_21224120,car
*FAN,car,d,n,FFR,21221830_21224120,car
