tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,animals,d,n,MOT,44066370_44070520,NA
*OLN,apples,d,n,FFR,32845760_32846950,apple
*NOF,arm,d,y,FAT,50699570_50700470,arm
*FAN,arms,d,y,MOT,9800290_9801360,arm
*FAN,arms,d,n,MOT,48073410_48074810,arm
*FAN,avocado,d,n,MOT,33960050_33961640,avocado
*OLN,avocado,d,n,MOT,33961640_33964070,avocado
*FAN,avocado,n,n,MOT,51014850_51016030,avocado
*FAN,axe,d,n,MOT,34995100_34996560,axe
*TVN,babies,d,n,FFR,33125290_33126360,baby
*OLN,baby,d,n,MOT,39520130_39522800,baby
*FAN,baby,d,n,FFR,47202940_47205490,baby
*FAN,bacon,q,n,MOT,43413210_43415190,bacon
*FAN,bacon,q,y,MOT,45842670_45845170,bacon
*FAN,bacon,d,y,MOT,47407010_47408850,bacon
*MAN,bacon,d,y,FAT,47408850_47413290,bacon
*OLN,ball,q,y,MOT,8017060_8018680,ball
*CXN,ball,q,y,MOT,8022840_8024000,ball
*MAN,balloon,r,y,MOT,12231180_12232490,balloon
*FAN,balloon,d,y,MOT,12232490_12235530,balloon
*FAN,balloon,r,y,MOT,12285470_12288110,balloon
*FAN,balls,d,y,MOT,8622960_8624570,ball
*FAN,balls,d,y,MOT,38801040_38802200,ball
*FAN,balls,d,n,MOT,44243560_44246170,ball
*FAN,banana,q,y,MOT,8893090_8894620,banana
*FAN,banana,d,y,MOT,8906050_8907080,banana
*FAN,banana,n,y,MOT,8909320_8910370,banana
*MAN,banana,d,n,MOT,33983900_33985090,banana
*FAN,bananas,q,y,MOT,9247520_9249250,banana
*MAN,bananas,d,n,FFR,32846950_32847950,banana
*FAN,basket,d,n,MOT,37543380_37550130,basket
*FAN,bassinet,d,n,MOT,37934010_37938060,bassinet
*FAN,bathing+suits,d,n,MFR,46118750_46120160,bathing+suit
*FAN,bears,r,y,MOT,12246590_12251370,bear
*FAN,bears,r,y,MOT,12288110_12289660,bear
*FAN,bed,d,n,MOT,44066370_44070520,bed
*FAN,bed,q,n,MOT,47983320_47984710,bed
*FAN,bed,q,n,MOT,50782170_50783170,bed
*CXN,bed,q,n,MOT,50796580_50797720,bed
*FAN,beets,n,n,MOT,34027660_34028260,beets
*FAN,beets,n,n,MOT,34029540_34034740,beets
*MAN,beets,d,n,MOT,34061160_34063780,beets
*FAN,beets,d,n,MOT,34085200_34086390,beets
*FAN,beets,d,n,MOT,34117690_34120880,beets
*FAN,beets,d,n,MOT,34130450_34131520,beets
*FAN,beets,d,n,MOT,34138340_34139720,beets
*FAN,beets,d,n,MOT,34143260_34146290,beets
*FAN,beets,q,n,MOT,34150900_34152940,beets
*MAN,beets,d,n,MOT,51032390_51033940,beets
*MAN,beets,d,n,MOT,51035740_51038570,beets
*FAN,blanket,q,y,MOT,42945840_42947160,blanket
*FAN,blanket,n,y,MOT,51551360_51552030,blanket
*FAN,blankets,q,n,MOT,44059320_44060730,blanket
*MAN,blankets,n,n,MOT,44070520_44071520,blanket
*FAN,boat,d,n,FFR,46105380_46106890,boat
*MAN,boat,d,n,FAT,47083680_47084890,boat
*OLN,book,d,y,MOT,8020230_8021030,book
*FAN,book,d,y,MOT,37451290_37454160,book
*FAN,book,d,n,MOT,37501710_37502710,book
*CHN,book,q,n,MOT,37648830_37649510,book
*FAN,book,d,n,MOT,44088910_44089910,book
*FAF,books,q,y,MOT,10283880_10285010,book
*MAN,bottle,d,n,MOT,33018020_33019100,bottle
*FAN,bottle,q,y,MOT,33531960_33534050,bottle
*FAN,bottles,d,n,MOT,33850790_33852840,bottle
*MAN,bowl,r,y,MOT,12256510_12258710,bowl
*FAN,bowl,d,y,MOT,12260510_12262920,bowl
*FAN,box,d,n,MOT,33274320_33277710,box
*MAN,bread,d,y,MFR,45881670_45882670,bread
*FAN,broccoli,n,n,MOT,34024880_34026680,broccoli
*MAN,broccoli,d,n,MOT,34061160_34063780,broccoli
*FAN,broccoli,n,n,MOT,51017630_51019750,broccoli
*FAN,broccoli,n,n,MOT,51017630_51019750,broccoli
*FAN,brownie,d,y,MOT,49416550_49418680,brownie
*FAN,brush,r,y,MOT,12254760_12256510,brush
*FAN,brush,d,y,MOT,12260510_12262920,brush
*FAN,brush,r,y,MOT,12306200_12307530,brush
*CXN,bucket,q,y,MOT,21144210_21145020,bucket
*OLN,bucket,q,n,MOT,33249590_33250390,bucket
*TVF,bucket,d,n,FFR,33766590_33768320,bucket
*FAN,burgers,d,y,FFR,45903120_45904160,burger
*FAN,burgers,d,y,MOT,45938040_45939060,burger
*FAN,butternut+squash,d,n,MOT,34042920_34047350,squash
*MAN,butternut+squash,d,n,MOT,34055960_34058600,squash
*FAN,calendar,d,n,FFR,34462910_34466650,calendar
*FAN,calendar,d,n,FFR,34473160_34474570,calendar
*FAN,calendar,d,n,MOT,34490220_34496790,calendar
*FAN,car,d,y,MOT,32473360_32474910,car
*FAN,car+key,d,y,MOT,32693870_32697360,key
*FAN,car+seat,d,n,MOT,34392260_34397380,car+seat
*OLN,car+seat,q,n,MOT,51482460_51483260,car+seat
*FAN,car+seat,d,n,MOT,51493010_51494430,car+seat
*FAN,car+seat,d,n,MOT,51500380_51501470,car+seat
*FAN,car+seat,d,n,MOT,51512300_51513740,car+seat
*MAN,car+seat,d,n,MOT,51515730_51517180,car+seat
*OLN,carrots,n,n,MOT,33976650_33978840,carrot
*FAN,cats,n,n,MOT,36319030_36320030,cat
*FAN,cauliflower,q,n,MOT,23459780_23462550,cauliflower
*FAN,cauliflower,n,n,MOT,23465830_23466850,cauliflower
*FAN,cauliflower,d,n,MOT,23497410_23500730,cauliflower
*FAN,cauliflower,d,n,MOT,34002680_34003700,cauliflower
*FAN,cauliflower,d,n,MOT,34024880_34026680,cauliflower
*OLN,cauliflower,n,y,MOT,39390230_39391300,cauliflower
*FAN,cell+phone,q,y,MOT,33655040_33657360,phone
*OLN,cereal,n,y,MOT,39390230_39391300,cereal
*MAN,cereal,q,n,FAT,47792810_47793830,cereal
*MAN,cereal,d,n,MOT,51070480_51071480,cereal
*FAN,chair,d,n,MOT,37138030_37139770,chair
*FAN,chairs,r,y,MOT,12246590_12251370,chair
*FAN,chairs,r,y,MOT,12289660_12291220,chair
*MAN,changing+table,d,n,MOT,37096210_37097210,table
*MAN,changing+table,d,n,MOT,37938060_37939140,table
*FAN,changing+table,d,n,FFR,44949880_44952000,table
*FAN,changing+table,d,n,MOT,50864730_50865920,table
*MAN,cheeks,q,n,MOT,38760380_38762110,cheek
*FAN,chew+toy,q,y,MOT,43107180_43110500,NA
*SIL,chew+toy,d,n,MOT,44240150_44241090,NA
*FAN,chicken,d,n,MOT,34201160_34204660,chicken
*MAN,chicken,d,n,MOT,34207810_34208810,chicken
*FAN,chicken,d,n,MOT,34210390_34218330,chicken
*FAN,chin,q,y,MOT,36979950_36983360,chin
*FAN,chocolate+chip+cookie,d,n,MOT,47440950_47444760,cookie
