tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*CXN,animal+crackers,d,n,BRO,2545120_2545920,animal+cracker
*OLN,animal+crackers,d,n,FAT,2537590_2543350,animal+cracker
*CXN,apples,d,n,BRO,6385950_6388450,apple
*OLN,apple,d,n,MOT,6384380_6385350,apple
*MAN,apple+cider,d,n,FAT,40033040_40034040,apple+cider
*MAN,apple+cider,d,n,FAT,40182950_40186600,apple+cider
*OLN,apple+cider,d,n,MOT,13341260_13347170,apple+cider
*CHN,arm,i,n,MOT,3065450_3066680,arm
*CXN,baby,n,n,BRO,14817410_14818600,baby
*MAN,baby,d,n,FAT,28318230_28319590,baby
*FAN,baby,d,n,SIS,9675050_9676050,baby
*CHN,baby,q,n,SIS,9657670_9659090,baby
*CHN,baby,q,n,SIS,9663360_9664820,baby
*OLN,bag,q,n,FAT,31450310_31457750,bag
*FAN,bag,d,n,MOT,10193620_10196590,bag
*FAN,bag,d,n,MOT,15890350_15893230,bag
*FAN,bag,d,n,MOT,15898780_15900320,bag
*FAN,Wegmans+bag,d,n,MOT,10193620_10196590,bag
*FAN,plastic+bag,i,n,MOT,10176720_10179750,bag
*FAN,rice+bag,i,n,MOT,6149620_6150620,bag
*FAN,rice+bag,q,n,MOT,6147820_6148820,bag
*FAN,book+bag,q,n,SIS,40863810_40864810,bag
*CXN,bananas,q,n,BRO,5840620_5841520,banana
*OLN,bath,d,n,BRO,41697370_41698240,bath
*FAN,bath,d,n,FAT,41379940_41380940,bath
*MAN,bath,q,n,FAT,41583200_41585230,bath
*CHN,bath,d,n,SIS,10215080_10216390,bath
*CXN,bath,d,n,SIS,41604220_41605020,bath
*CXN,bath,d,n,SIS,42984020_42986110,bath
*CXN,bath,d,n,SIS,42987390_42988960,bath
*CHN,bath,d,n,SIS,42997180_42997750,bath
*CXN,bath,q,n,SIS,42990860_42992840,bath
*MAN,bathing+suit,d,n,MOT,65420_66420,bathing+suit
*CXN,bathing+suit,q,n,SIS,62330_63130,bathing+suit
*MAN,bed,d,n,FAT,39290480_39295460,bed
*MAN,bed,d,n,FAT,39300440_39302680,bed
*MAN,bed,d,n,FAT,39450780_39453440,bed
*TVF,bed,d,n,FAT,41757310_41758310,bed
*MAN,bed,d,n,FAT,41760980_41762260,bed
*FAN,bed,d,n,MOT,504060_505540,bed
*FAN,bed,d,n,MOT,41344230_41345230,bed
*OLN,bed,i,n,MOT,41679950_41684290,bed
*OLN,bed,i,n,MOT,41679950_41684290,bed
*FAN,bib,d,y,MOT,23790_25160,bib
*OLN,bib,d,y,SIS,661520_663820,bib
*TVN,bike,q,n,BRO,15866320_15868440,bike
*CXN,bike,q,n,BRO,15876760_15878530,bike
*FAN,bike,d,n,MOT,15870660_15873760,bike
*CHN,bird,d,y,FAT,42158190_42158790,bird
*MAN,bird,d,y,FAT,42162880_42163930,bird
*OLN,bird,n,y,FAT,42155900_42158190,bird
*MAN,blade,d,n,FAT,1715420_1716430,blade
*MAN,blades,q,n,FAT,35108230_35109250,blade
*OLN,blade,d,n,MOT,1705150_1706330,blade
*OLN,blades,i,n,MOT,1699290_1702200,blade
*FAN,blades,n,n,MOT,1446150_1447640,blade
*CXN,blindfold,d,n,BRO,1148160_1148780,blindfold
*MAN,block,i,n,FAT,28351600_28354410,block
*OLN,block,i,n,MOT,28379840_28381220,block
*MAN,boat,d,y,FAT,33767320_33768360,boat
*MAN,boat,d,y,FAT,33771850_33772940,boat
*OLN,boat,n,y,FAT,33755800_33756610,boat
*MAN,bookshelf,d,n,FAT,41511920_41512920,bookshelf
*FAN,boot,d,n,MOT,37176190_37178290,boot
*FAN,boot,d,n,MOT,37181310_37182670,boot
*OLN,boots,d,n,MOT,37108140_37108940,boot
*FAN,boots,d,n,MOT,37162690_37165100,boot
*FAN,boots,d,n,MOT,37162690_37165100,boot
*FAN,boots,d,n,MOT,37168610_37171570,boot
*FAN,boots,d,n,MOT,37172370_37173970,boot
*FAN,boots,q,n,MOT,37100320_37101420,boot
*FAN,boots,n,n,SIS,37168610_37171570,boot
*CXN,boots,q,n,SIS,37166660_37168610,boot
*CXN,bottle,d,n,BRO,866190_866990,bottle
*FAN,bottle,i,n,BRO,869670_870790,bottle
*CXN,bottle,q,n,BRO,859810_861230,bottle
