tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,airplane,d,n,MOT,20273800_20276190,airplane
*OLN,arms,r,n,FAT,46441200_46444800,arm
*NOF,arms,s,n,TVN,7482310_7494460,arm
*CXF,arms,s,n,TVN,7545000_7545800,arm
*FAN,baba,q,n,MOT,38656160_38657220,baba
*OLN,baba,q,n,SI1,15081310_15082140,baba
*FAN,babas,i,y,SI1,7841480_7842740,baba
*OLN,babies,d,n,MOT,40625480_40648110,baby
*CXN,babies,d,y,SI1,8125830_8126700,baby
*MAN,baby,d,n,FAT,40624480_40625480,baby
*OLN,baby,i,y,GRM,39301810_39330040,baby
*OLN,baby,d,n,MOT,40575840_40586000,baby
*FAN,baby,q,y,MOT,43831380_43833180,baby
*MAN,baby+wookie,n,n,FAT,11153200_11154200,wookie
*MAN,back,d,n,FAT,45027250_45030110,back
*OLN,backs,d,n,FAT,40902110_40903580,back
*MAN,bag,d,y,FAT,34387200_34390340,bag
*FAN,bag,n,y,FAT,23161570_23162570,bag
*FAN,bag,n,n,MOT,35737800_35738570,bag
*CHN,bag,q,n,MOT,35735590_35736580,bag
*OLN,bag,i,y,MOT,34403200_34407290,bag
*FAN,baggy,q,n,MOT,34347800_34350490,bag
*MAN,ball+pit,d,n,FAT,41468610_41469710,ball+pit
*MAN,ball+pit,d,n,FAT,45048930_45054500,ball+pit
*OLN,ball+pit,d,n,FAT,45073760_45074560,ball+pit
*FAN,balls,d,n,AUN,41473550_41475780,ball
*MAN,bed,q,n,FAT,46481030_46482050,bed
*SIL,bed,i,y,FAT,22321370_22322170,bed
*OLF,bed,d,n,MOT,47738210_47740120,bed
*FAN,bed,d,y,MOT,22331070_22332210,bed
*OLF,bed,d,y,MOT,22332210_22334030,bed
*FAN,bed,d,y,MOT,23062140_23063210,bed
*OLN,bed,i,y,MOT,23060190_23062140,bed
*MAN,beds,d,n,FAT,997810_999830,bed
*TVN,beds,d,n,FAT,1000830_1003420,bed
*TVN,beds,d,n,FAT,1005710_1006970,bed
*MAN,bell,d,n,FAT,34598130_34599190,bell
*FAN,bell,s,n,FAT,34581000_34585610,bell
*FAN,bell,s,n,FAT,34581000_34585610,bell
*CHN,bell,s,n,FAT,34588290_34589800,bell
*OLN,bike,q,n,BR1,20354740_20356090,bike
*FAN,blanket,d,n,MOT,923260_924260,blanket
*OLN,blanket,d,n,MOT,41521510_41551910,blanket
*FAN,boat,d,n,FAT,46022060_46023140,boat
*MAN,boat,q,n,FAT,46001910_46006290,boat
*MAN,boat,q,n,FAT,46008770_46011400,boat
*MAN,books,d,n,FAT,45632340_45635790,book
*OLN,bottle,q,n,FAT,9461990_9462810,bottle
*OLN,bottle,d,y,FAT,9716560_9718210,bottle
*MAN,bottle,d,y,FAT,44214510_44215110,bottle
*FAN,bottle,d,y,MOT,313950_314950,bottle
*FAN,bottle,q,y,MOT,675840_676840,bottle
*FAN,bottle,q,y,MOT,677860_678860,bottle
*FAN,bottle,q,y,MOT,19461890_19464700,bottle
*FAN,bottle,n,n,SI1,15082140_15082740,bottle
*OLN,bottle,n,n,SI2,38766650_38813140,bottle
*MAN,bounce+house,d,n,FAT,44983770_44986840,house
*MAN,brain,d,n,FAT,45141850_45143250,brain
*MAN,bull,q,n,FAT,45015520_45016540,bull
*OLN,bumblebee,d,n,FAT,9903940_9905430,bumblebee
*MAN,camera,d,n,FAT,40616090_40617950,camera
*MAN,cameras,d,n,FAT,40618550_40619570,camera
*MAN,cameras,d,n,FAT,40808020_40809120,camera
*MAN,candles,q,n,FAT,45582840_45587040,candle
