tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,Alice+In+Wonderland,q,y,MOT,14686790_14689330,NA
*FAN,Alice+In+Wonderland,n,y,MOT,15163180_15165310,NA
*OLN,applesauce,d,n,FFR,38347710_38351120,applesauce
*FAN,applesauce,d,n,FFR,39920310_39921320,applesauce
*FAN,b,d,y,MOT,20695860_20697370,b
*FAN,baba,q,y,MOT,14671660_14673050,baba
*FAN,baby,d,n,FFR,35211320_35212320,baby
*FAN,back,d,y,MOT,484280_486930,back
*FAN,back,n,n,MOT,2003360_2004800,back
*CXN,ball,d,n,BRO,117600_118470,ball
*FAN,ball,d,y,MOT,271350_273290,ball
*FAN,ball,i,y,MOT,280930_282000,ball
*CXN,ball,d,y,MOT,2893530_2894440,ball
*CXN,ball,q,n,MOT,14617480_14618280,ball
*FAN,ball,q,y,MOT,14749820_14751820,ball
*CXN,ball,d,n,BRO,16546650_16547970,ball
*CHN,ball,q,n,BRO,16551400_16552000,ball
*CXN,ball,q,n,MOT,16552000_16553000,ball
*CXN,ball,d,y,BRO,17029390_17031130,ball
*CXN,ball,d,n,BRO,17143020_17144770,ball
*CXN,ball,d,n,BRO,17147440_17148720,ball
*FAN,ball,d,y,MOT,17497320_17499100,ball
*OLN,ball,d,y,MOT,17673220_17674020,ball
*CXN,ball,i,y,BRO,17751040_17752850,ball
*FAN,ball,q,y,MOT,17848810_17851170,ball
*CXN,ball,q,y,MOT,18186150_18188400,ball
*FAN,ball,q,y,MOT,18235830_18237600,ball
*CXN,ball,n,y,MOT,18502140_18503430,ball
*FAN,ball,n,y,MOT,18503430_18505010,ball
*FAN,ball,d,n,MOT,39352880_39354410,ball
*CHN,ball,n,n,MOT,39354410_39355010,ball
*CHN,ball,d,n,MOT,39368760_39369460,ball
*FAN,ball,i,n,MOT,39373860_39375230,ball
*FAN,balls,d,n,MOT,276190_278250,ball
*FAN,balls,d,y,MOT,17677010_17678640,ball
*FAN,banana,s,n,MOT,3030150_3032390,banana
*OLN,banana,s,n,MOT,3032990_3034230,banana
*FAN,banana,d,n,MOT,19579310_19581230,banana
*FAN,bappy,q,n,MOT,1699100_1700160,boppy
*OLN,bath,d,n,MOT,35841670_35842490,bath
*MAN,batteries,d,n,FAT,31836230_31837550,battery
*MAN,battery,d,n,FAT,31838540_31839540,battery
*MAN,battery,d,n,FAT,31842310_31843430,battery
*FAN,battery,d,n,FAT,31844510_31845510,battery
*MAN,battery,d,n,FAT,31847730_31850020,battery
*MAN,battery,d,n,FAT,31847730_31850020,battery
*FAN,battery,d,n,FAT,31884260_31885280,battery
*FAN,bear,q,n,MOT,14164730_14165730,bear
*FAN,bear,n,n,MOT,14174580_14175590,bear
*NOF,bed,d,n,MOT,17832860_17834040,bed
*OLN,bed,d,n,BRO,35832110_35832970,bed
*FAN,bed,d,n,MOT,35838430_35841670,bed
*FAN,bed,s,n,MOT,37508970_37511550,bed
*FAN,bed,s,n,MOT,37508970_37511550,bed
*FAN,bed,d,n,MOT,38913630_38916170,bed
*MAF,bed,q,n,FAT,41276440_41277440,bed
*FAN,belly,d,n,MOT,13933100_13938100,belly
*FAN,belly,d,n,BRO,17831720_17832860,belly
*MAN,bike,d,n,MOT,34358420_34359440,bike
*FAN,bike,d,n,MOT,34361330_34363330,bike
*FAN,bike,i,y,MOT,34459700_34460790,bike
*FAN,binky,d,n,MOT,3513360_3514430,binky
*CHN,binky,n,y,MOT,14654320_14655230,binky
*FAN,binky,d,y,MOT,19547200_19548460,binky
*MAN,binky,n,y,MOT,19591540_19592140,binky
*OLN,binky,q,n,MOT,21850280_21855970,binky
*FAN,binky,q,n,MOT,21857220_21858220,binky
*FAN,binky,d,y,MOT,31991800_31997220,binky
*FAN,binky,d,y,FFR,32005440_32006990,binky
*FAN,binky,d,y,MOT,33163240_33165240,binky
*CXN,binky,q,n,MOT,41683400_41684210,binky
*FAN,binky,q,n,MOT,41689140_41690900,binky
*CXN,binky,q,n,BRO,41700010_41702830,binky
*FAN,bird,d,y,FFR,35982830_35986910,bird
*FAN,bird,d,y,FFR,35982830_35986910,bird
*FAN,bird,n,y,MOT,35982830_35986910,bird
*FAN,bird,n,y,MOT,35982830_35986910,bird
*FAN,bird,n,y,MOT,35982830_35986910,bird
*FAN,bird,d,y,MOT,35982830_35986910,bird
*OLN,bird,s,n,TOY,38322220_38323980,bird
*CHN,bird,s,n,TOY,38682990_38683770,bird
*FAN,blanky,i,n,MOT,19388520_19389320,blanky
*OLN,blue+cheese,q,n,MOT,39818320_39819730,cheese
*FAN,blue+cheese,q,y,MOT,39863650_39865030,cheese
*FAN,boat,d,y,MOT,20560760_20561760,boat
*CHN,boat,d,y,MOT,20562500_20563300,boat
*NON,boat,n,y,MOT,20623730_20625770,boat
*FAN,book,i,y,MOT,38479600_38482070,book
*OLN,books,d,y,MOT,35651540_35654330,book
*OLN,books,d,n,MOT,39421920_39424290,book
*OLN,booster+seat,d,n,MOT,39488230_39490560,booster+seat
*FAN,boots,d,n,MOT,35336480_35338250,boot
*OLN,bottle,d,y,MOT,14611090_14612130,bottle
*FAN,bottle,d,y,MOT,14979050_14983000,bottle
*FAN,bottle,i,y,MOT,15326640_15328410,bottle
*FAN,bottle,d,y,MOT,15800870_15803170,bottle
*FAN,bottle,d,n,MOT,31494420_31496210,bottle
*FAN,bottle,d,n,MOT,31535170_31536310,bottle
*FAN,bottle,q,y,FFR,35063610_35064760,bottle
*OLN,bottle,d,n,FAT,41277440_41281920,bottle
*OLN,bottle,d,n,MOT,41355150_41360750,bottle
*OLF,bottle,d,y,MOT,41599940_41601210,bottle
*OLN,bottles,d,n,MOT,39296710_39297680,bottle
*FAN,boy,d,n,MOT,20695860_20697370,NA
*FAN,bubble,i,y,FFR,33974570_33977460,bubble
*FAN,bubble+gun,d,n,MOT,33793640_33794690,bubble+gun
*OLN,bubble+gun,n,n,BRO,33796500_33800140,bubble+gun
*FAN,bubbles,d,y,MOT,14722820_14724180,bubble
*CXN,bubbles,q,y,BRO,14733320_14734470,bubble
*OLN,bubbles,d,n,MOT,33863240_33865730,bubble
*CXN,bubbles,q,n,MOT,33878010_33878810,bubble
*FAN,bubbles,q,y,FFR,33974570_33977460,bubble
*MAN,bubbles,d,n,MOT,33992020_33993910,bubble
*FAN,bubbles,d,n,MOT,33993910_33995090,bubble
*FAN,bubbles,d,n,MOT,34042180_34043520,bubble
*MAN,bubbles,d,n,MOT,34064750_34065950,bubble
*MAF,bubbles,d,y,FFR,34182030_34183050,bubble
*CHN,bubbles,q,y,FFR,34184530_34184960,bubble
*FAN,bubbles,d,y,FFR,34451740_34453280,bubble
*OLN,bubbles,d,y,MOT,34620740_34622260,bubble
*OLN,bubbles,n,y,MOT,35110160_35110960,bubble
*OLN,bubbles,d,y,MOT,35113050_35116000,bubble
*OLN,bubbles,d,n,MOT,35140540_35141450,bubble
*FAN,bubbles,d,n,MOT,35141450_35142470,bubble
*OLN,bubbles,d,y,MOT,35225580_35227440,bubble
*MAN,bugs,n,n,MOT,32253610_32254630,bug
*OLN,bugs,d,n,MOT,32255630_32256820,bug
*CHN,bumblebee,q,y,FFR,36210060_36210600,bumblebee
*OLN,butt,i,n,MOT,2082980_2085080,NA
*FAN,Buzz+Lightyear,q,y,MOT,15048390_15049750,Buzz+Lightyear
*FAN,c,d,y,MOT,20690000_20691050,c
*CXN,card,d,n,BRO,1433280_1434080,card
*FAN,card,q,n,MOT,1436120_1438040,card
*FAN,cat,d,n,MOT,20691050_20691660,cat
*FAN,celery,q,n,MOT,39816990_39818320,celery
*FAN,celery,q,y,MOT,39863650_39865030,celery
*FAN,celery,n,y,MOT,39867160_39868160,celery
*CXN,chair,d,n,BRO,2438710_2439520,chair
*FAN,chair,d,y,MOT,2482890_2484890,chair
*FAN,chair,d,y,MOT,2498480_2499190,chair
*OLN,chair,d,y,MOT,2924220_2925100,chair
*CXN,chair,d,y,BRO,2936730_2938030,chair
*FAN,chair,q,y,MOT,2941590_2943610,chair
*OLN,chair,d,n,BRO,3481240_3482960,chair
*FAN,chair,d,n,MOT,3482960_3483960,chair
*OLN,chair,d,y,MOT,3532240_3533150,chair
