tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,almond,d,n,MOT,47143150_47146470,almond
*CHN,animals,i,y,MOT,7771700_7773290,NA
*FAN,ants,q,n,MOT,11103110_11104110,ant
*NON,ants,s,n,MOT,11104110_11104980,ant
*FAN,ants,s,n,MOT,11108580_11109580,ant
*FAN,ants,s,n,MOT,11112550_11113550,ant
*FAN,ants,s,n,MOT,11125330_11128750,ant
*FAN,ants,s,n,MOT,11129550_11130590,ant
*OLN,ants,s,n,MOT,11133100_11133910,ant
*FAN,ants,s,n,MOT,11144720_11147950,ant
*FAN,ants,s,n,MOT,11150000_11151010,ant
*FAN,ants,s,n,MOT,11154250_11155610,ant
*FAN,ants,s,n,MOT,11172350_11173390,ant
*FAN,ants,s,n,MOT,11176540_11177540,ant
*FAN,ants,s,n,MOT,11187680_11189500,ant
*FAN,ants,s,n,MOT,11191990_11193850,ant
*OLN,ants,s,n,MOT,11196330_11199680,ant
*FAN,ants,d,n,MOT,22347250_22354690,ant
*FAN,arm,q,y,MOT,1984170_1985170,arm
*CHN,arm,d,n,MOT,11294320_11295030,arm
*CHN,arm,i,y,MOT,14121620_14122320,arm
*FAN,arm,i,y,MOT,45359150_45360500,arm
*FAN,arms,i,y,MOT,13505340_13506460,arm
*FAN,arms,q,y,MOT,13509460_13510060,arm
*FAN,arms,d,y,MOT,24592080_24593080,arm
*FAN,arms,i,y,MOT,45361820_45362820,arm
*MAN,babies,q,n,MOT,22452450_22453730,baby
*CXN,babies,d,n,MOT,46560340_46564270,baby
*CXF,baby,d,y,MOT,266530_267330,baby
*FAN,baby,q,n,MOT,1009540_1010890,baby
*FAN,baby,d,y,MOT,1717680_1720120,baby
*FAN,baby,d,n,MOT,2641670_2645000,baby
*OLN,baby,d,y,MOT,7801300_7802100,baby
*FAN,baby,q,n,MOT,11261850_11262650,baby
*OLN,baby,q,n,MOT,11263630_11265040,baby
*FAN,baby,d,y,MOT,11290920_11292550,baby
*FAN,baby,d,y,MOT,13583490_13585480,baby
*FAN,baby,q,y,MOT,13808700_13812760,baby
*FAN,baby,q,y,MOT,13808700_13812760,baby
*FAN,baby,i,y,MOT,13808700_13812760,baby
*CXN,baby,n,y,MOT,13813860_13815370,baby
*FAN,baby,d,n,MOT,22405390_22410060,baby
*FAN,baby,d,n,MOT,22414990_22419550,baby
*FAN,baby,q,n,MOT,22782710_22784460,baby
*FAN,baby,q,n,MOT,22790910_22791920,baby
*FAN,baby,d,y,MOT,24718590_24720820,baby
*FAN,baby,q,y,MOT,37051570_37053320,baby
*FAN,baby,q,y,MOT,37054420_37056260,baby
*FAN,baby,d,y,MOT,37967260_37968690,baby
*FAN,baby,d,y,MOT,40580070_40581540,baby
*FAN,baby,d,y,MOT,44478610_44479610,baby
*OLN,baby+book,q,y,MOT,35432910_35433810,baby
*FAN,baby+Cheetos,d,y,AUN,26170970_26171990,Cheetohs
*NOF,back,d,n,MOT,13551150_13554120,back
*FAN,back,d,n,MOT,13567450_13568450,back
*FAN,back,d,n,MOT,13606460_13608580,back
*FAN,back,d,n,MOT,13685620_13686640,back
*OLN,back,s,n,MTV,42905720_42909520,back
*CXN,back,s,n,MTV,42926190_42927250,back
*OLN,back,s,n,TVN,42942820_42946740,back
*FAN,bag,q,n,AUN,22559070_22560800,bag
*FAN,bag,d,n,AUN,22566640_22571730,bag
*FAN,bags,d,n,MOT,29119710_29126660,bag
*OLN,ball,q,y,MOT,4324710_4325510,ball
*FAN,ball,q,y,MOT,4494910_4496060,ball
*MAN,ball,q,y,FAT,36551120_36552200,ball
*OLN,ball,i,y,MOT,37181060_37185630,ball
*OLN,ball,d,y,MOT,37181060_37185630,ball
