tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,air+conditioners,d,n,MOT,38700160_38701930,air+conditioner
*FAN,antenna,i,y,MOT,15687670_15688830,antenna
*FAN,applesauce,d,n,FAT,48310540_48311140,applesauce
*CXN,arm,n,y,MOT,16047850_16048460,arm
*OLN,arm,n,y,FAT,18221570_18223410,arm
*FAN,arm,n,y,FAT,18229150_18230560,arm
*OLN,arm,i,y,MOT,50871730_50873200,arm
*CHN,arm,i,y,MOT,50875990_50877000,arm
*MAN,avocado,d,n,FAT,18970470_18971990,avocado
*MAN,baby,d,n,MOT,29263020_29264030,baby
*FAN,baby,q,n,MOT,5845510_5846590,baby
*CHN,baby,q,n,MOT,5848750_5849140,baby
*FAN,bags,i,n,MOT,29104980_29105990,bag
*FAN,basket,d,n,MOT,44358830_44360520,basket
*OLF,laundry+basket,d,n,FAT,50629640_50631740,basket
*MAN,bath,d,n,FAT,18933600_18936310,bath
*FAN,bath,d,n,MOT,48975270_48976850,bath
*OLN,beach,d,n,MOT,28004760_28006450,beach
*FAN,bed,d,n,MOT,44249880_44252780,bed
*FAN,bed,d,n,MOT,46971160_46972180,bed
*SIL,bed,d,y,MOT,51337450_51339320,bed
*FAF,beds,d,n,MOT,51039260_51040060,bed
*OLN,bench,d,n,MOT,24123250_24167370,bench
*OLN,blanket,d,n,MOT,24436120_24581430,blanket
*FAN,monkey+blanket,d,y,MOT,27284840_27285880,blanket
*CHN,monkey+blanky,n,y,MOT,27295440_27296060,blanket
*MAN,blanket,d,n,FAT,38639100_38640120,blanket
*FAN,blanky,d,y,MOT,5928090_5929420,blanket
*FAN,yoga+blocks,d,y,MOT,40685940_40688560,block
*FAN,bloody+mary,i,n,MOT,27587690_27589040,bloody+mary
*OLN,bolster,d,y,MOT,40539400_40540820,bolster
*FAN,bolster,d,y,MOT,40703750_40705270,bolster
*MAN,bones,d,n,FAT,48734410_48737970,bone
*MAN,book,q,n,FAT,16551370_16552380,book
*MAN,book,q,y,FAT,16557660_16558930,book
*MAN,book,q,y,FAT,17398970_17399970,book
*MAN,book,i,n,FAT,18301630_18302670,book
*FAN,book,q,n,MOT,27331320_27333790,book
*OLN,book,q,n,MOT,28129950_28132210,book
*FAN,book,q,y,MOT,31796520_31797530,book
*FAN,book,d,y,MOT,34646960_34649250,book
*FAN,book,d,y,MOT,41357780_41359120,book
*OLN,book,d,y,MOT,42020770_42023540,book
*FAN,book,q,n,MOT,42185770_42186830,book
*FAN,book,i,y,MOT,42187850_42188860,book
*OLF,book,d,y,FAT,50994850_50995650,book
*FAN,book,d,y,MOT,50996250_50998130,book
*MAN,book,d,y,MOT,50998130_50999130,book
*FAN,book,d,y,MOT,50999130_51000600,book
*FAN,book,d,y,MOT,51001600_51002600,book
*FAN,books,q,y,MOT,41351120_41352150,book
*FAN,books,q,y,MOT,41352950_41354680,book
*OLN,books,d,y,MOT,41557140_41559320,book
*FAN,books,q,y,MOT,41559320_41560330,book
*CHN,books,d,y,MOT,41562560_41562960,book
*OLN,fox+book,q,n,MOT,42206060_42209430,book
*CHN,fox+book,d,y,MOT,42219230_42221710,book
*FAN,boppy,d,y,MOT,42126070_42127670,boppy
*CXN,baby+caboose,d,y,MOT,42510480_42511850,caboose
*FAN,can,q,n,MOT,30632940_30634260,can
*MAN,cantaloupe,d,n,FAT,18974880_18976150,cantaloupe
*MAN,cantaloupe,q,n,FAT,18977310_18978310,cantaloupe
*MAN,car,d,n,FAT,27988910_27990030,car
*FAN,baby+carrier,d,y,MOT,42508840_42510480,carrier
*FAN,cat,d,n,MOT,28093440_28094510,cat
*FAN,caterpillar,q,y,MOT,15665370_15666820,caterpillar
*CHN,caterpillar,n,y,MOT,15670310_15671150,caterpillar
*CXN,caterpillar,n,y,MOT,15672700_15673300,caterpillar
*FAN,Mr+Caterpillar,i,y,MOT,15683660_15685460,caterpillar
*FAN,caterpillar,i,y,MOT,44465110_44467060,caterpillar
*MAN,cereal,q,n,FAT,18051830_18052830,cereal
*FAN,cereal,d,n,FAT,18252810_18254460,cereal
*MAN,cereal,d,n,FAT,18542310_18543560,cereal
*OLN,chair,q,n,MOT,26372650_26382500,chair
*CHN,chair,d,y,MOT,26382500_26383500,chair
*FAN,chair,d,n,MOT,38319600_38320890,chair
*FAN,chair,d,y,MOT,39462140_39465340,chair
*FAN,chest,d,n,MOT,38317780_38318800,chest
*FAN,chewy,q,y,MOT,14326990_14327990,chewy
*FAN,chewy,q,y,MOT,14328970_14329940,chewy
*FAN,chewy,q,y,MOT,14348310_14349010,chewy
*FAN,chick,r,y,MOT,51107200_51110070,chick
*FAN,chick,r,y,MOT,51246530_51249770,chick
*FAN,chicken,r,y,MOT,51107200_51110070,chicken
*MAN,chickpeas,d,n,FAT,49162030_49166220,chickpeas
*CXN,clam,d,n,MOT,43553430_43554230,clam
*FAN,clip,q,y,MOT,34130450_34131680,clip
*FAN,monkey+clip,d,y,MOT,34133990_34137120,clip
*MAN,clown,d,n,FAT,50968010_50969010,clown
*OLF,clown,d,n,FAT,50970040_50971420,clown
*OLN,clowns,d,n,FAT,50958160_50959430,clown
*MAN,coffee,d,n,FAT,17776910_17778900,coffee
*MAN,coffee,q,n,MOT,5480260_5481260,coffee
*OLN,yogurt+container,d,n,MOT,43697010_43700980,container
*FAN,cow,r,y,MOT,51092460_51093460,cow
*FAN,cow,r,y,MOT,51232440_51234940,cow
*OLN,milk+crate,d,n,MOT,38332080_38333700,crate
*MAN,cream,d,n,MOT,47033930_47036000,cream
*FAN,crib,d,y,MOT,15252600_15254180,crib
*MAN,crib,d,n,FAT,21281870_21285030,crib
*MAN,crib,d,n,MOT,30571080_30572780,crib
*FAN,crib,d,n,MOT,31649470_31653990,crib
*FAN,crib,d,y,MOT,34178410_34179160,crib
*FAN,crib,d,n,MOT,38298800_38301350,crib
*FAN,crib,d,n,MOT,38310170_38311550,crib
*FAN,crib,d,n,MOT,38312820_38315020,crib
*MAF,cup,d,y,FAT,22601810_22603230,cup
*CXN,cup,q,y,MOT,37585950_37587200,cup
*FAN,cups,q,y,MOT,37582840_37584520,cup
*FAN,desk,d,n,MOT,42732690_42733840,desk
*FAN,cloth+diaper,d,n,MOT,47074850_47079950,diaper
*FAN,cloth+diapers,d,n,MOT,47081130_47082230,diaper
*FAN,diaper,q,y,MOT,15809240_15810250,diaper
*OLN,diaper,q,y,MOT,15811180_15813680,diaper
*MAN,diaper,d,n,FAT,22684820_22686240,diaper
*OLN,diapers,d,n,AD1,28231320_28235040,diaper
*FAN,diaper,d,n,MOT,33740460_33743550,diaper
*FAN,diaper,d,y,MOT,34133990_34137120,diaper
*FAN,diaper,d,y,MOT,34176270_34178410,diaper
*CXN,diaper,d,y,MOT,37560920_37563510,diaper
*CXN,diaper,d,y,MOT,37565840_37566640,diaper
*TVN,diaper,d,y,MOT,37570220_37571820,diaper
*FAN,diaper,d,n,MOT,38278060_38279470,diaper
*FAN,diaper,d,n,MOT,38288620_38293430,diaper
*FAN,diaper,d,n,MOT,38298800_38301350,diaper
*FAN,diaper,d,n,MOT,38648160_38650030,diaper
*NOF,diaper,d,n,MOT,42792760_42794220,diaper
*OLN,diaper,d,y,MOT,44519650_44521880,diaper
*FAN,diaper,d,y,MOT,44521880_44523050,diaper
*OLN,diaper,d,y,MOT,44523050_44526220,diaper
*MAN,diaper,d,n,MOT,47084230_47085830,diaper
*FAN,diaper,d,n,MOT,50372890_50373920,diaper
*FAN,diaper,d,n,MOT,50375820_50377960,diaper
*OLN,diaper,d,n,MOT,50604680_50608710,diaper
*FAN,diapers,d,n,MOT,46982870_46983930,diaper
*FAN,diapers,d,n,MOT,47478890_47480600,diaper
*OLF,diapers,d,n,MOT,47486290_47487220,diaper
*OLN,diapers,d,y,MOT,50140040_50142300,diaper
*CXN,disc,i,y,TOY,36589870_36591150,disc
*CXN,disc,i,y,TOY,37094570_37095610,disc
*CXN,disc,i,y,MOT,37097300_37098100,disc
*MAN,doctor,d,n,FAT,18757920_18759490,doctor
*FAN,dog,d,n,MOT,48952250_48954140,doggy
*FAN,dog,d,n,MOT,48956920_48958830,doggy
*CXN,dog,d,n,MOT,48966000_48966890,doggy
*FAN,dog,d,n,MOT,48970470_48971470,doggy
*MAN,dog,d,n,FAT,49004520_49007120,doggy
