tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,actors,q,n,GRM,31746000_31748120,NA
*FAN,actresses,q,n,GRM,31746000_31748120,NA
*CXN,airplane,d,n,SIS,16057600_16061150,airplane
*FAN,alligator,q,y,GRM,20710730_20712000,alligator
*FAN,alligator,d,y,GRM,20783870_20785350,alligator
*MAN,alligator,n,y,GRM,20798670_20799670,alligator
*CXN,alligator,n,y,SIS,20799670_20800520,alligator
*CXN,alligator,n,y,SIS,20801760_20802570,alligator
*MAN,Alligator,n,y,GRM,20806410_20807560,alligator
*CXN,Alligator,n,y,GRM,20809810_20811270,alligator
*FAN,alligator,d,n,GRM,20914050_20915750,alligator
*FAN,Alligator,d,n,GRM,20919530_20921360,alligator
*FAN,alligator,r,y,GRM,27109360_27110380,alligator
*FAN,Alligator,r,y,GRM,27116300_27117390,alligator
*MAN,Alligator,r,y,GRM,27138180_27139180,alligator
*FAN,Alligator,r,y,GRM,27150120_27151210,alligator
*FAN,alligator,d,y,GRM,27160310_27162620,alligator
*FAN,alligator,d,y,GRM,27168250_27170880,alligator
*FAN,alligator,r,y,GRM,27183820_27184820,alligator
*MAN,alligator,r,y,GRM,27193770_27195500,alligator
*OLN,alligator,r,y,GRM,27212720_27215820,alligator
*OLF,alligator,r,y,GRM,27221480_27223250,alligator
*FAN,alligator,r,y,GRM,27237460_27238970,alligator
*FAN,alligator,r,y,GRM,27248100_27249120,alligator
*FAN,alligator,r,y,GRM,27259110_27260180,alligator
*OLN,alligator,d,y,GRM,27294750_27295550,alligator
*OLF,alligator,d,y,SIS,27295550_27299550,alligator
*OLN,alligator,r,y,GRM,27305680_27307810,alligator
*OLN,alligator,r,y,GRM,27316180_27320580,alligator
*MAN,alligator,q,y,GRM,27333170_27334310,alligator
*MAN,alligator,r,y,GRM,27352210_27353220,alligator
*FAN,alligator,r,y,GRM,27397820_27399860,alligator
*CHN,alligator,r,y,GRM,27410520_27411520,alligator
*OLN,alligator,r,y,GRM,27428260_27431730,alligator
*FAN,alligator,r,y,GRM,27444030_27445250,alligator
*MAN,alligator,r,y,GRM,27470170_27471650,alligator
*FAN,alligator,r,y,GRM,27516600_27517690,alligator
*MAN,alligator,r,y,GRM,27668000_27669540,alligator
*CHN,alligator,r,y,GRM,27673880_27675050,alligator
*CHN,alligator,r,y,GRM,27685470_27686360,alligator
*MAN,alligator,r,y,GRM,27724160_27725760,alligator
*MAN,alligator,r,y,GRM,27746260_27748420,alligator
*MAN,alligator,r,y,GRM,27755500_27757750,alligator
*FAN,alligator,r,y,GRM,27787510_27790180,alligator
*MAN,alligator,r,y,GRM,27832360_27833920,alligator
*MAN,alligator,r,y,GRM,27838820_27839870,alligator
*FAN,alligator,r,y,GRM,27852450_27853520,alligator
*FAN,alligator,r,y,GRM,27885850_27888470,alligator
*FAN,alligator,r,y,GRM,27895850_27897450,alligator
*MAN,alligator,r,y,GRM,27905700_27906700,alligator
*FAN,alligator,r,y,GRM,27961560_27963530,alligator
*MAN,alligator,r,y,GRM,27988140_27989190,alligator
*MAN,alligator,r,y,GRM,28047650_28049750,alligator
*CXN,alligator,r,y,SIS,28057510_28059000,alligator
*MAN,alligator,r,y,GRM,28085080_28086670,alligator
*MAN,alligator,r,y,GRM,28097480_28098510,alligator
*FAN,alligator,r,y,GRM,28106350_28107360,alligator
*CXN,alligator,d,n,SIS,28410210_28413660,alligator
*FAN,alligator,q,n,GRM,28422600_28424300,alligator
*FAN,alligator,d,n,GRM,28429990_28431110,alligator
*FAN,alligator,d,n,GRM,28432960_28434040,alligator
*CHN,alligator,d,n,SIS,28447010_28448400,alligator
*FAN,alligator,q,n,GRM,28448400_28449650,alligator
*CXN,alligator,i,n,SIS,28694030_28695540,alligator
*FAN,alligator,d,n,GRM,28856580_28857850,alligator
*CXN,alligator,d,n,GRM,28897000_28899360,alligator
*MAN,alligator,d,n,GRM,28906390_28908470,alligator
*MAN,alligator,d,n,GRM,28906390_28908470,alligator
*FAN,alligator,i,n,GRM,28910690_28912260,alligator
*FAN,alligator,d,n,GRM,28921390_28922920,alligator
*FAN,alligator,d,n,GRM,28924380_28926460,alligator
*CHN,alligator,q,n,GRM,35331700_35332300,alligator
*FAN,alligators,d,n,GRM,22863150_22865050,alligator
*MAN,almond,q,n,GRM,21372560_21373560,almond
*MAN,almonds,d,n,GRM,21288600_21292230,almond
*CXN,almonds,d,n,SIS,21311970_21313200,almond
*FAN,Amanda,d,y,GRM,20726470_20727470,Amanda
*FAN,Amanda,d,y,SIS,20732520_20733710,Amanda
*FAN,Amanda,n,y,GRM,20805410_20806410,Amanda
*FAF,Amanda,n,y,SIS,20808560_20809810,Amanda
*FAN,Amanda,r,n,GRM,27107330_27108360,Amanda
*FAN,Amanda,r,n,GRM,27111380_27113610,Amanda
*FAN,Amanda,r,n,GRM,27115630_27116300,Amanda
*FAN,Amanda,r,n,GRM,27136640_27138180,Amanda
*MAN,Amanda,r,n,GRM,27147240_27148290,Amanda
*CHN,Amanda,r,y,GRM,27152140_27153700,Amanda
*FAN,Amanda+and+Her+Alligator,d,n,GRM,20619390_20622080,Amanda+and+Her+Alligator
*FAN,angel,d,n,MOT,38528770_38529860,angel
*FAN,Anikan+Skywalker,d,y,MOT,749710_751600,Anikan+Skywalker
*OLN,Anikan+Skywalker,d,y,MOT,1552070_1552870,Anikan+Skywalker
*FAN,Anikan+Skywalker,q,n,MOT,1567840_1569400,Anikan+Skywalker
*FAN,animal,q,n,GRM,20821050_20822290,NA
*MAN,animals,q,n,FAT,2318220_2321190,NA
*CXN,animals,n,n,SIS,8458280_8462090,NA
*CXN,animals,d,n,SIS,8471220_8473090,NA
*MAN,animals,d,n,FAT,8481240_8483010,NA
*CXN,animals,d,n,SIS,8493970_8494770,NA
*MAN,animals,d,n,FAT,15807050_15809030,NA
*CHN,animals,d,n,FAT,15856030_15856630,NA
*MAN,animals,d,n,FAT,15867050_15871920,NA
