tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*TVF,ambulance,d,n,GRM,51045490_51046590,ambulance
*FAN,animals,d,n,MOT,3542450_3543620,NA
*FAN,arm,s,y,MOT,8194560_8195850,arm
*FAN,arm,q,y,MOT,18051350_18052800,arm
*OLN,arm,q,y,MOT,18052800_18054800,arm
*TVN,arm,q,y,GRM,46626170_46627800,arm
*OLN,arm+fat,d,y,MOT,41437890_41442120,arm
*FAN,arms,s,y,MOT,8188840_8191960,arm
*FAN,babies,r,n,MOT,38456550_38462950,baby
*OLN,babies,d,n,GRM,44592530_44596320,baby
*FAN,babies,d,n,MOT,50432690_50433300,baby
*FAN,baby,d,y,MOT,1645260_1646490,baby
*FAN,baby,d,y,MOT,1654870_1656020,baby
*FAN,baby,i,y,MOT,1686430_1687440,baby
*FAN,baby,d,y,MOT,3451310_3453950,baby
*FAN,baby,d,y,MOT,3454550_3457380,baby
*FAN,baby,s,n,MOT,5554630_5557170,baby
*FAN,baby,q,y,MOT,8384740_8386840,baby
*FAN,baby,d,y,MOT,8525640_8528650,baby
*FAN,baby,d,n,MOT,16897490_16899270,baby
*FAN,baby,d,n,MOT,16913900_16916170,baby
*TVN,baby,i,n,MOT,17428970_17429970,baby
*MAN,baby,d,n,MOT,18459350_18461060,baby
*FAN,baby,q,n,MOT,39036820_39037820,baby
*FAN,baby,d,y,GRM,42343960_42345340,baby
*FAN,baby,d,y,MOT,43067980_43069600,baby
*MAN,baby,d,n,MOT,44100170_44101170,baby
*FAN,baby,d,n,MOT,50402300_50403360,baby
*FAN,baby,d,n,MOT,50405210_50406530,baby
*FAN,baby,d,n,MOT,50424090_50425960,baby
*FAN,baby,q,n,MOT,51106720_51108980,baby
*FAN,baby,d,n,MOT,51404590_51406790,baby
*MAN,back,d,n,MOT,3464720_3466470,back
*MAN,back,d,n,MOT,3553210_3554980,back
*FAN,back,d,n,MOT,5676630_5677650,back
*FAN,back,d,n,MOT,17095060_17096760,back
*OLN,back,d,n,MOT,47737340_47739220,back
*OLN,baked+potato,d,n,GRM,43321250_43323010,potato
*FAN,barrel,d,n,MOT,50828540_50832430,barrel
