tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,A,d,y,MOT,2811890_2815130,A
*FAF,air+conditioner,d,n,MOT,809840_812600,air+conditioner
*OLN,alligator,n,y,MOT,35735700_35736930,alligator
*FAN,alligator,q,y,MOT,36196600_36197850,alligator
*FAN,apple,r,y,MOT,8371540_8373270,apple
*FAN,apple,d,y,MOT,19939080_19940170,apple
*FAN,apple,d,n,MOT,20157270_20158630,apple
*FAN,apple,q,y,MOT,37777590_37779860,apple
*FAF,apples,d,n,MOT,19909300_19910900,apple
*FAN,apples,d,n,MOT,47488670_47491540,apple
*FAN,apples,d,n,MOT,47488670_47491540,apple
*FAN,New+York+Empire+apples,r,y,MOT,34489940_34491210,apple
*FAN,apron,d,y,MOT,18301920_18304180,apron
*CHN,Aquaphor,d,y,MOT,6187500_6188030,Aquaphor
*FAN,Aquaphor,d,y,MOT,15470010_15471030,Aquaphor
*FAN,arm,i,y,MOT,26465330_26465930,arm
*MAN,arm,d,y,FAT,45464640_45466310,arm
*FAN,arms,r,y,MOT,7492670_7493920,arm
*OLN,arms,r,n,MOT,37642600_37645860,arm
*CXN,arms,r,n,MOT,38235400_38236070,arm
*FAN,arms,q,n,MOT,38239080_38240320,arm
*OLN,arms,d,n,MOT,38256820_38258050,arm
*NOF,arms,d,n,MOT,38259940_38263470,arm
*FAN,arms,d,y,MOT,42365660_42366940,arm
*MAN,arms,d,n,MOT,45104350_45105660,arm
*MAN,arms,d,n,FAT,45131660_45136750,arm
*OLN,arms,d,n,FAT,45751590_45753540,arm
*FAN,armpits,q,n,MOT,45749130_45750510,armpit
*OLN,armpits,d,n,FAT,45751590_45753540,armpit
*FAN,arrow,q,n,MOT,19015820_19016420,arrow
*FAN,arrow,q,n,MOT,19021480_19023360,arrow
*FAN,arrow,d,n,MOT,19085520_19087110,arrow
*FAN,art,r,y,MOT,34250020_34251110,art
*FAN,Audrey,r,y,MOT,34179000_34180840,Audrey
*FAN,Audrey,r,y,MOT,34278030_34280350,Audrey
*FAN,Audrey,d,y,MOT,34287370_34289960,Audrey
*OLN,Audrey,r,y,MOT,34298490_34299680,Audrey
*FAN,avocado,d,n,MOT,16280200_16281420,avocado
