tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,A,r,y,FAT,44747480_44749120,A
*MAN,ABCs,r,y,FAT,44936960_44939190,ABCs
*MAN,Accord,q,n,FAT,32434630_32437730,Accord
*MAN,Accord,d,n,MOT,32444230_32445230,Accord
*MAN,Accord,d,n,FAT,32447920_32449870,Accord
*MAN,airplane,d,y,FAT,1422200_1423240,airplane
*MAN,alligator,i,y,FAT,6318770_6321410,alligator
*FAN,alligator,i,n,FAT,6696100_6697100,alligator
*FAN,amaranth,d,n,MOT,37212070_37215690,amaranth
*FAN,amaranth,d,n,MOT,40928080_40929230,amaranth
*CHN,animal+book,q,n,MOT,27007620_27008630,book
*MAN,antelope,d,y,FAT,14483420_14485110,antelope
*MAN,antelope,d,y,FAT,14483420_14485110,antelope
*MAN,apple,d,y,FAT,1432900_1434810,apple
*MAN,apple+orchard,r,y,FAT,1807500_1809140,orchard
*MAN,apples,q,y,FAT,43855450_43856490,apples
*OLN,arm,i,y,FAT,9493970_9494770,arm
*OLN,arm,q,y,FAT,9496550_9497590,arm
*MAN,arm,q,y,FAT,9499960_9501760,arm
*MAN,arm,q,y,FAT,9499960_9501760,arm
*CHN,arm,i,y,MOT,10588560_10588710,arm
*MAN,arm,i,y,FAT,32149660_32150660,arm
*FAN,arm,d,n,MOT,34931930_34933320,arm
*MAN,arm,n,y,FAT,43565830_43566980,arm
*MAN,arms,r,y,FAT,2202570_2206250,arm
*MAN,arms,d,n,FAT,9420490_9422090,arm
*FAN,arms,r,n,FAT,14730440_14731530,arm
*FAN,arms,d,n,MOT,21055580_21056580,arm
*FAN,arms,d,y,MOT,42437390_42438630,arm
*FAN,arms,d,y,MOT,42702490_42703090,arm
*MAN,B,r,y,FAT,44749920_44750940,B
*MAF,baba,d,y,FAT,842170_843380,baba
*MAN,baba,d,y,FAT,16116700_16117700,baba
*MAN,baba,d,n,FAT,47259400_47261830,baba
*FAN,babes,d,y,FAT,43528310_43529310,baby
*MAN,babes,d,y,FAT,43530350_43531440,baby
*OLN,babies,d,n,MOT,42027240_42029660,baby
*MAN,babies,d,y,FAT,44972720_44974390,baby
*MAN,baby,d,y,FAT,19365060_19368500,baby
*MAN,baby,q,y,FAT,19369820_19371960,baby
*MAN,baby,d,y,FAT,19369820_19371960,baby
*FAN,baby,d,n,MOT,20259600_20262940,baby
*FAN,baby,d,n,MOT,20264440_20265470,baby
*MAN,baby,d,n,FAT,20572970_20575310,baby
*MAN,baby,d,n,FAT,31219730_31221170,baby
*MAN,baby,d,n,FAT,33378980_33384380,baby
*MAN,baby,n,n,AD3,33378980_33384380,baby
*OLN,baby,s,n,MOT,42503700_42504500,baby
*MAN,baby,d,y,FAT,44977100_44978730,baby
*MAN,baby,d,y,FAT,44985370_44987040,baby
*MAN,baby,d,y,FAT,45015100_45018990,baby
*MAN,baby,d,y,FAT,45023810_45025040,baby
*MAN,baby,d,y,FAT,45026170_45030180,baby
*MAN,baby,d,y,FAT,45033600_45034900,baby
*MAN,baby,d,y,FAT,45035750_45037140,baby
*MAN,baby,d,y,FAT,45039740_45043330,baby
*MAN,baby,d,y,FAT,45045000_45047570,baby
*FAN,baby,d,y,FAT,45051970_45052970,baby
*MAN,baby,d,y,FAT,45089350_45090660,baby
*MAN,baby,d,y,FAT,45092610_45094550,baby
*MAN,baby,d,y,FAT,45095500_45097040,baby
*MAN,baby,d,y,FAT,45100520_45102020,baby
*MAN,baby,d,y,FAT,45103820_45106050,baby
*MAN,baby,d,y,FAT,45112650_45114160,baby
*MAN,baby,d,y,FAT,45121560_45122800,baby
*MAN,baby,d,y,FAT,45126720_45127720,baby
*MAN,baby,d,y,FAT,45133400_45134720,baby
*MAN,baby,d,y,FAT,45139540_45141860,baby
*MAN,baby,d,y,FAT,45139540_45141860,baby
*MAN,baby,i,y,FAT,45652080_45653130,baby
*FAN,baby,i,y,FAT,45653130_45654510,baby
*MAN,baby,i,y,FAT,45666330_45667330,baby
*FAN,baby+beluga,s,n,MOT,42495690_42496730,beluga
*FAF,baby+beluga,s,n,MOT,42498530_42499640,beluga
*MAN,baby+food,d,n,MOT,37140560_37142010,NA
*OLN,baby+food,d,n,MOT,37192790_37194920,NA
*FAN,baby+food,d,n,MOT,37206080_37207540,NA
*FAN,baby+food,d,y,MOT,42419060_42420840,NA
*MAN,Babybjorn,d,n,MOT,20265470_20266470,Babybjorn
*MAN,back,d,n,FAT,9534200_9536490,back
*FAN,back,r,n,FAT,14768800_14769930,back
*CHF,back,d,n,FAT,30899260_30899410,back
*FAN,back,d,n,MOT,40703070_40704900,back
*MAN,back,d,y,FAT,44267100_44268760,back
*FAN,backyard,d,n,MOT,36393390_36399610,NA
*MAN,bacon,d,n,FAT,9457340_9458550,bacon
*MAN,bag,d,n,FAT,10829460_10830760,bag
*MAN,bag,d,n,MOT,12549720_12551120,bag
*MAN,bag,d,n,FAT,12549720_12551120,bag
*OLN,bags,d,n,MOT,36899740_36900590,bag
*MAN,ball,d,y,FAT,1390170_1391450,ball
*MAN,ball,d,y,FAT,1392630_1393770,ball
*MAN,ball,i,y,FAT,6318770_6321410,ball
*MAN,ball,q,y,FAT,6693080_6694080,ball
*CHF,balloon,r,y,FAT,19007860_19010380,balloon
*CHF,balloon,r,y,FAT,19007860_19010380,balloon
*FAN,balls,d,n,MOT,23701180_23702590,ball
*MAN,balls,d,n,FAT,25138970_25139990,ball
*MAN,balls,d,n,FAT,25153710_25154730,ball
*MAN,banana,d,y,FAT,1453150_1454150,bananas
*FAN,banana,d,n,MOT,10537710_10539370,bananas
*FAN,banana,d,n,MOT,37212070_37215690,bananas
*FAN,banana,d,n,MOT,37247010_37248730,bananas
*FAN,banana,d,n,MOT,37250550_37251550,bananas
