tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,arm,q,y,FAT,34596670_34597670,arm
*MAN,arm,d,n,FAT,39316300_39317310,arm
*MAN,arm,d,n,MOT,41956080_41957170,arm
*FAN,arms,d,y,FAT,39797410_39806920,arm
*FAN,arms,d,y,FAT,39797410_39806920,arm
*FAN,arms,d,y,FAT,39807840_39816590,arm
*FAN,arms,d,y,FAT,39807840_39816590,arm
*OLN,asparagus,d,n,AFW,9500590_9501390,asparagus
*MAN,babies,d,n,MOT,21430050_21431050,baby
*CHN,baby,d,y,AFW,7529840_7530500,baby
*MAN,baby,r,y,FAT,40212460_40213590,baby
*MAN,bacon,d,n,MOT,9770400_9772310,bacon
*MAN,bag,d,n,MOT,39427970_39428980,bag
*FAN,bags,d,n,MOT,1183550_1184560,bag
*MAN,bags,s,n,MOT,24390630_24391630,bag
*FAN,bags,s,n,MOT,24400680_24403930,bag
*MAN,ball,q,y,FAT,33985100_33986420,ball
*MAN,green+beans,d,y,MOT,9499400_9500590,beans
*FAN,green+beans,q,y,MOT,9524250_9525630,beans
*MAN,green+beans,q,y,MOT,9580010_9581010,beans
*MAN,green+beans,d,y,MOT,9671490_9672500,beans
*MAN,green+beans,d,y,MOT,10042510_10043540,beans
*FAN,green+beans,d,n,MOT,20588890_20590130,beans
*FAN,green+beans,d,n,MOT,31903470_31904890,beans
*MAN,green+beans,d,n,MOT,41845540_41847460,beans
*FAN,bed,q,n,MOT,41791790_41792790,bed
*FAN,bed,d,n,MOT,41808830_41810160,bed
*CXN,bed,d,n,MOT,42058990_42060170,bed
*MAN,belly,d,n,MOT,1360560_1361920,belly
*MAN,belly,d,n,MOT,31854490_31855640,belly
*FAN,bib,q,n,MOT,9895830_9896830,bib
*FAN,bib,d,y,MOT,9899000_9901230,bib
*FAN,bird+feeder,d,n,MOT,9733830_9735220,bird+feeder
*MAN,bongo,d,y,FAT,35474130_35475140,bongo
*MAN,bongos,n,y,FAT,35365610_35366410,bongo
*TVN,bongos,d,n,FAT,35985170_35985970,bongo
*FAN,book,d,y,AFW,8187050_8188060,book
*FAN,book,q,n,MOT,21426150_21427310,book
*FAN,book,d,n,MOT,21428110_21430050,book
*NOF,book,d,y,MOT,21945340_21947820,book
*OLF,book,d,n,FAT,39599190_39600550,book
*MAN,book,i,y,FAT,39858370_39859940,book
*MAN,book,q,y,FAT,40775170_40776170,book
*OLN,books,d,n,MOT,33447110_33447910,book
*FAN,books,q,n,MOT,39452620_39453640,book
*MAN,books,q,n,FAT,39460220_39461250,book
*FAN,bouncer,d,y,MOT,5396250_5397860,bouncer
*MAN,butterfly,d,y,FAT,39740540_39741550,butterfly
*FAN,candy,d,y,AFW,7548150_7550540,candy
*OLN,candy,d,n,AFW,9376200_9380200,candy
*FAN,car+seat,d,y,MOT,20519840_20520840,car+seat
*FAN,chair,d,n,MOT,41474480_41476020,chair
*FAN,cheekies,q,n,MOT,36046330_36047350,cheeky
*MAN,cheekies,d,n,FAT,36047350_36048620,cheeky
*OLN,chicken,q,n,MOT,2619250_2634600,chicken
*MAN,chickens,s,n,MOT,24475810_24476820,chicken
*FAN,chickens,s,n,MOT,24552010_24553110,chicken
*CHN,chickens,d,n,MOT,24572250_24573880,chicken
*FAN,chin,q,y,MOT,10053140_10054150,chin
*MAN,chin,d,n,FAT,33759100_33760810,chin
*OLN,chin,d,n,FAT,35651420_35656270,chin
*FAN,chocolate+chips,d,y,MOT,9399590_9402080,chocolate+chips
*TVN,cloth,d,n,MOT,36243160_36244160,cloth
*OLN,clothes,d,n,MOT,7444730_7446050,clothes
*OLN,cookie,d,y,AFW,9376200_9380200,cookie
*FAN,cookies,i,y,AFW,7540150_7542020,cookie
*MAN,couch,d,n,MOT,41476020_41477020,couch
*FAN,cow,s,n,MOT,24496850_24500150,cow
*FAN,cow,d,n,MOT,24552010_24553110,cow
*OLN,cow,d,n,MOT,24570800_24572250,cow
*OLN,curtain,q,y,MOT,23478530_23479370,curtain
*OLF,curtain,d,n,MOT,31784620_31787910,curtain
*FAN,curtains,q,y,MOT,23487070_23488130,curtain
*MAF,curtains,q,n,MOT,31661670_31662780,curtain
*OLN,curtains,d,n,MOT,42067210_42070530,curtain
*FAN,diamond,s,n,MOT,24340350_24344210,diamond
*MAN,diaper,d,n,MOT,5571720_5572920,diaper
*FAN,diaper,d,n,MOT,5615400_5616400,diaper
*FAN,diaper,d,n,MOT,5626430_5627480,diaper
*MAN,diaper,d,n,MOT,5753610_5754730,diaper
*MAN,diaper,q,n,MOT,31650040_31651040,diaper
*OLN,diaper,q,n,MOT,31835290_31836390,diaper
*OLN,diaper,d,n,MOT,31883000_31884040,diaper
*FAN,diaper,n,n,MOT,31890540_31891140,diaper
*OLN,diaper,d,n,FAT,40767170_40770810,diaper
*FAN,diaper,d,n,MOT,41829100_41830700,diaper
*MAF,dog,d,n,MOT,36834910_36836250,dog
*MAN,dolly,d,y,FAT,33943020_33944680,dolly
