tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*MAN,fruit,d,y,MOT,1020420_1022150,NA
*FAN,belly,d,y,MOT,10272290_10275250,belly
*FAN,peanut+butter+spoons,d,n,MOT,10277480_10280290,spoon
*FAN,honey,d,n,MOT,10298730_10302530,honey
*FAN,honey,d,n,MOT,10298730_10302530,honey
*FAN,doggy,d,y,MOT,1046270_1047630,doggy
*FAN,doggy,q,y,MOT,1050380_1051380,doggy
*FAN,neck+cheese,d,y,MOT,10627800_10629960,NA
*FAN,tattoo,q,n,MOT,1066060_1067060,NA
*CXN,tattoo,d,n,BRO,1067860_1069660,NA
*OLN,cookies,d,n,MOT,10685020_10693180,cookies
*FAN,tattoo,d,n,MOT,1084730_1086290,NA
*FAN,arm,d,n,MOT,1089500_1091580,arm
*FAN,china,n,n,MOT,10910630_10911660,NA
*CHN,forks,n,n,MOT,10912260_10913330,fork
*FAN,toy,d,n,MOT,10966860_10968980,NA
*FAN,school,d,n,MOT,1147660_1149430,school
*FAN,food,d,y,MOT,1193060_1194550,NA
*FAN,Cheerios,d,n,MOT,1200410_1202830,cheerios
*FAN,turkey+sandwich,d,n,MOT,1227790_1229180,sandwich
*FAN,mustard,d,n,MOT,1230380_1231730,mustard
*FAN,mustard,d,n,MOT,1232540_1233600,mustard
*MAN,mustard,d,n,MOT,1238810_1240070,mustard
*CXN,crust,q,n,BRO,1240070_1242780,crust
*FAN,crust,d,n,MOT,1243580_1244580,crust
*CXN,mustard+sandwich,d,n,BRO,1250430_1251610,sandwich
*MAN,turkey,d,n,MOT,1252690_1253690,turkey
*CXN,mustard+sandwich,d,n,BRO,1257600_1258960,sandwich
*CXN,mustard+sandwich,d,n,BRO,1264800_1265830,sandwich
*FAN,toe,n,n,MOT,1271770_1273070,toe
*FAN,bib,i,y,MOT,1315320_1316500,bib
*FAN,cereal,d,n,MOT,1352000_1353000,cereal
*CXN,Cheerios,q,y,BRO,1385730_1387090,cheerios
*CXN,foods,q,n,BRO,1394080_1394910,NA
*MAN,food,d,n,MOT,1397180_1398710,NA
*FAN,spoon,d,n,BRO,1402010_1403010,spoon
*OLF,fingers,d,n,MOT,1404010_1404810,finger
*MAN,mouth,d,n,MOT,1404810_1406980,mouth
*MAN,Cheerio,d,n,MOT,1417710_1418720,cheerios
*FAN,Cheerio,d,n,MOT,1425120_1428670,cheerios
*OLN,Cheerio,q,n,BRO,1431260_1432510,cheerios
*FAN,pouchie,q,n,MOT,1438950_1440560,pouchy
*FAN,mouth,d,y,MOT,1462530_1464330,mouth
*FAN,spout,d,y,MOT,1462530_1464330,spout
*FAN,motorcycle,d,y,MOT,14642160_14643200,motorcycle
*MAN,fruit,d,y,MOT,1464330_1466100,NA
*FAN,food,d,n,MOT,14652870_14654740,NA
*FAN,nose,d,n,MOT,14652870_14654740,nose
*FAN,shirt,q,n,MOT,14659990_14661440,shirt
*MAN,foods,d,n,MOT,1476960_1480880,NA
*FAN,water,q,n,MOT,15034970_15036080,water
*OLN,bib,d,y,MOT,1503520_1505350,bib
*FAN,hair,d,n,MOT,15154450_15155730,hair
*OLN,Cheerios,d,n,MOT,1518580_1519400,cheerios
*OLN,Cheerios,q,y,BRO,1524010_1524810,cheerios
*FAN,Cheerios,d,y,MOT,1524810_1525960,cheerios
*OLN,puffs,d,n,MOT,1531040_1536830,puffs
*CHN,apples,q,n,MOT,15317920_15319480,apple
*FAN,paper,i,n,MOT,15350590_15353180,paper
*FAN,bag,d,n,MOT,15357970_15358970,bag
*FAN,hand,q,n,MOT,15399540_15400820,hand
*CXN,Cheerios,d,y,BRO,1546460_1547060,cheerios
*OLN,food,d,y,BRO,1547060_1551340,NA
*FAN,clothes,d,n,MOT,15506480_15508860,clothes
*FAN,pretzels,d,n,MOT,15506480_15508860,pretzels
*CXN,food,d,y,BRO,1551340_1552550,NA
*FAN,seat,i,y,MOT,15517480_15518790,NA
*FAN,rock,q,y,MOT,15521450_15523500,rock
*OLN,backpack,d,y,SI2,15524830_15526660,backpack
*FAN,backpack,n,y,MOT,15526660_15527670,backpack
*OLN,cup+holder,d,n,SI2,15527670_15528470,cup+holder
*FAN,pretzels,d,n,MOT,15566160_15567550,pretzels
*FAN,Cheerios,d,y,MOT,1562800_1563950,cheerios
*FAN,folder,d,n,MOT,1584660_1586560,folder
*MAN,backpack,d,n,MOT,1586560_1588210,backpack
*FAN,chicken,q,n,MOT,16047770_16049240,chicken
*FAN,chicken,d,n,SI2,16053550_16054880,chicken
*FAN,chicken,q,n,MOT,16055680_16056680,chicken
*FAN,pretzels,d,n,MOT,16067160_16069380,pretzels
*FAN,diaper,d,n,MOT,16075490_16076690,diaper
*FAN,pants,q,n,MOT,16082220_16083730,pants
