tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*OLN,alligator,n,y,MOT,37692570_37694310,alligator
*OLN,apple,n,n,MOT,1919140_1920550,apple
*FAN,arm,i,y,MOT,224670_225670,arm
*CXN,baby,d,y,SIS,19301030_19302380,baby
*CXN,baby,q,y,SIS,19311310_19313440,baby
*FAN,baby,d,y,MOT,31490410_31493110,baby
*OLN,baby,n,n,MOT,31671660_31676070,baby
*OLN,baby,n,n,MOT,31671660_31676070,baby
*FAN,baby,n,n,MOT,31677830_31678830,baby
*FAN,baby,n,n,MOT,31677830_31678830,baby
*FAN,back,d,n,MOT,5471660_5475460,back
*FAN,backpacks,d,n,MOT,14140760_14142470,backpack
*FAN,balls,d,y,MOT,43680060_43687370,ball
*FAN,banana,q,y,MOT,1904080_1905080,banana
*FAN,banana,s,y,MOT,1905890_1907270,banana
*FAN,banana,s,y,MOT,1905890_1907270,banana
*FAN,banana,s,y,MOT,1907880_1909880,banana
*FAN,banana,s,y,MOT,1907880_1909880,banana
*OLN,banana,s,y,MOT,1913730_1917110,banana
*OLN,banana,s,y,MOT,1913730_1917110,banana
*CHN,banana,d,y,MOT,1924960_1926250,banana
*MAN,banana,d,y,MOT,2451120_2452410,banana
*FAN,bananas,s,y,MOT,2361130_2362410,banana
*MAF,bananas,s,y,MOT,2362410_2363830,banana
*FAN,bananas,s,y,MOT,2364700_2365810,banana
*FAN,bananas,s,y,MOT,2364700_2365810,banana
*MAN,bananer,n,y,MOT,2241520_2242760,banana
*FAN,bananer,n,y,MOT,2243390_2245470,banana
*MAN,naners,q,y,MOT,2349420_2350430,banana
*FAN,naners,q,y,MOT,2351380_2352720,banana
*CXN,barrel,d,n,MOT,2557850_2558850,barrel
*OLN,bath,d,n,MOT,40760470_40761900,bath
*FAN,bath,d,n,MOT,43445520_43446780,bath
*CHN,bath,d,n,MOT,43449900_43451140,bath
*FAN,baths,d,n,MOT,43904970_43908560,bath
*FAN,bathing+suit,q,n,MOT,5435890_5439090,bathing+suit
*FAN,bathing+suit,d,n,MOT,5471660_5475460,bathing+suit
*FAN,bathing+suit,d,n,MOT,8928830_8931580,bathing+suit
*MAN,bear+claws,d,n,MOT,4216050_4217100,claw
*FAN,bed,d,n,MOT,2914120_2916560,bed
*FAN,bee,i,n,MOT,8642180_8644260,bee
*CXN,bib,d,n,SIS,12630_14240,bib
*OLF,bib,d,n,MOT,32936040_32937180,bib
*FAN,bink,i,y,MOT,20829670_20830670,bink
*FAN,bink,d,y,MOT,28680490_28681490,bink
*FAN,bink,d,n,MOT,28682760_28684350,bink
*FAN,bink,d,n,MOT,28687620_28689200,bink
*FAN,bink,q,y,MOT,31000630_31001980,bink
*MAN,bink,i,y,FAT,35745990_35746990,bink
*FAN,binker,q,y,MOT,7266130_7267940,bink
*FAN,binker,q,y,MOT,16478720_16479720,bink
*FAN,binker,q,y,MOT,17238360_17239360,bink
*FAN,binker,q,y,MOT,19165830_19166840,bink
*CHN,binker,q,y,MOT,19170270_19170880,bink
*CHN,binker,q,y,MOT,19171270_19172050,bink
*FAN,binky,n,n,MOT,33216510_33217650,bink
*FAN,binky,q,n,FAT,34747920_34749520,bink
*CXN,blanket,d,n,SIS,2892620_2894280,blanket
*CXN,blanket,d,n,MOT,2899210_2900330,blanket
*FAN,blankets,i,n,MOT,2901400_2903840,blanket
*FAN,bobcat,d,n,MOT,3334210_3337080,bobcat
*FAN,bobcat,d,n,MOT,17572910_17575860,bobcat
