tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,airplane,q,n,FAT,27312230_27314120,airplane
*FAN,ambulance,n,n,BRO,2396470_2397530,ambulance
*FAN,animal,q,n,MOT,7999800_8000800,NA
*CXN,animal,d,n,BRO,8031580_8032760,NA
*CHN,animal,d,n,BRO,8038670_8039990,NA
*MAN,animal,d,n,FAT,41711960_41713440,NA
*FAN,animals,d,n,BRO,8049180_8051140,NA
*FAN,animals,d,n,BRO,8072330_8073400,NA
*FAN,animals,d,n,BRO,8141650_8143040,NA
*OLN,apple,n,n,BRO,1686330_1687130,apple
*FAN,apple+juice,q,y,MOT,36786710_36787710,juice
*OLN,apple+juice,n,y,BRO,36789420_36791820,juice
*CXN,apple+juice,n,y,BRO,36791820_36792720,juice
*FAN,apple+juices,d,y,MOT,36761010_36762010,juice
*OLN,applesauce,q,y,MOT,40840230_40872310,applesauce
*OLN,applesauce,n,y,MOT,41901740_41905590,applesauce
*TVF,arm,d,n,MOT,855570_857000,arm
*NOF,arm,d,n,MOT,887090_889380,arm
*FAN,arms,d,n,MOT,9996810_9997810,arm
*FAN,arms,q,y,MOT,14095200_14096730,arm
*OLN,asparagus,n,n,FAT,42588830_42598670,asparagus
*FAN,attic,d,n,MOT,8649990_8651270,NA
*OLN,attic,d,n,MOT,8657030_8657830,NA
*MAN,avocado,q,y,FAT,41919310_41920330,avocado
*OLN,avocado,q,y,MOT,41935890_41943010,avocado
*FAN,babies,d,n,DOC,14736640_14739890,baby
*FAN,babies,q,n,MOT,14746570_14753560,baby
*CXN,baby,n,y,AUN,19608540_19609380,baby
*FAN,baby,d,y,MOT,37796520_37798530,baby
*CXN,baby,d,y,BRO,40472200_40474570,baby
*CXN,baby,d,y,BRO,40476650_40478770,baby
*CXN,baby,d,y,BRO,40482560_40483360,baby
*CXN,baby,d,y,BRO,40489400_40495650,baby
*CXN,baby,d,y,BRO,40489400_40495650,baby
*CXN,baby,d,y,BRO,40497550_40498550,baby
*CXN,baby,d,y,BRO,40500330_40501510,baby
*MAN,baby,d,n,FAT,42311260_42312840,baby
*OLN,baby,d,y,FAT,43943530_43966510,baby
*FAN,back,i,y,MOT,6170380_6171380,back
*FAN,back,d,n,MOT,7793090_7794760,back
*FAN,back,d,n,MOT,9992500_9995690,back
*FAN,back,d,n,MOT,10004240_10005840,back
*MAF,back,d,y,FAT,26174230_26175450,back
*MAN,back,d,y,FAT,26177370_26179060,back
*OLN,back,q,n,MOT,46186060_46186660,back
*CHN,back,q,n,MOT,46197980_46198750,back
*FAN,Backwards+Bob,q,y,MOT,3714430_3716610,Backwards+Bob
*FAN,Backwards+Bob,q,n,MOT,3805440_3806870,Backwards+Bob
*OLN,bag,d,y,MOT,7088830_7089860,bag
*FAN,bag,d,y,MOT,14900330_14902720,bag
*FAN,bag,d,n,GRM,36240730_36241950,bag
*FAN,bag,d,y,MOT,40146490_40148550,bag
*FAN,bag,d,y,MOT,40214080_40214690,bag
*OLN,bag,i,y,FAT,44797100_44798910,bag
