tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,ants,d,n,MOT,16531580_16534150,ant
*OLN,ants,d,n,BRO,16611160_16611970,ant
*FAN,ants,d,n,MOT,21082390_21082990,ant
*FAN,apple+strawberry,n,y,MOT,36726200_36726800,apple+strawberry
*OLN,apple+strawberry,n,y,CH1,36727810_36728680,apple+strawberry
*MAN,apron,d,n,MOT,23002730_23003780,apron
*MAN,arms,d,y,FAT,15304760_15307500,arm
*MAN,arms,d,n,FAT,15311850_15313910,arm
*OLN,arms,d,y,MOT,45752900_45756150,arm
*FAN,arms,d,y,MOT,45759930_45761190,arm
*FAN,awnings,d,n,MOT,36780560_36782830,awning
*MAN,babies,d,n,MOT,36649950_36651000,baby
*CXN,baby,d,y,MOT,33890300_33891030,baby
*FAN,baby,d,y,MOT,33892030_33894080,baby
*SIL,baby,d,n,MOT,34667060_34667860,baby
*FAN,baby,q,n,MOT,36220650_36222070,baby
*FAN,baby,d,n,LF2,36222870_36228870,baby
*FAN,baby,d,n,LF3,38935670_38937290,baby
*FAN,baby,d,y,MOT,40491930_40495210,baby
*FAN,baby,d,n,MOT,45354170_45355350,baby
*FAN,baby,n,y,MOT,45446350_45447350,baby
*FAN,bag,d,n,MOT,28188570_28189970,bag
*OLN,bag,q,n,MOT,30833170_30837710,bag
*FAN,bag,d,n,MOT,33819430_33821540,bag
*FAN,bags,q,n,MOT,30316490_30321460,bag
*FAN,bags,d,n,MOT,30322340_30325340,bag
*FAF,garbage+bag,d,n,LF2,34347750_34348750,bag
*FAN,ball,d,n,AD1,19389430_19390470,ball
*OLN,ball,d,n,AD1,19390470_19394100,ball
*FAN,ball,d,n,MOT,34061830_34062830,ball
*CXN,ball,q,n,LF3,35358240_35360190,ball
*OLF,balls,q,y,MOT,32937830_32941110,ball
*FAN,banana,q,n,MOT,3183840_3185530,banana
*FAN,bathing+suit,d,n,MOT,21456590_21458330,bathing+suit
*FAF,bathing+suit,d,n,MOT,27231940_27233710,bathing+suit
*FAF,bathing+suit,d,n,MOT,27414930_27415950,bathing+suit
*FAN,bathing+suit,d,n,MOT,28307500_28308500,bathing+suit
*MAF,bathing+suit,d,n,MOT,30353710_30354710,bathing+suit
*MAF,bathing+suit,d,n,MOT,30362020_30363930,bathing+suit
*MAF,bathing+suit,d,n,MOT,31188290_31189530,bathing+suit
*FAN,bathing+suit,d,n,MOT,33478510_33480340,bathing+suit
*FAN,bathing+suit,d,y,MOT,33524640_33526610,bathing+suit
*FAN,bathing+suit,i,y,MOT,33528380_33529380,bathing+suit
*FAN,bathing+suit,d,n,MOT,34001030_34002410,bathing+suit
*FAN,bathing+suit,d,n,MOT,34013270_34017570,bathing+suit
*CXN,bathing+suit,d,n,MOT,34597540_34601270,bathing+suit
*CXN,bathing+suit,d,n,MOT,34603450_34604520,bathing+suit
*MAN,bathing+suit,d,n,FAT,38734060_38735230,bathing+suit
*FAF,bathing+suits,d,n,MOT,27269060_27270060,bathing+suit
*FAN,bathing+suits,d,n,MOT,32514450_32516660,bathing+suit
*FAN,bathing+suits,d,n,MOT,32523240_32527640,bathing+suit
*CXN,bean+bag,d,n,BRO,24151160_24152160,bean+bag
*FAN,bean+bag,d,n,MOT,38825880_38827510,bean+bag
*FAN,bees,n,n,MOT,21144830_21145830,bee
*MAN,beer,q,n,FAT,34070420_34071420,beer
*OLN,beer,d,n,LMV,34077150_34078820,beer
*FAN,beer,d,y,LF2,36500860_36505270,beer
*FAN,beer,q,n,LF2,37345620_37347250,beer
*MAN,beer,d,n,LMV,37360750_37362510,beer
*FAN,beers,d,n,MOT,36022120_36023950,beer
*FAN,belly,q,n,MOT,17980060_17981360,belly
*CXN,bib,s,n,BRO,3933090_3935087,bib
*CXN,bib,s,n,BRO,3935890_3936590,bib
*CXN,bib,s,n,BRO,3940450_3942740,bib
*FAN,bib,d,n,MOT,22974930_22975930,bib
*FAN,bib,d,n,MOT,40474310_40475750,bib
*MAN,bird,d,n,FAT,38335300_38336840,bird
*FAF,blanket,n,y,MOT,33670800_33671690,blanket
*FAN,blanket,q,y,MOT,36141080_36142350,blanket
*FAN,blanket,q,n,FAT,37581490_37582620,blanket
*FAN,blanket,d,n,LF2,38601220_38602250,blanket
*MAN,blanket,q,y,FAT,38606470_38607470,blanket
*MAN,blueberries,q,n,MOT,3996720_3998320,blueberries
*OLN,blueberries,q,n,MOT,4004220_4010720,blueberries
*FAN,blueberries,d,n,MOT,4532880_4536170,blueberries
*MAN,blueberries,d,n,MOT,4536170_4537400,blueberries
*MAN,blueberries,q,n,FAT,4538400_4539530,blueberries
*CXN,blueberries,q,n,BRO,4542350_4544350,blueberries
*MAN,blueberries,d,n,MOT,4853720_4855220,blueberries
*FAN,blueberries,q,y,MOT,4862240_4864360,blueberries
*OLN,blueberries,d,n,BRO,4868190_4871750,blueberries
*FAN,blueberries,d,n,MOT,5307700_5309140,blueberries
*CXN,blueberry,d,y,MOT,4315830_4317010,blueberries
*FAN,blueberry,i,n,MOT,5166560_5171180,blueberries
*MAN,blueberry,d,n,FAT,15168190_15169520,blueberries
*FAN,blueberry,d,y,MOT,46410830_46412380,blueberries
*FAN,blueberry,d,y,MOT,46414770_46418900,blueberries
*CXN,blueberry,d,y,MOT,46419700_46421380,blueberries
*FAN,boat,i,y,LMV,38550230_38551470,boat
*MAN,boat,d,y,LMV,38551470_38553160,boat
*OLN,body,i,n,MOT,33167240_33168450,NA
*FAN,body,d,y,MOT,33839390_33841380,NA
*SIL,body,d,y,MOT,33843220_33845190,NA
*FAN,body,d,y,MOT,33845190_33850040,NA
*MAF,bone,d,n,MOT,18105550_18106620,bone
*OLN,boots,i,n,MOT,18981320_18986930,boot
*OLN,boots,i,n,MOT,18981320_18986930,boot
*OLN,boots,i,n,MOT,21387470_21388270,boot
*MAN,bottle,d,y,FAT,40549990_40551800,bottle
*FAN,bouncy,q,n,MOT,44219160_44220600,bouncy
*FAN,bouncy,q,n,MOT,44222630_44224020,bouncy
*FAN,bowl,d,n,LF2,35795300_35797490,bowl
*OLN,bowl,d,n,LF2,35797490_35798290,bowl
*OLN,pasta+bowl,q,n,FAT,39434870_39435680,bowl
*OLN,broccoli,d,n,MOT,19857850_19859120,broccoli
*FAN,bubbles,n,y,FAT,15116780_15117840,NA
*FAN,bubbles,n,y,FAT,15116780_15117840,NA
*MAN,bubbles,n,y,FAT,15117840_15118840,NA
*MAN,bubbles,n,y,FAT,15117840_15118840,NA
*MAN,bubbles,n,y,FAT,15117840_15118840,NA
*MAN,bubbles,n,y,FAT,15129720_15131200,NA
*MAN,bubbles,n,y,FAT,15129720_15131200,NA
*MAN,bubbles,n,y,FAT,15129720_15131200,NA
*FAN,bubbles,n,y,FAT,15131200_15132540,NA
*FAN,bubbles,n,y,FAT,15131200_15132540,NA
*SIL,bubbles,n,y,FAT,15133570_15136880,NA
*FAF,bugs,i,n,FAT,1352650_1354510,bug
*MAN,bugs,d,n,FAT,1356690_1357810,bug
*MAN,bugs,q,n,FAT,1411050_1412800,bug
*MAN,bugs,d,n,FAT,1414130_1417650,bug
*MAN,burrito,d,n,FAT,37249370_37252010,burrito
*OLN,butterflies,n,n,MOT,21140960_21143420,butterfly
*FAN,butterfly,q,y,MOT,21111190_21112330,butterfly
*OLN,button,q,n,MOT,30599520_30604680,button
*MAN,buttons,d,n,FAT,14662560_14664130,button
*FAN,camera,d,n,MOT,19923930_19931090,camera
*FAN,camera,d,n,MOT,19981360_19987940,camera
*MAN,cans,d,n,MOT,40463410_40464490,can
*FAN,candles,q,y,LF3,43364670_43370940,candle
*FAN,candles,q,y,LF3,43364670_43370940,candle
*CHN,car,q,y,BRO,579730_580660,car
*MAN,car,d,n,FAT,893880_894880,car
*MAN,car,d,n,FAT,912650_913760,car
*CXN,car,d,y,BRO,926380_928810,car
*OLN,car,d,y,BRO,933050_933950,car
*FAN,car,d,y,BRO,938580_939790,car
*FAN,car,q,n,MOT,18834360_18835810,car
*OLN,car,d,n,MOT,22941610_22943490,car
*SIL,car,d,n,LF3,34390150_34391880,car
*FAN,car,d,y,LF2,38437630_38440830,car
*FAN,cars,d,n,MOT,19945400_19948000,car
*FAN,cars,d,n,MOT,20118770_20121870,car
*OLN,cars,d,n,MOT,20647910_20649080,car
*FAN,cars,d,n,BRO,22867230_22868680,car
*FAN,cars,d,n,MOT,22923480_22925340,car
*OLF,cars,d,n,MOT,22933910_22934760,car
*OLN,cars,q,n,BRO,22935600_22940600,car
*OLN,cars,q,n,BRO,22935600_22940600,car
*OLN,cars,q,n,BRO,22935600_22940600,car
*CXN,cars,d,n,BRO,23068410_23069730,car
*FAN,cars,d,n,LF2,35292510_35293510,car
*CXN,cars,d,y,LF2,35315740_35319160,car
*CXN,cars,i,n,LF2,35345510_35348500,car
*FAN,cars,d,y,LF2,38437630_38440830,car
*MAN,cars,d,n,FAT,38462230_38463280,car
*MAF,car+seat,d,n,FAT,7289960_7291090,car+seat
*FAN,car+seat,d,n,MOT,27975290_27978320,car+seat
*FAN,car+seat,d,n,MOT,44191160_44191960,car+seat
*FAN,Banana+card,d,n,MOT,29178100_29179100,card
*OLN,card,d,n,AD1,19459410_19460760,card
*OLN,cards,d,n,AD1,19390470_19394100,card
*OLN,cards,d,n,AD1,19442820_19450840,card
*FAN,cards,d,n,MOT,24373090_24374970,card
*FAN,gift+card,q,n,AD4,29176180_29177220,card
*FAN,cardigan,d,n,MOT,30453620_30455110,cardigan
*MAN,caterpillar,i,y,FAT,1092070_1093590,caterpillar
*MAN,caterpillar,i,y,FAT,1096430_1097810,caterpillar
*OLF,caterpillar,i,y,FAT,1105410_1106460,caterpillar
*FAN,caterpillar,d,y,MOT,7749020_7750220,caterpillar
*FAN,cement,d,n,LF2,38603130_38605600,cement
*FAN,cereal,q,n,MOT,3917510_3920340,cereal
*FAN,cereal,q,n,MOT,3923960_3925470,cereal
*FAN,chair,d,n,FAT,16287520_16288550,chair
*FAN,chair,i,n,MOT,36271390_36272780,chair
*MAN,chameleon,n,y,FAT,5867410_5868410,chameleon
*FAN,cheeks,d,n,MOT,32588260_32590390,cheek
*MAN,bacon+cheeseburger,q,n,FAT,1321750_1323250,cheeseburger
*FAN,chicken,d,n,LF2,34493920_34495100,chicken
*OLF,chicken+nuggets,d,n,MOT,34330390_34331310,chicken
*FAN,chocolate,d,n,MOT,19931940_19934850,chocolate
*MAN,chocolate,d,n,MOT,43272160_43274280,chocolate
*FAN,chocolate+chips,d,n,MOT,42009550_42013650,chocolate
*FAN,clams,d,n,MOT,30300740_30303220,clams
*MAF,clams,d,n,MOT,30307290_30315070,clams
*MAF,clams,d,n,MOT,30328170_30330550,clams
*MAF,clams,d,n,MOT,30332350_30333660,clams
*FAN,clams,d,n,MOT,36738620_36741870,clams
*FAN,clams,d,n,MOT,36742480_36744850,clams
*FAN,clams,d,n,MOT,36745500_36747770,clams
*MAN,clams,d,n,MOT,36747770_36748790,clams
*FAN,clock,d,n,MOT,22979310_22980310,clock
*NOF,clothes,q,n,FAT,14418760_14419560,clothes
*MAN,clothes,d,n,FAT,34621260_34622320,clothes
*TVN,clothes,d,n,FAT,34629640_34630640,clothes
*FAN,clothes,q,n,LF2,39628150_39630550,clothes
*FAN,clothes,q,n,LF3,43349000_43355230,clothes
*NOF,clothes,d,n,FAT,14779980_14781160,clothes
*FAN,coconut,d,n,MOT,3397860_3398660,coconut
*MAF,cod,n,n,FAT,1451320_1452970,cod
*TVF,coffee,n,n,FAT,1503480_1504660,coffee
*OLN,coffee,d,n,MOT,30676910_30683290,coffee
*OLF,coffee,d,n,MOT,30963360_30968020,coffee
*FAN,coffee,d,n,MOT,37331660_37333070,coffee
*FAN,concrete,d,n,MOT,20932030_20935390,concrete
*CXN,convertible,d,y,BRO,18341610_18342480,convertible
*FAN,convertible,q,n,MOT,18560740_18564810,convertible
*FAN,cotton,d,n,MOT,30431650_30432650,cotton
*OLF,countertop,q,n,LF2,34709200_34710770,countertop
*MAN,countertops,d,n,LF2,34730250_34731300,countertop
*FAF,bathing+suit+cover+up,d,n,MOT,27223300_27224840,cover+up
*OLN,bathing+suit+cover+up,d,n,MOT,27226180_27229040,cover+up
*MAF,bathing+suit+cover+up,d,n,MOT,30355550_30356680,cover+up
*FAN,cover+up,d,n,MOT,34602240_34603450,cover+up
*CHN,cracker,d,y,MOT,5499340_5500380,crackers
*MAN,cracker,d,n,MOT,16922260_16923260,crackers
*CXN,crackers,d,n,BRO,23392500_23393300,crackers
*FAN,crackers,d,n,MOT,35976560_35981000,crackers
*FAN,fishy+crackers,d,n,MOT,35976560_35981000,crackers
*CXN,fishy+crackers,d,n,CH1,35985450_35986280,crackers
*OLN,fishy+crackers,n,n,FAT,35992860_35994410,crackers
*CXF,fishy+crackers,d,n,CH1,35995960_35996910,crackers
*FAN,fishy+crackers,d,n,CH1,36003210_36004540,crackers
*CXN,fishy+crackers,q,n,CH1,36008100_36010860,crackers
*OLN,fishy+crackers,q,n,CH1,36015530_36016910,crackers
*FAN,fishy+crackers,d,n,MOT,36297020_36300600,crackers
*FAN,graham+crackers,d,n,BRO,2157190_2158340,crackers
*CXN,graham+crackers,d,n,BRO,41708990_41709850,crackers
*FAN,cup,d,n,BRO,3927370_3930690,cup
*OLN,cup,d,n,MOT,30676910_30683290,cup
*FAN,cup,d,n,MOT,40902580_40903910,cup
*FAN,cup+holder,d,n,MOT,7324180_7326690,cup+holder
*FAN,cup+holder,d,n,MOT,7324180_7326690,cup+holder
