tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*OLN,Alex+and+ani,n,n,SI1,467800_469690,NA
*FAN,allen+wrench,q,n,MOT,8302520_8304340,wrench
*OLN,animal,d,n,SI1,2663040_2663840,NA
*NON,animal+book,d,y,MOT,34136650_34137860,book
*TVN,ankles,d,n,TVN,32552410_32554400,ankle
*OLN,Anna,n,n,SI2,20326140_20327650,Anna
*OLN,Anna,n,y,SI2,20328450_20331560,Anna
*CHN,Anna,q,y,MOT,20331560_20332260,Anna
*CHN,Anna,n,y,SI2,20334180_20334780,Anna
*FAN,Anna,d,y,MOt,23318120_23319130,Anna
*FAN,Anna,q,y,MOT,23330800_23331420,Anna
*FAN,Anna,d,y,MOT,23331420_23332680,Anna
*FAN,Anna+and+elsa,d,n,MOT,23708000_23710290,Anna+and+elsa
*OLN,apple,d,n,MOT,13832000_13832860,apple
*FAN,apples,d,n,MOT,13826410_13830060,apple
*FAN,arm,d,n,MOT,23443300_23443900,arm
*FAN,arm,i,y,MOT,29452610_29453630,arm
*FAN,Aurora,d,n,MOT,20540470_20541490,Aurora
*FAN,awning,i,n,MOT,20145780_20147930,awning
*OLN,babies,d,n,ADF,22610840_22612160,baby
*CXN,baby,n,n,SI2,4518880_4519680,baby
*OLN,baby,n,n,SI2,4519680_4521480,baby
*CXN,baby,q,n,SI2,4944950_4945550,baby
*FAN,baby,d,n,MOT,4945550_4947800,baby
*CXN,baby,d,y,SI2,5093190_5094010,baby
*FAN,baby,i,y,LF3,8865430_8867600,baby
*OLN,baby,d,n,SI1,15205820_15214300,baby
*FAN,baby+food,d,n,MOT,13020740_13021990,NA
*OLN,backpack,d,n,MOT,19929330_19931180,backpack
*FAN,backpack,d,n,MOT,22719030_22719630,backpack
*FAN,backpack,d,n,MOT,29475810_29476830,backpack
*FAN,bag+of+gummies,q,n,MOT,21524110_21525170,gummies
*MAF,bagels,d,n,GRM,4346710_4347740,bagels
*OLF,bagels,q,n,GRM,4347740_4348670,bagels
*CXN,bagels,d,n,SI1,4348670_4349470,bagels
*FAN,bags,d,n,MOT,29477820_29479360,bag
*OLN,banana,d,n,MOT,13039550_13040350,bananas
*FAN,banana,d,n,MOT,13270550_13272780,bananas
*FAN,banana,d,n,MOT,13279400_13281860,bananas
*FAN,bananas,d,n,MOT,10639520_10645540,bananas
*FAN,bananas,d,n,MOT,13789240_13791490,bananas
*FAN,bananas,d,n,MOT,13789240_13791490,bananas
*OLN,bananas,d,n,MOT,13793970_13794780,bananas
*FAN,bananas,d,n,MOT,13796970_13800660,bananas
*OLN,bananas,d,n,MOT,13800660_13801460,bananas
*CHN,band+aid,q,n,MOT,23117090_23118180,band+aid
*FAN,band+aid,i,y,MOT,23175690_23177800,band+aid
*FAN,band+aid,d,y,MOT,23209740_23212440,band+aid
*FAN,band+aid,d,n,MOT,23223990_23225600,band+aid
*FAN,band+aid,q,n,MOT,23227500_23229180,band+aid
*FAN,Barbie,d,n,MOT,31166520_31168120,Barbie
*TVN,Barbie,d,y,TVN,31576610_31577610,Barbie
*FAF,Barbie,q,y,TVN,31989410_31991860,Barbie
*TVF,Barbie,d,y,TVN,32293810_32295050,Barbie
*CXN,Barbie,d,y,TVN,32295050_32296050,Barbie
*TVN,Barbie,n,y,TVN,32321820_32322820,Barbie
*NOF,Barbie,d,y,TVN,32357240_32358040,Barbie
*TVN,Barbies,d,y,SI2,16640000_16646009,Barbie
*FAN,basket,d,y,MOT,24828330_24830670,basket
*FAN,bath,d,n,MOT,30909500_30912670,bath
*FAN,batteries,d,n,MOT,21889680_21890930,battery
*FAN,battery,q,n,MOT,31219350_31221170,battery
*FAN,Beast,d,n,MOT,20409780_20411580,Beast
