tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,animals,r,y,MOT,47499700_47501870,NA
*CXN,animals,r,y,MOT,47563460_47564060,NA
*MAN,Anna,d,n,FAT,35167760_35168880,Anna
*CXN,apple,d,n,TOY,33557230_33558690,apple
*FAN,applesauce,q,n,MOT,37399590_37401190,applesauce
*OLF,applesauce,d,n,MOT,37413060_37421890,applesauce
*OLN,applesauce,n,y,MOT,37481640_37482660,applesauce
*FAN,applesauce,q,y,MOT,37504530_37506150,applesauce
*OLF,applesauce,q,y,FAT,37514660_37515470,applesauce
*OLN,applesauce,d,y,MOT,37545840_37552740,applesauce
*OLN,applesauce,q,y,MOT,37555750_37556550,applesauce
*FAN,applesauce,d,y,MOT,37561530_37563730,applesauce
*OLF,applesauce,q,y,MOT,37578210_37581540,applesauce
*FAN,applesauce,d,y,FAT,37583000_37584010,applesauce
*OLN,applesauce,q,y,MOT,37628360_37633720,applesauce
*OLN,applesauce,q,y,MOT,37672740_37675810,applesauce
*OLN,applesauce,d,n,MOT,37784570_37787370,applesauce
*FAN,arm,i,y,MOT,1056060_1057500,arm
*OLN,arm,d,n,MOT,15599550_15600350,arm
*FAN,arm,d,n,MOT,39334750_39336910,arm
*FAN,arms,d,n,MOT,49873380_49878360,arm
*CXN,ass,d,n,TVN,37241400_37243700,NA
*FAN,babies,d,n,MOT,15947200_15949900,baby
*FAN,babies,d,n,MOT,15951780_15953270,baby
*FAN,baby,d,n,MOT,12914650_12915740,baby
*MAN,baby,d,n,MOT,15956540_15957820,baby
*FAN,baby,d,n,GRM,17702090_17703090,baby
*OLN,baby,d,n,GRM,18422780_18442940,baby
*FAN,baby,d,n,MOT,20207130_20210020,baby
*FAN,baby,d,n,MOT,30911490_30913380,baby
*CXF,baby,d,n,MOT,31153100_31154430,baby
*MAN,baby,q,n,UF3,33320320_33323200,baby
*OLN,baby,d,n,UF3,35106920_35107720,baby
*MAN,baby,q,n,TVN,36263140_36266340,baby
*FAN,baby,n,n,MOT,44066940_44067970,baby
*OLN,baby,q,n,MOT,49665150_49668810,baby
*FAF,Baby+animal,r,y,MOT,48551250_48552370,Baby+animal
*FAN,baby+animals,n,y,UF3,34338090_34339090,NA
*TVN,bacon+cheeseburger+deluxe,d,n,MOT,18051150_18052430,bacon+cheeseburger+deluxe
*FAN,balcony,d,n,MOT,32783250_32787290,balcony
*FAN,ball,q,y,UF3,33800720_33801720,ball
*FAN,ball,q,y,UF3,33818890_33819890,ball
*FAN,ball,q,y,UF3,33831870_33834020,ball
*FAN,ball,q,y,UF3,33850850_33851850,ball
*FAN,ball,d,y,UF3,33869860_33870690,ball
*FAN,ball,q,y,UF3,33951210_33953050,ball
*FAN,ball,q,y,UF3,33953850_33955320,ball
*CHN,ball,n,y,UF3,33956140_33956750,ball
*FAN,ball,q,y,UF3,34035360_34036450,ball
*FAN,ball,d,y,UF3,34037370_34038800,ball
*FAN,ball,r,y,UF3,34314050_34317300,ball
*FAN,ball,r,y,UF3,34388370_34395910,ball
*MAN,ball,q,y,FAT,36910700_36911700,ball
*FAN,ball,i,y,FAT,37028290_37029340,ball
*FAN,ball,i,y,FAT,37030340_37031340,ball
*FAN,ball,i,y,FAT,37036370_37037370,ball
*FAN,ball,q,y,FAT,37406510_37407520,ball
*FAN,ball,q,y,MOT,47201540_47202550,ball
*FAN,ball,r,y,MOT,47386360_47390400,ball
*MAN,ball,r,y,FAT,48293420_48297110,ball
*OLN,basket,q,y,MOT,5676000_5677230,basket
*FAN,basket,r,y,UF3,34314050_34317300,basket
*FAN,basket,r,y,UF3,34319400_34324570,basket
*FAN,basket,r,y,UF3,34329930_34332050,basket
*FAN,basket,r,y,MOT,47386360_47390400,basket
*FAN,basket,r,y,MOT,47402230_47403550,basket
*FAN,beads,d,y,MOT,16139040_16140560,bead
*FAN,beaks,r,y,MOT,47588540_47592810,beak
*FAN,bed,d,n,MOT,14836910_14838180,bed
*FAN,bed,d,n,MOT,15321790_15323130,bed
*FAN,bed,i,n,MOT,15469000_15469960,bed
*MAN,bed,i,n,MOT,15480760_15481760,bed
*FAN,bed,d,n,MOT,16100630_16101850,bed
*OLN,bed,q,n,MOT,49665150_49668810,bed
*OLN,bed,q,n,MOT,49665150_49668810,bed
