tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*MAN,milk,q,y,FAT,2230650_2231650, ,NA
*MAN,milk,i,y,BRO,2236940_2237940, ,NA
*CXN,milk,i,y,SIS,2238740_2239550, ,NA
*MAN,bowl,d,y,FAT,2241960_2244130, ,NA
*CXN,cape,q,n,BRO,2335540_2336340, ,NA
*FAN,shirt,i,y,BRO,2345320_2346230, ,NA
*MAN,puzzle,d,n,FAT,2424450_2426000, ,NA
*MAN,puzzle,q,n,FAT,2427450_2429530, ,not sure if the puzzle is present
*MAN,puzzle+piece,d,y,FAT,2446760_2449540, ,NA
*MAN,puzzle+piece,d,y,FAT,2468500_2469630, ,NA
*MAN,puzzle+pieces,d,y,FAT,2520460_2522500, ,NA
*MAN,puzzle+pieces,d,y,FAT,2524500_2529140, ,NA
*MAN,washcloth,d,y,FAT,2530050_2535520, ,NA
*FAN,washcloth,q,y,FAT,2555740_2556820, ,NA
*OLN,washcloth,d,n,FAT,2558420_2559220, ,NA
*FAF,washcloth,q,y,FAT,2577710_2578510, ,NA
*FAN,broom,q,y,FAT,2637980_2639430, ,NA
*FAN,dust+pan,i,y,FAT,2701340_2702430, ,NA
*MAN,hands,d,y,FAT,2777800_2778800, ,NA
*FAN,puzzle+pieces,d,y,FAT,2786310_2787310, ,NA
*CXN,cape,d,n,BRO,2802490_2803430, ,not sure if cape is present
*CXN,cape,d,n,BRO,2804740_2806040, ,NA
*CXN,cape,d,n,BRO,2809000_2810170, ,NA
*OLN,X-Men,d,n,BRO,2812260_2814110, ,NA
*MAN,X-Men,d,n,FAT,2814110_2815310, ,NA
*OLN,X-Men,d,n,BRO,2818910_2819730, ,NA
*MAN,X-Men,d,n,FAT,2819730_2820800, ,NA
*CXN,Wolverine,d,n,BRO,2823430_2825670, ,NA
*CXN,Magneto,d,n,BRO,2823430_2825670, ,NA
*MAN,Magneto,q,n,FAT,2825670_2826670, ,NA
*MAN,puzzle+pieces,d,y,FAT,2846230_2847930, ,NA
*OLN,X-Men,d,n,BRO,2855690_2856790, ,NA
*MAN,X-Men,q,n,FAT,2856790_2857790, ,NA
*OLN,Wolverine,d,n,BRO,2862810_2865770, ,NA
*FAN,shoes,q,y,FAT,3008130_3009240, ,NA
*MAN,glasses,d,n,FAT,3010160_3011160, ,NA
*CHN,glasses,d,n,FAT,3012080_3012300, ,NA
*CHN,Black+Panther,d,n,BRO,3014750_3015330, ,NA
*OLN,Black+Panther,q,n,FAT,3015780_3017660, ,NA
*OLN,Black+Panther,d,n,BRO,3019090_3019920, ,NA
*OLN,Sabertooth,d,n,FAT,3023100_3026740, ,NA
*CXN,X-Men,d,n,BRO,3055770_3056570, ,NA
*CXN,Superman,d,n,BRO,3164000_3164810, ,NA
*OLN,Superman,d,n,BRO,3167410_3168640, ,NA
*MAN,hair,i,y,FAT,3472610_3474730, ,NA
*OLN,hair,d,y,FAT,3475330_3476390, ,NA
*OLN,diaper,q,n,MOT,4135460_4136740, ,NA
*FAN,socks,d,y,MOT,4174370_4175380, ,NA
*FAN,floor,d,y,MOT,4179220_4181200, ,should hallway be coded?
*FAN,clothes,q,y,MOT,4210820_4211880, ,NA
*FAN,shirt,i,y,MOT,4417320_4419090, ,NA
*OLN,vest,d,y,MOT,4506360_4507290, ,NA
*FAN,vest,d,y,MOT,4507290_4508510, ,NA
*FAN,hair,d,y,MOT,4580370_4585260, ,NA
*FAN,blankets,q,n,MOT,4607920_4612280, ,NA
*FAN,blanket,d,n,MOT,4607920_4612280, ,NA
*FAN,blanket,d,n,MOT,4613470_4615430, ,NA
*CXF,rain+boots,q,n,MOT,4797810_4798930, ,NA
*CXN,hair,d,y,MOT,4803620_4804540, ,NA
*FAN,spare+ribs,n,n,MOT,4839830_4840830, ,NA
*FAN,baked+beans,q,n,MOT,4851050_4852500, ,NA
*CHN,baked+beans,n,n,BRO,4853410_4854070, ,NA
*CHN,baked+beans,n,n,BRO,4854380_4854720, ,NA
*CHN,baked+beans,n,n,BRO,4854720_4855500, ,NA
*CXN,pillow,d,y,BRO,4878820_4879500, ,NA
*OLN,pillow,d,y,BRO,4880920_4882100, ,NA
*CHN,pillow,d,y,BRO,4882960_4883610, ,not clear if the word here is "pillow" or something else. It's probably something else
*FAN,apple,r,y,BRO,4938170_4938770, ,NA
*FAN,pears,r,y,BRO,4941630_4942710, ,NA
*FAN,plums,r,y,BRO,4945420_4946420, ,NA
