tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*OLN,knees,s,n,TOY,1374420_1375530,knee
*OLN,toes,s,n,TOY,1374420_1375530,toe
*CXN,knees,s,n,BTY,1375530_1376470,knee
*CXN,toes,s,n,BTY,1375530_1376470,toe
*CXN,shoulders,s,n,BTY,1378140_1379140,shoulder
*CXN,knees,s,n,BTY,1378140_1379140,knee
*CXN,toes,s,n,BTY,1378140_1379140,toe
*OLN,toes,s,n,BTY,1387160_1390480,toe
*OLN,knees,s,n,BTY,1387160_1390480,knee
*OLN,toes,s,n,BTY,1387160_1390480,toe
*OLN,shoulders,s,n,BRO,1393840_1402230,shoulder
*OLN,knees,s,n,BRO,1393840_1402230,knee
*OLN,toes,s,n,BRO,1393840_1402230,toe
*OLN,knees,s,n,BRO,1393840_1402230,knee
*OLN,toes,s,n,BRO,1393840_1402230,toe
*OLN,head,s,n,BRO,1393840_1402230,head
*OLN,shoulders,s,n,BRO,1393840_1402230,shoulder
*OLN,knees,s,n,BRO,1393840_1402230,knee
*OLN,toes,s,n,BRO,1393840_1402230,toe
*CXN,knees,s,n,BRO,1402230_1403610,knee
*CXN,toes,s,n,BRO,1402230_1403610,toe
*FAN,knees,s,n,BRO,1408850_1409890,knee
*FAN,toes,s,n,BRO,1408850_1409890,toe
*OLN,knees,s,n,BRO,1409890_1413600,knee
*OLN,toes,s,n,BRO,1409890_1413600,toe
*OLN,head,s,n,TOY,1561660_1583730,head
*OLN,shoulders,s,n,TOY,1561660_1583730,shoulder
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*OLN,head,s,n,TOY,1561660_1583730,head
*OLN,shoulders,s,n,TOY,1561660_1583730,shoulder
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*OLN,eyes,s,n,TOY,1561660_1583730,eye
*OLN,ears,s,n,TOY,1561660_1583730,ear
*OLN,mouth,s,n,TOY,1561660_1583730,mouth
*OLN,nose,s,n,TOY,1561660_1583730,nose
*OLN,head,s,n,TOY,1561660_1583730,head
*OLN,shoulders,s,n,TOY,1561660_1583730,shoulder
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*OLN,knees,s,n,TOY,1561660_1583730,knee
*OLN,toes,s,n,TOY,1561660_1583730,toe
*CXN,toes,d,y,MOT,13592140_13593220,toe
*CXN,toes,d,y,MOT,13593220_13593960,toe
*CHN,toes,q,y,MOT,13597230_13597880,toe
*FAN,toes,d,y,MOT,13811360_13813450,toe
*FAN,toes,d,n,BRO,13814380_13818010,toe
*FAN,pie,d,n,BRO,13831220_13833110,pie
*FAN,toes,d,y,MOT,13831220_13833110,toe
*TVN,toes,s,n,TOY,14323670_14328520,toe
*TVN,toes,s,n,TOY,14332450_14338090,toe
*TVN,knees,s,n,TOY,14340090_14341090,knee
*TVN,toes,s,n,TOY,14340090_14341090,toe
*TVN,knees,s,n,TOY,14341090_14342020,knee
*TVN,toes,s,n,TOY,14341090_14342020,toe
*TVN,toes,s,n,TOY,14344800_14345600,toe
*TVN,knees,s,n,TOY,14344800_14345600,knee
*TVN,toes,s,n,TOY,14345600_14347540,toe
*TVN,eyes,s,n,TOY,14345600_14347540,eye
*TVN,ears,s,n,TOY,14345600_14347540,ear
*TVN,shoulders,s,n,TOY,14351200_14354120,shoulder
*TVN,knees,s,n,TOY,14351200_14354120,knee
*TVN,toes,s,n,TOY,14351200_14354120,toe
*TVN,knees,s,n,TOY,14351200_14354120,knee
*TVN,toes,s,n,TOY,14354120_14355230,toe
*TVN,toes,s,n,TOY,14525670_14526850,toe
*TVN,toes,s,n,TOY,14531600_14533140,toe
*TVN,shoulders,s,n,TOY,14542580_14543930,shoulder
*TVN,knees,s,n,TOY,14542580_14543930,knee
*TVN,toes,s,n,TOY,14542580_14543930,toe
*TVN,knees,s,n,TOY,14543930_14545130,knee
*TVN,toes,s,n,TOY,14543930_14545130,toe
*TVN,shoulders,s,n,TOY,14546560_14549340,shoulder
